target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,da_cue,da_target,da_word_combo_related,da_word_combo_unrelated,da_cue_word_related,da_cue_word_unrelated
artilleri,768.914025007666,856.990242417207,0.196341075752349,0.345494947326825,46.1754785817436,69.1094148749908,0.136422240873795,0.187363407260473,55,54,1,0,40,33,49,49,1,0,0.816326530612245,0.673469387755102,56,54,0,0,37,47,50,49,0,0,0.74,0.959183673469388,40,33,88.0762174095404,0.149153871574476,da,cavalry,artillery,kavaleri,artilleri,kavaleriartilleri,låstartilleri,kavaleri,låst
arve,667.181170213665,632.07690195621,-0.232364674410102,-0.256402927779863,39.3021482651703,28.6309929298472,0.146301386995705,0.103455265947904,56,56,0,2,47,51,48,51,0,1,0.979166666666667,1,55,56,1,2,46,46,48,51,0,1,0.958333333333333,0.901960784313726,47,51,-35.1042682574556,-0.0240382533697608,da,heritage,inherit,arv,arve,arvarve,lurarve,arv,lur
assistent,645.470113213318,633.581755557302,-0.313862000630184,-0.335744701944627,30.9903120769474,28.5465399056412,0.0889105379206937,0.0827997963142201,57,55,0,0,53,45,54,45,0,0,0.981481481481482,1,57,55,0,0,52,45,54,45,0,0,0.962962962962963,1,53,45,-11.8883576560153,-0.0218827013144435,da,secretary,assistant,sekretær,assistent,sekretærassistent,støvleassistent,sekretær,støvle
assistere,792.194507940197,706.30003508737,0.0689471315558444,-0.140503098596248,47.4874214790719,37.804035933338,0.108732370296635,0.127388363534637,90,66,1,0,65,57,78,60,0,0,0.833333333333333,0.95,90,66,1,0,73,56,78,60,0,0,0.935897435897436,0.933333333333333,63,57,-85.8944728528277,-0.209450230152093,da,help,assist,hjælpe,assistere,hjælpeassistere,pumpeassistere,hjælpe,pumpe
atlanterhavet,714.91723529823,1070.25695347321,0.020927800268266,1.0628031326884,36.4591751111941,67.5250155804019,0.113461478824121,0.174397624884538,58,56,1,0,51,43,52,50,0,0,0.980769230769231,0.86,58,56,1,0,51,49,52,50,0,0,0.980769230769231,0.98,51,43,355.339718174977,1.04187533242013,da,pacific,atlantic,stillehavet,atlanterhavet,stillehavetatlanterhavet,berømthedatlanterhavet,stillehavet,berømthed
atmosfære,730.164673683913,641.232160009579,-0.0227225128351673,-0.223362363464731,29.5567837637629,22.7547473237063,0.0877720422075488,0.0811884147569718,112,53,0,0,95,50,96,52,0,0,0.989583333333333,0.961538461538462,111,53,1,0,93,51,96,52,0,0,0.96875,0.980769230769231,95,50,-88.932513674334,-0.200639850629563,da,environment,atmosphere,miljø,atmosfære,miljøatmosfære,værdifuldatmosfære,miljø,værdifuld
avis,596.111812765373,591.284037966859,-0.50125537761895,-0.478016594907751,41.961337046136,25.7742407157279,0.134929905498185,0.0758906366561871,53,93,0,1,47,79,47,83,0,0,1,0.951807228915663,53,93,0,1,47,79,47,83,0,0,1,0.951807228915663,47,79,-4.82777479851438,0.0232387827111982,da,article,newspaper,artikel,avis,artikelavis,loyalitetavis,artikel,loyalitet
bacon,518.450266671437,575.4617177496,-0.744356319415746,-0.541925833177461,20.8584011565282,18.6507074590123,0.0476703315099325,0.0619781871671472,51,122,0,2,46,107,46,110,0,1,1,0.972727272727273,51,123,0,1,44,109,46,111,0,0,0.956521739130435,0.981981981981982,45,107,57.0114510781631,0.202430486238285,da,toast,bacon,toast,bacon,toastbacon,skæbnebacon,toast,skæbne
badeværelse,597.970199969242,734.80269999703,-0.42746966548602,0.0556724304300057,20.6209556928943,38.5991815089112,0.0532941310337383,0.132623624541497,52,54,0,0,50,52,50,52,0,0,1,1,52,54,0,0,49,45,50,52,0,0,0.98,0.865384615384615,50,50,136.832500027788,0.483142095916026,da,shower,bathroom,brusebad,badeværelse,brusebadbadeværelse,monumentbadeværelse,brusebad,monument
bagende,867.689195121102,913.275604651183,0.425365289621695,0.518135243497707,72.5280422131477,59.4893242123123,0.19932428220417,0.153594625594234,51,53,0,1,41,43,47,50,0,1,0.872340425531915,0.86,50,53,1,1,21,50,46,50,1,1,0.456521739130435,1,41,43,45.5864095300811,0.0927699538760119,da,front,rear,forende,bagende,forendebagende,optagebagende,forende,optage
