target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,pl_cue,pl_target,pl_word_combo_related,pl_word_combo_unrelated,pl_cue_word_related,pl_cue_word_unrelated
aktywować,826.718214287565,762.574096384164,0.304214278564437,0.111827517285097,38.1647306026228,27.3354578680355,0.119906454887429,0.0859630260891838,92,90,2,2,84,83,85,86,1,1,0.988235294117647,0.965116279069767,92,90,2,2,73,84,85,86,1,1,0.858823529411765,0.976744186046512,84,83,-64.1441179034007,-0.19238676127934,pl,trigger,activate,bodziec,aktywować,bodziecaktywować,afrykaaktywować,bodziec,afryka
alarm,601.199081392355,603.26202898616,-0.518529421886463,-0.538644887500715,17.5078265002392,21.5208333065163,0.0568806235228803,0.0753547917442641,92,74,1,1,86,69,88,69,0,0,0.977272727272727,1,92,74,1,1,68,60,88,69,0,0,0.772727272727273,0.869565217391304,86,69,2.06294759380603,-0.020115465614252,pl,alert,alarm,alert,alarm,alertalarm,ignorancjaalarm,alert,ignorancja
aleja,624.192802813516,711.636999994284,-0.396313774853897,-0.0589101185003417,14.9876900626996,28.1375670654877,0.0570305247411673,0.108775942344825,78,110,0,3,71,94,73,105,0,0,0.972602739726027,0.895238095238095,78,111,0,2,59,101,73,105,0,0,0.808219178082192,0.961904761904762,71,94,87.4441971807679,0.337403656353555,pl,corner,alley,zaułek,aleja,zaułekaleja,zwiększaćaleja,zaułek,zwiększać
alfa,598.783645554583,688.904851350202,-0.446018839056256,-0.00668872764918868,18.8037377398916,24.9351729029733,0.100010733395579,0.101593594096229,89,82,4,3,79,74,81,75,0,0,0.975308641975309,0.986666666666667,89,82,4,3,74,73,81,75,0,0,0.91358024691358,0.973333333333333,79,74,90.1212057956193,0.439330111407067,pl,bravo,alpha,omega,alfa,omegaalfa,przemysłalfa,omega,przemysł
alibi,737.923652171497,795.953806430641,0.0531981959142024,0.359246396242696,36.3829467590443,27.6837613891484,0.109847989148904,0.113572621922649,65,96,2,5,46,62,62,88,1,3,0.741935483870968,0.704545454545455,65,95,2,6,59,81,62,87,1,4,0.951612903225806,0.931034482758621,46,62,58.0301542591444,0.306048200328493,pl,motive,alibi,motyw,alibi,motywalibi,nierozsądnyalibi,motyw,nierozsądny
ameryka,575.978358703674,667.38528073089,-0.572518731246457,-0.283547242782713,15.7324384293633,40.2390783066696,0.0628707715782435,0.103640901283094,96,68,0,1,92,57,93,58,0,0,0.989247311827957,0.982758620689655,96,68,0,1,90,58,93,58,0,0,0.967741935483871,1,92,57,91.4069220272164,0.288971488463743,pl,africa,america,afryka,ameryka,afrykaameryka,czosnekameryka,afryka,czosnek
analiza,636.998909101314,627.392736850911,-0.433102560549123,-0.387029879603402,25.382682160903,21.3108836167408,0.079125421652993,0.0690837187021506,67,104,0,7,66,95,67,97,0,2,0.985074626865672,0.979381443298969,66,103,1,8,61,85,66,95,1,4,0.924242424242424,0.894736842105263,66,95,-9.60617225040301,0.0460726809457209,pl,autopsy,analysis,sekcja zwłok,analiza,sekcja zwłokanaliza,kaskanaliza,sekcja zwłok,kask
apartament,633.979640618286,699.24346340969,-0.312283010518243,-0.147192437178751,21.3882128378331,25.4799018288645,0.07541356063937,0.071431459613416,65,95,1,5,64,82,64,87,1,2,1,0.942528735632184,65,94,1,6,62,81,64,87,1,2,0.96875,0.931034482758621,64,82,65.2638227914034,0.165090573339492,pl,house,apartment,dom,apartament,domapartament,cieczapartament,dom,ciecz
aprobata,801.633148657761,852.383887505231,0.186847006525073,0.467225062180498,42.5730400077528,39.6144994819826,0.136170214740442,0.135704554937254,83,100,1,1,74,80,80,97,0,0,0.925,0.824742268041237,82,100,2,1,79,94,79,97,1,0,1,0.969072164948454,74,80,50.7507388474702,0.280378055655426,pl,permission,approval,pozwolenie,aprobata,pozwolenieaprobata,niedźwiedźaprobata,pozwolenie,niedźwiedź
architekt,680.834200004381,658.668721306477,-0.311711438155123,-0.266934542623937,33.2631494713954,34.367154993765,0.0958360604967802,0.117718420330757,93,65,1,4,90,61,90,63,0,1,1,0.968253968253968,93,66,1,3,87,63,90,64,0,0,0.966666666666667,0.984375,90,61,-22.1654786979047,0.0447768955311855,pl,engineer,architect,inżynier,architekt,inżynierarchitekt,delikatnyarchitekt,inżynier,delikatny
