target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,ar_cue,ar_target,ar_word_combo_related,ar_word_combo_unrelated,ar_cue_word_related,ar_cue_word_unrelated
أقصى,985.934999993699,650.891777776941,0.662858786468057,-0.362529274994234,329.569238322381,67.9611354461213,1.1995816163074,0.166394351463846,6,19,0,1,5,18,5,18,0,0,1,1,5,19,1,1,4,16,4,18,1,0,1,0.888888888888889,5,18,-335.043222216758,-1.02538806146229,ar,final,ultimate,أخير,أقصى,أخيرأقصى,جنرال لواءأقصى,أخير,جنرال لواء
أقصى.1,612.415000001463,601.187099996381,-0.472586944163778,-0.616943606013528,55.9742671894897,43.9248316767207,0.141001261498715,0.147251832588532,4,12,0,1,4,10,4,10,0,0,1,1,4,12,0,1,4,10,4,10,0,0,1,1,4,10,-11.2279000050823,-0.144356661849749,ar,minimum,maximum,الحد الأدنى,أقصى,الحد الأدنىأقصى,عضوأقصى,الحد الأدنى,عضو
ألفا,845.617000000086,883.124250049194,-0.686874107313569,0.480100057518464,,42.9249580350464,,0.239215625452573,7,8,0,0,1,4,5,8,0,0,0.2,0.5,7,8,0,0,5,8,5,8,0,0,1,1,1,4,37.5072500491075,1.16697416483203,ar,bravo,alpha,أحسنت,ألفا,أحسنتألفا,صناعةألفا,أحسنت,صناعة
أمانة,585.350999910612,530.801750006154,-0.550738432122281,-0.641859086653214,121.730486599737,35.8840773271444,0.314944409463679,0.0509107186707803,6,5,0,0,5,4,5,4,0,0,1,1,6,5,0,0,5,3,5,4,0,0,1,0.75,5,4,-54.5492499044581,-0.0911206545309329,ar,loyalty,honesty,وفاء,أمانة,وفاءأمانة,تلأمانة,وفاء,تل
أمبراطور,,522.585000381572,,-0.470229087866313,,,,,,6,,0,,1,,4,,0,,0.25,,6,,0,,4,,4,,0,,1,,1,,,ar,imperial,emperor,الإمبراطوري,أمبراطور,الإمبراطوريأمبراطور,القمريأمبراطور,الإمبراطوري,القمري
أمريكا,640.861999988452,522.549500006018,-0.4581038369367,-0.589891152014308,107.784030947419,45.5005000119565,0.363019412651589,0.134519234652349,5,7,0,0,5,2,5,3,0,0,1,0.666666666666667,5,7,0,0,5,2,5,3,0,0,1,0.666666666666667,5,2,-118.312499982434,-0.131787315077608,ar,africa,america,أفريقيا,أمريكا,أفريقياأمريكا,مرساةأمريكا,أفريقيا,مرساة
أمير,458.184777782415,592.163999900192,-0.95965201293687,-0.595321522458822,41.1829645254161,33.5519999090755,0.119947754952369,0.283128033393931,11,3,1,0,9,2,9,2,0,0,1,1,11,3,1,0,9,2,9,2,0,0,1,1,9,2,133.979222117778,0.364330490478048,ar,princess,prince,أميرة,أمير,أميرةأمير,تقويمأمير,أميرة,تقويم
أناني,583.522000023833,601.642333301541,-0.766885448306332,-0.442623964618022,,38.8327302057095,,0.139489254887045,2,3,0,0,1,3,1,3,0,0,1,1,2,3,0,0,1,3,1,3,0,0,1,1,1,3,18.1203332777079,0.32426148368831,ar,stubborn,selfish,عنيد,أناني,عنيدأناني,حديدأناني,عنيد,حديد
أنثى,497.231687499473,619.828999982099,-0.803571580344089,-0.510305148537761,41.5094290008835,24.8630123121233,0.140799817556502,0.154866145324603,19,4,1,0,16,4,16,4,0,0,1,1,19,4,1,0,16,4,16,4,0,0,1,1,16,4,122.597312482627,0.293266431806327,ar,male,female,ذكر,أنثى,ذكرأنثى,تحطيمأنثى,ذكر,تحطيم
أنف,701.351473675491,729.164250039038,-0.356818836324524,-0.26094497112264,89.7353883832857,90.9530646961504,0.24937233092953,0.297429753837161,25,10,1,0,19,8,21,9,0,0,0.904761904761905,0.888888888888889,25,10,1,0,19,9,21,9,0,0,0.904761904761905,1,19,8,27.8127763635467,0.0958738652018845,ar,mouth,nose,فم,أنف,فمأنف,وحشأنف,فم,وحش
