target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,sk_cue,sk_target,sk_word_combo,unrelated_sk_cue
čiapka,556.742749971121,565.40236363479,-0.483965432087296,-0.611619670841477,32.117293588307,31.170031450278,0.128375414119694,0.0844121181223007,23,28,3,4,20,22,20,22,1,0,1,1,23,28,3,4,19,22,20,22,1,0,0.95,1,20,22,8.65961366366901,-0.127654238754181,sk,glasses,cap,okuliare,čiapka,okuliarečiapka,ohlásiť
čierna,482.678571462365,565.268578965077,-0.948700061000477,-0.531950138437368,29.9855659009702,57.7816700401462,0.0952276358474468,0.201654086583898,29,21,6,4,28,19,28,19,0,0,1,1,29,21,6,4,26,17,28,19,0,0,0.928571428571429,0.894736842105263,28,19,82.5900075027121,0.416749922563109,sk,white,black,biela,čierna,bielačierna,špionáž
čin,587.296214325504,658.943516144049,-0.414202594922651,-0.29752549404424,37.802405468964,55.1610102762055,0.166753832625425,0.185538519912942,34,37,2,5,28,31,28,32,0,0,1,0.96875,34,37,2,5,26,32,28,32,0,0,0.928571428571429,1,28,31,71.647301818545,0.116677100878411,sk,gesture,act,gesto,čin,gestočin,súkromný
činnosť,583.169277834066,603.08014814675,-0.528457037619801,-0.55099689127968,50.6167024743111,26.8610821561711,0.177437877231715,0.0581298385193735,19,33,2,2,18,27,18,29,0,0,1,0.931034482758621,17,33,4,2,17,28,17,29,1,0,1,0.96551724137931,18,27,19.9108703126846,-0.0225398536598791,sk,active,activity,aktívny,činnosť,aktívnyčinnosť,vojak
čln,661.150347905165,726.419857174015,-0.280150499235332,-0.0132593414598416,45.3148268456546,48.0359191513406,0.16969970877681,0.171915316680812,31,26,6,2,23,21,27,22,0,0,0.851851851851852,0.954545454545455,31,27,6,1,26,10,27,22,0,0,0.962962962962963,0.454545454545455,23,21,65.2695092688501,0.26689115777549,sk,submarine,boat,ponorka,čln,ponorkačln,jurisdikcia
človek,489.189810818838,539.471040000283,-0.91746975883444,-0.73096654407195,18.1557650869141,18.87827275304,0.0607867372468665,0.0634620011060856,39,27,3,5,37,25,37,26,0,0,1,0.961538461538462,39,29,3,3,37,24,37,26,0,0,1,0.923076923076923,37,25,50.281229181445,0.18650321476249,sk,man,human,muž,človek,mužčlovek,rakva
čokoláda,462.696352956335,526.291499993441,-0.974555267386905,-0.65256073352123,17.4062434487882,39.8200977607111,0.04086890030757,0.104611138315157,18,25,2,9,17,20,17,20,0,1,1,1,18,26,2,8,17,20,17,21,0,0,1,0.952380952380952,17,20,63.5951470371052,0.321994533865675,sk,sugar,chocolate,cukor,čokoláda,cukorčokoláda,význam
čoskoro,572.215739132644,661.484606060322,-0.66058065160923,-0.205148647871513,38.1956646999489,50.5845635367147,0.120274763290358,0.197830501202342,24,37,5,8,23,33,23,34,0,0,1,0.970588235294118,24,37,5,8,20,34,23,34,0,0,0.869565217391304,1,23,33,89.2688669276781,0.455432003737717,sk,late,early,neskoro,čoskoro,neskoročoskoro,obrazovka
čuch,521.668684211512,570.545065223221,-0.754806406964664,-0.549125464514547,21.1404126446434,15.8857678410673,0.0862490066471104,0.0572827973976263,24,50,3,4,19,46,20,47,0,0,0.95,0.978723404255319,23,50,4,4,19,46,20,47,0,0,0.95,0.978723404255319,19,46,48.8763810117089,0.205680942450117,sk,taste,smell,chuť,čuch,chuťčuch,nespravodlivosť
ďaleko,560.295263181599,633.70187804689,-0.634186834000303,-0.445540561797461,23.1831608437761,40.187029503309,0.102465369681057,0.118233211685172,45,45,2,4,38,41,40,41,0,0,0.95,1,46,46,1,3,38,39,40,41,0,0,0.95,0.951219512195122,38,41,73.4066148652902,0.188646272202842,sk,near,far,blízko,ďaleko,blízkoďaleko,rum
ľahký,571.655193556612,530.114071434852,-0.614000965668044,-0.6658827472003,40.5933118809857,19.1231209597271,0.125484180420282,0.0609044399220107,35,32,6,1,31,28,31,28,0,0,1,1,37,32,4,1,30,28,31,28,0,0,0.967741935483871,1,31,28,-41.5411221217596,-0.051881781532256,sk,impossible,easy,nemožný,ľahký,nemožnýľahký,kino
ľudia,525.762970607372,611.905642866765,-0.710705489639689,-0.518277088766117,20.062035911991,30.3267465815176,0.0571134904265896,0.0869621700663775,36,46,3,5,34,42,34,42,0,0,1,1,36,45,3,6,34,38,34,41,0,1,1,0.926829268292683,34,42,86.142672259393,0.192428400873572,sk,population,people,populácia,ľudia,populáciaľudia,pasca
šalát,525.083037033835,558.897340454826,-0.759048117233081,-0.620324241647138,28.6489158241606,22.4836844901239,0.0790526313263154,0.0663520802270841,30,48,7,8,27,47,27,47,0,1,1,1,30,48,7,8,26,47,27,47,0,1,0.962962962962963,1,27,47,33.8143034209908,0.138723875585943,sk,soup,salad,polievka,šalát,polievkašalát,úžasný
