target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,el_cue,el_target,el_word_combo
αεροδρόμιο,623.831823531014,605.337448993903,-0.314966335273893,-0.456102666566997,25.4310899555256,26.661818278156,0.0862511448733722,0.0646104580024339,54,52,0,0,51,49,51,50,0,0,1,0.98,53,52,1,0,50,48,50,50,1,0,1,0.96,51,49,-18.4943745371104,-0.141136331293104,el,terminal,airport,τερματικό,αεροδρόμιο,τερματικόαεροδρόμιο
αηδιαστικός,725.218933321689,788.320510636046,-0.02056582804105,0.291610019164636,43.0717387693867,42.6554291129128,0.129958635355671,0.14851791137521,53,53,0,0,45,47,46,51,0,0,0.978260869565217,0.92156862745098,53,53,0,0,44,48,46,51,0,0,0.956521739130435,0.941176470588235,45,47,63.1015773143577,0.312175847205686,el,dirty,disgusting,βρώμικος,αηδιαστικός,βρώμικοςαηδιαστικός
αιτία,581.961122466649,617.422886358431,-0.467595748318202,-0.36987288709263,21.1100840678466,28.4504839767717,0.0881394291118598,0.0886712068111542,52,54,0,0,49,45,50,49,0,0,0.98,0.918367346938776,52,53,0,1,49,46,50,49,0,0,0.98,0.938775510204082,49,44,35.4617638917823,0.0977228612255723,el,reason,cause,λόγος,αιτία,λόγοςαιτία
ακάθαρτος,836.972714267144,843.035813962264,0.448827574878829,0.457425779027377,52.0827173086103,50.288821577908,0.152386826056657,0.153232079804183,53,51,0,0,49,43,50,49,0,0,0.98,0.877551020408163,53,50,0,1,48,42,50,48,0,1,0.96,0.875,49,43,6.06309969511926,0.00859820414854845,el,nasty,filthy,δυσάρεστος,ακάθαρτος,δυσάρεστοςακάθαρτος
ακούω,600.683764717166,531.672065198504,-0.44273984347985,-0.72609516791555,28.0538732198877,20.2557657329441,0.0975761687910081,0.0584505384207976,55,51,2,0,52,46,54,48,1,0,0.962962962962963,0.958333333333333,55,51,2,0,32,45,54,48,1,0,0.592592592592593,0.9375,51,46,-69.0116995186622,-0.2833553244357,el,listen,hear,αφουγκράζομαι,ακούω,αφουγκράζομαιακούω
ακτή,583.376604276465,687.667688899903,-0.43721814390522,-0.0721962568232757,24.3195883546377,34.9973821085282,0.105178176534907,0.113714187016504,52,50,1,0,48,45,49,49,1,0,0.979591836734694,0.918367346938776,53,49,0,1,49,23,50,48,0,1,0.98,0.479166666666667,48,45,104.291084623437,0.365021887081944,el,beach,coast,παραλία,ακτή,παραλίαακτή
ακτινοβολία,717.319279997628,671.209843131138,-0.157823476612875,-0.200748598342096,31.3553968335704,23.1924333804332,0.0829847424621582,0.078155301383564,51,55,1,0,50,51,50,51,0,0,1,1,51,55,1,0,49,49,50,51,0,0,0.98,0.96078431372549,50,51,-46.1094368664898,-0.0429251217292207,el,contamination,radiation,μόλυνση,ακτινοβολία,μόλυνσηακτινοβολία
ακόμη,563.94114284781,555.386156872078,-0.625350521247484,-0.644761730394607,24.993591017858,26.6124146670922,0.0880619307808989,0.0823625249929872,51,51,2,1,49,51,49,51,0,1,1,1,51,51,2,1,45,48,49,51,0,1,0.918367346938776,0.941176470588235,49,51,-8.55498597573148,-0.019411209147123,el,already,still,ήδη,ακόμη,ήδηακόμη
αλαζονεία,746.491425550636,801.482705930215,0.0651373970665086,0.142567155528252,50.554752917795,41.2961792276233,0.152957097908297,0.11866515453235,52,53,0,1,47,51,50,52,0,1,0.94,0.980769230769231,52,53,0,1,47,52,50,52,0,1,0.94,1,47,51,54.9912803795789,0.0774297584617438,el,ignorance,arrogance,άγνοια,αλαζονεία,άγνοιααλαζονεία
αλεύρι,641.318163270797,617.874725491572,-0.28657965008407,-0.406339624868482,39.4381131817796,27.7086782017831,0.0979942431263669,0.101882542337919,50,53,0,0,49,51,50,51,0,0,0.98,1,50,53,0,0,38,49,50,51,0,0,0.76,0.96078431372549,49,51,-23.4434377792245,-0.119759974784412,el,grain,flour,σιτηρά,αλεύρι,σιτηράαλεύρι
