target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,pt_br_cue,pt_br_target,pt_br_word_combo
aconselhar,716.502376817186,687.845955220916,-0.214919827331869,-0.1469814537523,37.6338759704339,27.8188206385442,0.0896387396249457,0.072396285403005,74,79,0,0,69,67,69,70,0,0,1,0.957142857142857,74,79,0,0,69,70,69,70,0,0,1,1,69,67,-28.6564215962705,0.0679383735795696,br_pt,advice,advise,conselho,aconselhar,conselhoaconselhar
acontecer,615.76724285061,551.544638556823,-0.401080415786268,-0.593044965142611,32.6400939356446,20.1717641920649,0.0838100242481645,0.0608727307928842,82,87,0,0,70,83,70,84,0,0,1,0.988095238095238,82,87,0,0,68,83,70,84,0,0,0.971428571428571,0.988095238095238,70,83,-64.222604293786,-0.191964549356343,br_pt,occur,happen,ocorrer,acontecer,ocorreracontecer
acordo,564.266223859751,625.297093755131,-0.586670562312524,-0.437764436853809,18.9725068478584,35.0742125896743,0.0591702812212878,0.0979072703145069,71,70,1,0,67,64,67,64,0,0,1,1,71,70,1,0,65,63,67,64,0,0,0.970149253731343,0.984375,67,64,61.0308698953803,0.148906125458715,br_pt,contract,agreement,contrato,acordo,contratoacordo
acreditam,686.783586957802,650.115038467424,-0.135127055397427,-0.251382291358188,42.7998426660165,21.8646716542408,0.116073189901452,0.0627547818536831,50,59,0,1,46,52,48,56,0,0,0.958333333333333,0.928571428571429,50,59,0,1,47,56,48,56,0,0,0.979166666666667,1,46,52,-36.6685484903774,-0.116255235960761,br_pt,trust,believe,confiança,acreditam,confiançaacreditam
acusação,678.396423081715,692.60956861868,-0.114439544092626,-0.114730677765085,32.6183309163561,24.7831592430194,0.108862938796208,0.0761398825167692,85,109,0,2,78,102,79,104,0,1,0.987341772151899,0.980769230769231,84,110,1,1,76,102,78,105,1,0,0.974358974358974,0.971428571428571,78,102,14.2131455369657,-0.000291133672459143,br_pt,complaint,accusation,reclamação,acusação,reclamaçãoacusação
adicional,613.372787497703,708.411067869152,-0.32602795816031,-0.246880183737847,25.7488466551672,42.4513133895185,0.0846698285131008,0.102869938611411,88,55,2,0,80,53,83,54,1,0,0.963855421686747,0.981481481481482,88,55,2,0,81,54,83,54,1,0,0.975903614457831,1,80,53,95.0382803714491,0.0791477744224635,br_pt,extra,additional,extra,adicional,extraadicional
administrativo,755.822733949229,648.879311105355,0.271647695744374,-0.192047666167339,47.2534800297013,29.6939674119181,0.240635643691528,0.0971696622611062,56,50,0,1,55,45,55,46,0,0,1,0.978260869565217,56,50,0,1,51,46,55,46,0,0,0.927272727272727,1,54,45,-106.943422843874,-0.463695361911714,br_pt,management,administrative,gestão,administrativo,gestãoadministrativo
adolescente,692.02355884622,628.321045462342,-0.204780526621939,-0.301605842962558,31.0032836384002,28.5633357339028,0.091883218055115,0.0815689753567514,73,71,1,0,68,66,68,67,0,0,1,0.985074626865672,73,71,1,0,66,66,68,67,0,0,0.970588235294118,0.985074626865672,68,66,-63.7025133838775,-0.0968253163406188,br_pt,teenage,teenager,adolescência,adolescente,adolescênciaadolescente
adrenalina,751.729749991523,752.352588234393,-0.114342935732407,0.0520533209940493,40.8087502023938,29.3333404806521,0.0992741894017386,0.0952025515633756,51,90,2,2,48,85,48,85,0,2,1,1,51,90,2,2,47,81,48,85,0,2,0.979166666666667,0.952941176470588,48,85,0.622838242869534,0.166396256726456,br_pt,hormone,adrenaline,hormônio,adrenalina,hormônioadrenalina
aeroporto,609.057564526082,613.90817739873,-0.396266373368633,-0.319807442344648,25.6420706139632,26.6955443624313,0.0696602662067781,0.0879146414261984,66,68,0,1,62,62,62,62,0,0,1,1,65,68,1,1,60,62,62,62,0,0,0.967741935483871,1,62,62,4.8506128726475,0.0764589310239847,br_pt,terminal,airport,terminal,aeroporto,terminalaeroporto
agendar,607.185985065847,624.561492069899,-0.443889995720819,-0.368481764483312,33.6271313251244,40.4493224142391,0.0996612635638961,0.095663694089155,72,65,0,2,68,63,68,65,0,0,1,0.969230769230769,69,65,3,2,65,61,65,65,3,0,1,0.938461538461538,67,63,17.3755070040511,0.0754082312375065,br_pt,calendar,schedule,calendário,agendar,calendárioagendar
agradecer,566.297478883118,600.965833335258,-0.569886836099898,-0.463222448757816,16.9994242550379,19.4612201671664,0.0567566620297032,0.0611876492395537,76,86,3,1,71,78,71,78,0,0,1,1,76,85,3,2,69,77,71,77,0,1,0.971830985915493,1,71,78,34.6683544521399,0.106664387342082,br_pt,grateful,thank,grato,agradecer,gratoagradecer
agressor,653.279848644672,658.146911090693,-0.396051207569783,-0.320605903697371,23.6689825405716,26.6479620646313,0.0692880712019132,0.0750013626242418,62,52,2,1,60,45,60,46,0,0,1,0.978260869565217,62,52,2,1,57,44,60,46,0,0,0.95,0.956521739130435,60,45,4.86706244602101,0.075445303872412,br_pt,victim,attacker,vítima,agressor,vítimaagressor
agência,593.62501408842,596.011450995252,-0.470350274162893,-0.419627306481202,25.028915445561,23.1926592688686,0.0811917961995042,0.124501545083802,77,60,0,0,71,51,71,53,0,0,1,0.962264150943396,77,60,0,0,71,46,71,53,0,0,1,0.867924528301887,71,51,2.38643690683216,0.0507229676816907,br_pt,firm,agency,empresa,agência,empresaagência
ainda,514.759243580636,566.592074621735,-0.672836802078447,-0.528206063954924,15.3483862389814,19.9398247850658,0.0510192353727652,0.0602454024414084,83,70,0,0,78,67,79,68,0,0,0.987341772151899,0.985294117647059,83,70,0,0,77,68,79,68,0,0,0.974683544303797,1,78,67,51.8328310410998,0.144630738123523,br_pt,already,still,já,ainda,jáainda
ajudar,636.352092301993,585.887437506243,-0.434686982988821,-0.506503326477021,26.631199967542,20.6993195966547,0.0793873935268121,0.0668908329654702,70,52,1,0,65,48,65,48,0,0,1,1,70,52,1,0,64,45,65,48,0,0,0.984615384615385,0.9375,65,48,-50.4646547957499,-0.0718163434882007,br_pt,help,assist,ajuda,ajudar,ajudaajudar
alarme,527.819546479624,590.848321840864,-0.667114402638599,-0.398309290994398,16.6212039023065,26.3875041722075,0.0585402425930585,0.0979188167368799,96,95,2,2,86,87,88,89,0,1,0.977272727272727,0.97752808988764,96,95,2,2,86,86,88,89,0,1,0.977272727272727,0.966292134831461,86,87,63.0287753612399,0.268805111644201,br_pt,alert,alarm,alerta,alarme,alertaalarme
alegria,542.477556827565,576.248010751785,-0.629992563677308,-0.467356957658092,20.8679437649164,18.404683840673,0.0650412514194169,0.0564167226545131,94,98,2,1,88,93,88,94,2,0,1,0.98936170212766,94,98,2,1,87,93,88,94,2,0,0.988636363636364,0.98936170212766,88,93,33.7704539242204,0.162635606019216,br_pt,pleasure,joy,prazer,alegria,prazeralegria
alfa,659.052635135469,687.513106663841,-0.23575143914624,-0.0505599661094617,29.7245986935046,32.3250334074964,0.0964800977111978,0.112274314620601,85,82,1,1,74,75,79,77,0,0,0.936708860759494,0.974025974025974,85,81,1,2,77,73,79,76,0,1,0.974683544303797,0.960526315789474,74,75,28.4604715283725,0.185191473036779,br_pt,bravo,alpha,bravo,alfa,bravoalfa
algo,514.722523830057,588.950217399501,-0.690264697582735,-0.4583017412563,13.7822202468682,25.2505222600161,0.0592467973976505,0.0756132699901098,66,51,2,0,63,46,63,47,2,0,1,0.978723404255319,66,51,2,0,62,45,63,47,2,0,0.984126984126984,0.957446808510638,63,46,74.2276935694445,0.231962956326435,br_pt,nothing,something,nada,algo,nadaalgo
algodão,600.716418925285,523.055377050066,-0.479717855503531,-0.688483704018722,29.0255624829255,13.39588659489,0.0684316553814541,0.0469039746734988,82,63,2,1,75,61,75,62,0,0,1,0.983870967741935,83,63,1,1,70,61,75,62,0,0,0.933333333333333,0.983870967741935,74,61,-77.6610418752191,-0.20876584851519,br_pt,silk,cotton,seda,algodão,sedaalgodão
almoço,500.72834426204,519.133896108374,-0.811280118985935,-0.741200100625867,13.4446441847218,13.7220992381843,0.0405228677065359,0.0428819056635309,65,81,0,1,62,77,63,77,0,0,0.984126984126984,1,65,81,0,1,60,69,63,77,0,0,0.952380952380952,0.896103896103896,61,77,18.4055518463337,0.0700800183600683,br_pt,snack,lunch,lanche,almoço,lanchealmoço
alteza,657.777818186609,676.186260274265,-0.323937633151774,-0.0267445039676355,29.9281270738125,26.3329513546822,0.0882840794405043,0.099002161214063,73,86,2,1,66,73,68,78,1,0,0.970588235294118,0.935897435897436,73,86,2,1,65,75,68,78,1,0,0.955882352941177,0.961538461538462,66,73,18.4084420876565,0.297193129184139,br_pt,majesty,highness,majestade,alteza,majestadealteza
alto,545.285344250239,538.203325586362,-0.633105221658149,-0.613840218133802,19.521735452474,15.1046177727657,0.0603008064334918,0.052251300962885,62,93,0,2,61,86,61,87,0,0,1,0.988505747126437,62,93,0,2,58,82,61,87,0,0,0.950819672131147,0.942528735632184,61,86,-7.08201866387697,0.0192650035243472,br_pt,low,high,baixo,alto,baixoalto
altura,545.549280000473,573.702200004056,-0.63541633633324,-0.572583476675064,24.3909153597773,28.0339713958239,0.0857107283925151,0.0808600468683443,80,85,1,0,75,75,77,77,0,0,0.974025974025974,0.974025974025974,80,83,1,2,76,75,77,76,0,1,0.987012987012987,0.986842105263158,75,75,28.1529200035832,0.0628328596581766,br_pt,weight,height,peso,altura,pesoaltura
alucinação,766.417555554064,814.875660370115,0.0441132625651078,0.196473806612039,42.1224303563574,42.5282988701445,0.109751102986965,0.121498533609663,76,57,1,1,72,53,73,55,0,0,0.986301369863014,0.963636363636364,76,58,1,0,71,54,73,55,0,0,0.972602739726027,0.981818181818182,72,53,48.4581048160505,0.152360544046931,br_pt,illusion,hallucination,ilusão,alucinação,ilusãoalucinação
alvorecer,803.247364857623,853.496229149622,0.305422487198771,0.444998765164179,34.4661083084915,53.9253128164254,0.11205040610824,0.218815338200362,89,56,2,1,74,48,87,54,1,0,0.850574712643678,0.888888888888889,90,56,1,1,86,53,88,54,0,0,0.977272727272727,0.981481481481482,74,48,50.248864291999,0.139576277965408,br_pt,sunset,dawn,pôr do sol,alvorecer,pôr do solalvorecer
amar,540.894351853147,585.541211525755,-0.674138130612581,-0.556984564717816,17.5102155261815,23.2003735630183,0.0465278783579756,0.0740958281063867,111,54,0,1,108,52,109,52,0,0,0.990825688073395,1,111,54,0,1,107,52,109,52,0,0,0.981651376146789,1,108,52,44.6468596726079,0.117153565894766,br_pt,hate,love,odiar,amar,odiaramar
amarelo,563.108159998284,580.180000017638,-0.616627705151465,-0.517712767281375,23.782869421428,34.9283614331131,0.068885468455621,0.0999370897738763,102,53,1,0,100,49,101,50,0,0,0.99009900990099,0.98,102,53,1,0,99,49,101,50,0,0,0.98019801980198,0.98,100,48,17.0718400193535,0.0989149378700906,br_pt,red,yellow,vermelho,amarelo,vermelhoamarelo
amedrontar,971.669275858383,853.352710524588,0.713474278154965,0.431278209760838,49.2099450136107,37.5988351425047,0.143822247921959,0.0984655732024207,77,93,1,0,58,76,69,89,0,0,0.840579710144927,0.853932584269663,77,93,1,0,64,88,69,89,0,0,0.927536231884058,0.98876404494382,58,76,-118.316565333796,-0.282196068394127,br_pt,scare,frighten,susto,amedrontar,sustoamedrontar
amigo,533.884000007354,529.949166679848,-0.737212049908167,-0.676082825101998,20.6320309286002,23.6018305322928,0.0585354791458225,0.0830497120636496,69,51,0,1,67,48,67,48,0,0,1,1,69,51,0,1,67,48,67,48,0,0,1,1,67,48,-3.93483332750691,0.0611292248061688,br_pt,colleague,friend,colega,amigo,colegaamigo
amigáveis,687.662459007614,668.81491663684,-0.125109169029471,-0.218585549434083,31.7353274326066,35.8022366718941,0.0913931611463848,0.0894892344954139,72,54,1,0,61,48,61,49,0,0,1,0.979591836734694,72,54,1,0,59,49,61,49,0,0,0.967213114754098,1,61,48,-18.847542370774,-0.0934763804046121,br_pt,polite,friendly,educado,amigáveis,educadoamigáveis
amizade,581.899823534875,540.453321433899,-0.55297838242988,-0.62366018297416,32.7064098517566,20.9399215016881,0.100091101352378,0.0921126698801583,74,60,0,4,68,56,70,56,0,3,0.971428571428571,1,74,60,0,4,69,55,70,56,0,3,0.985714285714286,0.982142857142857,68,56,-41.4465021009757,-0.0706818005442795,br_pt,relationship,friendship,relação,amizade,relaçãoamizade
ampla,712.205564512386,700.101109079024,0.0226904893988947,-0.0393548836678407,28.1688836812089,36.8599417192583,0.0941122942098592,0.126405044116952,74,69,1,1,62,55,66,61,0,0,0.93939393939394,0.901639344262295,74,69,1,1,64,58,66,61,0,0,0.96969696969697,0.950819672131147,62,55,-12.1044554333621,-0.0620453730667353,br_pt,narrow,wide,estreito,ampla,estreitoampla
amável,598.43389060861,687.276074088138,-0.462789698887532,-0.265155927662916,25.560797117036,46.8484889030267,0.0767503764041287,0.115283437334629,68,56,0,0,64,54,64,54,0,0,1,1,68,56,0,0,63,52,64,54,0,0,0.984375,0.962962962962963,64,54,88.842183479528,0.197633771224616,br_pt,nice,lovely,legal,amável,legalamável
américa,544.965036150333,580.906548393436,-0.642253005717658,-0.509493635302629,15.0648011118562,25.1717723014781,0.0390177642189094,0.0606465941966989,92,66,0,1,83,62,83,63,0,0,1,0.984126984126984,92,66,0,1,83,54,83,63,0,0,1,0.857142857142857,83,62,35.941512243103,0.132759370415029,br_pt,africa,america,áfrica,américa,áfricaamérica
andar,567.283655161754,579.875327267818,-0.610949471913854,-0.529711826204267,24.9669586846689,27.1969382116549,0.0745005842919348,0.0721268808434941,66,58,1,3,58,55,59,55,0,0,0.983050847457627,1,66,58,1,3,58,54,59,55,0,0,0.983050847457627,0.981818181818182,58,55,12.5916721060639,0.0812376457095875,br_pt,run,walk,corre,andar,correandar
animado,545.487824269933,670.903644444205,-0.596443179912025,-0.10129697175868,19.3840545336243,53.0695784747501,0.0676289915276583,0.165217066051904,83,52,0,1,77,46,78,47,0,1,0.987179487179487,0.978723404255319,83,51,0,2,78,46,78,46,0,2,1,1,76,45,125.415820174272,0.495146208153344,br_pt,proud,excited,orgulhoso,animado,orgulhosoanimado
animal,557.761117119798,574.899757574366,-0.601544599159175,-0.5594191539978,26.1176814420022,19.5322702122627,0.065900322020014,0.0622839512428885,116,77,0,0,111,66,112,68,0,0,0.991071428571429,0.970588235294118,116,77,0,0,101,58,112,68,0,0,0.901785714285714,0.852941176470588,111,66,17.1386404545675,0.0421254451613751,br_pt,beast,animal,fera,animal,feraanimal
análise,554.008829993206,596.63189472598,-0.591784019348288,-0.428640532564742,19.239383186614,25.0714192574664,0.0547888358816654,0.0857937294866007,109,59,2,0,100,57,101,57,1,0,0.99009900990099,1,109,59,2,0,95,56,101,57,1,0,0.94059405940594,0.982456140350877,100,57,42.623064732774,0.163143486783546,br_pt,autopsy,analysis,autópsia,análise,autópsiaanálise
ao redor,754.193228076866,826.094482741492,-0.0332025216612046,0.177018327398993,45.1326425545693,45.5624444487221,0.129588541747177,0.119695671961656,62,62,0,1,57,58,60,58,0,0,0.95,1,62,62,0,1,53,51,60,58,0,0,0.883333333333333,0.879310344827586,57,58,71.9012546646258,0.210220849060198,br_pt,round,around,volta,ao redor,voltaao redor
apanhar,579.102768292681,581.531559338581,-0.552027557169078,-0.504281247653253,18.4259181667349,23.660036412162,0.0561246092050543,0.07250824017009,85,62,1,0,82,59,83,59,0,0,0.987951807228916,1,84,62,2,0,80,59,82,59,1,0,0.975609756097561,1,82,59,2.42879104589997,0.0477463095158246,br_pt,grab,catch,agarrar,apanhar,agarrarapanhar
apartamento,604.286557147897,704.744420007482,-0.359164418798149,-0.165633167985583,23.2267851810119,38.9449809593521,0.0705765982903654,0.102858637048296,78,52,1,1,71,50,71,51,1,0,1,0.980392156862745,77,52,2,1,69,48,71,51,1,0,0.971830985915493,0.941176470588235,70,50,100.457862859585,0.193531250812566,br_pt,house,apartment,casa,apartamento,casaapartamento
apreciar,613.459184785159,745.572709100579,-0.356398836182911,0.0196997316344391,22.4913649863706,48.1307792722024,0.0753033859004732,0.151683993889432,100,59,2,0,92,55,93,58,1,0,0.989247311827957,0.948275862068966,100,59,2,0,85,53,93,58,1,0,0.913978494623656,0.913793103448276,92,55,132.11352431542,0.37609856781735,br_pt,admire,appreciate,admirar,apreciar,admirarapreciar
apresentação,659.086107846776,699.003754372018,-0.324383362710157,-0.264205250453886,33.1144258717442,37.3449311235607,0.0915000161827482,0.0940179262783955,53,61,0,0,52,57,52,57,0,0,1,1,53,60,0,1,52,56,52,56,0,1,1,1,52,57,39.9176465252417,0.0601781122562707,br_pt,show,performance,exposição,apresentação,exposiçãoapresentação
aprovação,577.965155851584,601.282642841138,-0.333112693404137,-0.522585435217233,23.9745643250747,31.8060570281889,0.114464164724391,0.0907230074259392,85,50,0,0,77,42,78,42,0,0,0.987179487179487,1,85,50,0,0,78,37,78,42,0,0,1,0.880952380952381,77,42,23.3174869895538,-0.189472741813096,br_pt,permission,approval,permissão,aprovação,permissãoaprovação
aquele,558.861326897581,721.520214281827,-0.580491920209708,0.0467169460163793,17.2557529878709,36.7117636387167,0.0643229655087719,0.139253600106772,55,77,0,1,52,70,52,72,0,0,1,0.972222222222222,55,77,0,1,43,39,52,72,0,0,0.826923076923077,0.541666666666667,52,70,162.658887384246,0.627208866226087,br_pt,what,that,que,aquele,queaquele
arame,658.558029850537,661.367125007012,-0.141019755128059,-0.153418679656445,29.4167912594537,22.2798886140773,0.087023229787581,0.0911562161799025,76,92,2,2,67,72,69,87,0,1,0.971014492753623,0.827586206896552,76,92,2,2,62,85,69,87,0,1,0.898550724637681,0.977011494252874,67,72,2.80909515647443,-0.0123989245283863,br_pt,cable,wire,cabo,arame,caboarame
areia,539.870711520363,597.520759998337,-0.70960315949504,-0.525829568246057,25.5322243532343,27.7243743558898,0.0744711080324752,0.0812152961077424,64,57,1,0,52,50,53,53,1,0,0.981132075471698,0.943396226415094,64,57,1,0,53,51,53,53,1,0,1,0.962264150943396,52,50,57.650048477974,0.183773591248983,br_pt,mud,sand,lama,areia,lamaareia
arma,536.58972043277,635.253639982519,-0.603297617774955,-0.393259821373637,17.1063468680679,48.7440551679361,0.0689623156475621,0.116010902152799,99,57,2,1,93,51,95,52,0,1,0.978947368421053,0.980769230769231,99,57,2,1,95,52,95,52,0,1,1,1,93,50,98.663919549749,0.210037796401318,br_pt,pistol,weapon,pistola,arma,pistolaarma
arma de fogo,821.572416649309,708.249316447828,0.0222310668051956,0.035253099687435,57.4238346732192,29.5593685625596,0.122812307573122,0.0812203704649876,54,86,2,0,48,80,50,81,0,0,0.96,0.987654320987654,54,85,2,1,30,77,50,80,0,1,0.6,0.9625,48,79,-113.323100201481,0.0130220328822394,br_pt,rifle,gun,rifle,arma de fogo,riflearma de fogo
armaduras,715.096916671406,748.875662347133,-0.117529922181444,0.112884692500273,40.7639896373927,33.7621479792003,0.111593750907896,0.108375652919267,65,82,0,0,60,77,61,80,0,0,0.983606557377049,0.9625,65,82,0,0,59,76,61,80,0,0,0.967213114754098,0.95,60,77,33.7787456757272,0.230414614681718,br_pt,shield,armor,escudo,armaduras,escudoarmaduras
armaria,680.070146343181,813.636320004673,-0.0587147045666917,0.207199400734314,27.885038627799,59.5651000798691,0.0971362537440922,0.181479283072651,114,75,1,1,82,50,108,66,1,1,0.759259259259259,0.757575757575758,113,75,2,1,93,65,108,66,1,1,0.861111111111111,0.984848484848485,82,50,133.566173661492,0.265914105301005,br_pt,arsenal,armory,arsenal,armaria,arsenalarmaria
armazenar,667.760887264816,627.274209672046,-0.20682381063387,-0.254337521967306,25.9877359589403,29.323102706694,0.0935379777834645,0.100424818223997,86,70,1,2,76,62,77,63,1,0,0.987012987012987,0.984126984126984,86,70,1,2,76,62,77,63,1,0,0.987012987012987,0.984126984126984,76,62,-40.4866775927695,-0.0475137113334366,br_pt,shop,store,fazer compras,armazenar,fazer comprasarmazenar
armário de roupa,881.158081605624,1021.85553844499,0.406917034202586,0.69399386994278,43.5857837333934,49.7627725272162,0.123612877590292,0.135020167378569,55,55,3,0,49,52,49,53,2,0,1,0.981132075471698,57,55,1,0,49,46,51,53,0,0,0.96078431372549,0.867924528301887,49,52,140.697456839367,0.287076835740193,br_pt,cabinet,closet,gabinete,armário de roupa,gabinetearmário de roupa
arquiteto,624.320540986685,772.117796598951,-0.40300780543701,0.042335224108834,35.6084709434471,63.194278633595,0.0895928889350746,0.163095718758549,66,67,2,0,61,59,61,61,0,0,1,0.967213114754098,65,66,3,1,61,58,61,60,0,1,1,0.966666666666667,61,59,147.797255612266,0.445343029545844,br_pt,engineer,architect,engenheiro,arquiteto,engenheiroarquiteto
arrogância,632.859958920367,721.712078127081,-0.359716413849567,0.00546829542439593,27.6801707762493,45.3437757323866,0.0717056686569852,0.160062876030405,80,71,0,0,73,64,74,67,0,0,0.986486486486487,0.955223880597015,80,71,0,0,74,66,74,67,0,0,1,0.985074626865672,73,64,88.8521192067135,0.365184709273963,br_pt,ignorance,arrogance,ignorância,arrogância,ignorânciaarrogância
artificial,638.396985711626,605.623903856999,-0.203445712219956,-0.367634423160041,27.3330144990448,23.0050703380336,0.0851725747098581,0.0764250002237407,77,59,0,1,70,52,72,53,0,0,0.972222222222222,0.981132075471698,77,59,0,1,69,52,72,53,0,0,0.958333333333333,0.981132075471698,70,52,-32.7730818546273,-0.164188710940085,br_pt,natural,artificial,natural,artificial,naturalartificial
artilharia,758.03377778525,712.068734378693,-0.008272347701383,0.106139273188801,33.2422248172015,23.3239292549265,0.0849171563377916,0.0969257544212029,89,75,2,0,81,64,84,70,1,0,0.964285714285714,0.914285714285714,89,74,2,1,82,67,84,69,1,1,0.976190476190476,0.971014492753623,81,64,-45.9650434065571,0.114411620890184,br_pt,cavalry,artillery,cavalaria,artilharia,cavalariaartilharia
artéria,616.935737708852,739.682693323792,-0.367056714848197,-0.0325905060882198,22.4578745990476,33.995220290256,0.0606564371544648,0.0903374846614267,67,84,0,2,61,75,64,78,0,1,0.953125,0.961538461538462,67,84,0,2,61,78,64,79,0,0,0.953125,0.987341772151899,61,75,122.74695561494,0.334466208759977,br_pt,vein,artery,veia,artéria,veiaartéria
assaltar,524.438013886942,606.180853335365,-0.676166716485571,-0.387915005061659,13.0417471659395,18.2710227474426,0.0461253644412612,0.0568852603201519,81,81,1,0,72,75,72,75,0,0,1,1,81,81,1,0,72,74,72,75,0,0,1,0.986666666666667,72,75,81.742839448423,0.288251711423912,br_pt,steal,rob,roubar,assaltar,roubarassaltar
