target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,pt_br_cue,pt_br_target,pt_br_word_combo
abandono,692.915290702461,688.762527274301,-0.131157591598196,-0.210438670827466,29.460755688088,36.9076349178571,0.0760433520023424,0.096139861658474,94,57,2,0,86,55,89,57,1,0,0.966292134831461,0.964912280701754,95,57,1,0,85,56,90,57,0,0,0.944444444444444,0.982456140350877,86,55,-4.15276342816026,-0.0792810792292702,br_pt,leave,abandon,sair,abandono,sairabandono
abdominal,808.646957901459,671.704163257423,0.294862750361916,-0.0757363881841222,37.0096865583649,24.7234069210263,0.107049055113204,0.069651111516106,101,53,1,0,95,49,99,49,0,0,0.95959595959596,1,99,53,3,0,57,49,97,49,2,0,0.587628865979381,1,95,49,-136.942794644036,-0.370599138546038,br_pt,spinal,abdominal,espinal,abdominal,espinalabdominal
abraço,546.622337323337,586.815059532106,-0.656412202317774,-0.539784966640345,23.2879234269087,29.2429757159969,0.0717703937303565,0.0774951844115967,92,90,0,0,83,84,84,84,0,0,0.988095238095238,1,92,89,0,1,81,79,84,83,0,1,0.964285714285714,0.951807228915663,83,84,40.1927222087687,0.116627235677428,br_pt,kiss,hug,beijo,abraço,beijoabraço
abrigo,570.854112239687,734.985386664631,-0.482697478397897,-0.158681705030549,17.9522477123275,46.8683771605468,0.0599271285631813,0.121694884221525,104,79,3,1,98,75,99,76,1,0,0.98989898989899,0.986842105263158,104,79,3,1,98,75,99,76,1,0,0.98989898989899,0.986842105263158,98,75,164.131274424943,0.324015773367348,br_pt,refuge,shelter,refúgio,abrigo,refúgioabrigo
absurdo,601.14683332443,603.741725802008,-0.473029219535934,-0.328450315095148,23.5128327485249,24.6962231276702,0.0661362277712537,0.0867002331176011,78,68,0,3,72,62,72,62,0,2,1,1,77,68,1,3,69,61,72,62,0,2,0.958333333333333,0.983870967741935,72,62,2.59489247757858,0.144578904440786,br_pt,ridiculous,absurd,ridículo,absurdo,ridículoabsurdo
acampamento,718.853666659779,772.094468091249,-0.183062428732312,0.0504394477071533,34.5076437539363,49.3747082825996,0.0750458245747388,0.167430495775749,54,50,1,0,48,47,49,47,1,0,0.979591836734694,1,54,50,1,0,43,45,49,47,1,0,0.877551020408163,0.957446808510638,48,47,53.2408014314698,0.233501876439465,br_pt,picnic,camping,piquenique,acampamento,piqueniqueacampamento
aceitar,530.056645585252,559.257161772122,-0.703230745924984,-0.59671408034163,20.9089987108377,15.1527525116827,0.0577625007814152,0.0486073869666117,86,76,0,1,79,68,80,69,0,1,0.9875,0.985507246376812,86,76,0,1,79,68,80,69,0,1,0.9875,0.985507246376812,79,68,29.2005161868694,0.106516665583353,br_pt,refuse,accept,recusar,aceitar,recusaraceitar
acidente,572.463057979406,618.42552543862,-0.43160040171911,-0.342643697074666,20.324101614797,28.0444253600762,0.0751158398184377,0.0952443529346698,75,63,1,2,69,59,69,59,0,1,1,1,75,63,1,2,68,58,69,59,0,1,0.985507246376812,0.983050847457627,69,59,45.9624674592146,0.0889567046444431,br_pt,incident,accident,incidente,acidente,incidenteacidente
acima,526.831795452113,581.933431376436,-0.68991993446691,-0.552258143448536,21.8945837334346,26.7718455348366,0.0687601144924743,0.108867552187295,93,54,2,1,88,51,88,51,0,1,1,1,94,54,1,1,87,51,88,51,0,1,0.988636363636364,1,88,51,55.1016359243229,0.137661791018374,br_pt,down,up,abaixo,acima,abaixoacima
acompanhar,583.400000004375,652.986608689274,-0.373320670950928,-0.299893537872536,19.0703010588686,33.1463395154018,0.0576927509896584,0.0790022285739038,80,73,3,0,70,69,71,70,1,0,0.985915492957746,0.985714285714286,80,73,3,0,61,64,71,70,1,0,0.859154929577465,0.914285714285714,70,69,69.5866086848984,0.0734271330783923,br_pt,escort,accompany,escolta,acompanhar,escoltaacompanhar
