target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,es_cue,es_target,es_word_combo
América,548.366380961563,588.858975613327,-0.624192621968392,-0.254202418817753,22.5198182666066,21.9780494810837,0.0768671881704348,0.0769571436295717,74,134,0,2,63,123,64,126,0,0,0.984375,0.976190476190476,74,133,0,3,63,102,64,125,0,1,0.984375,0.816,63,123,40.4925946517635,0.369990203150639,es,,,,,
Atlántico,552.035380432312,647.836704059139,-0.500028652911663,-0.0858678579298548,15.0644431953376,13.8195191246094,0.0543876574870784,0.0495212745014399,102,105,1,0,92,98,94,100,0,0,0.978723404255319,0.98,102,105,1,0,92,98,94,100,0,0,0.978723404255319,0.98,92,98,95.801323626827,0.414160794981808,es,,,,,
Batman,540.935484837121,713.207622424803,-0.4162080535506,0.331116044516738,22.7087784674979,25.1378166380673,0.0977829291143342,0.100943103257065,102,112,0,1,99,99,100,110,0,0,0.99,0.9,101,112,1,1,97,109,99,110,1,0,0.97979797979798,0.990909090909091,99,98,172.272137587682,0.747324098067338,es,,,,,
Boston,629.203612897715,726.858402412527,-0.295583378734501,0.122465765968251,27.501814515935,42.1876311770389,0.0929680801003075,0.134864012819157,102,96,1,1,93,82,96,92,0,1,0.96875,0.891304347826087,102,96,1,1,76,88,96,92,0,1,0.791666666666667,0.956521739130435,93,82,97.6547895148116,0.418049144702752,es,,,,,
Julieta,529.826851480941,613.27504414029,-0.53290282001767,-0.316897722748922,14.744769456656,21.5730217746298,0.0702630838658496,0.0721606443354028,103,80,1,4,101,68,101,74,1,0,1,0.918918918918919,102,80,2,4,95,72,100,74,2,0,0.95,0.972972972972973,101,68,83.4481926593493,0.216005097268748,es,,,,,
Roma,541.053792231568,593.254096387608,-0.56654541688157,-0.503258236343388,24.5934027940433,20.9515787410057,0.0918400156337157,0.0688121766656421,79,89,0,2,77,83,77,84,0,0,1,0.988095238095238,79,89,0,2,71,71,77,84,0,0,0.922077922077922,0.845238095238095,77,83,52.2003041560404,0.0632871805381824,es,,,,,
VIH,648.242207792799,804.927952752914,-0.175987078941535,0.787195251564628,28.5133054123382,28.191245114491,0.0967145769598952,0.124277088755561,82,157,1,4,77,127,78,147,0,3,0.987179487179487,0.863945578231292,82,158,1,3,74,146,78,148,0,2,0.948717948717949,0.986486486486487,77,127,156.685744960115,0.963182330506162,es,,,,,
Venus,515.259638298487,603.155265615791,-0.709448967535829,-0.151737906410501,11.1284966057573,22.0005653874519,0.0356900478942065,0.0809067213949756,152,74,1,1,141,64,141,72,0,0,1,0.888888888888889,152,74,1,1,137,70,141,72,0,0,0.971631205673759,0.972222222222222,141,64,87.8956273173039,0.557711061125327,es,,,,,
Watson,675.509433756592,921.327571436696,-0.0765149774159577,0.787073558418808,27.4640097951319,56.3240212823973,0.143852383539598,0.178381029589414,92,97,1,5,83,63,88,91,0,1,0.943181818181818,0.692307692307692,91,97,2,5,68,87,87,91,1,1,0.781609195402299,0.956043956043956,83,63,245.818137680105,0.863588535834766,es,,,,,
abadejo,872.951368436297,950.085857137394,0.877184992731893,0.943739918700658,59.6435236480307,51.2134071354843,0.253348345833564,0.19795631099887,88,98,1,1,38,28,87,93,1,0,0.436781609195402,0.301075268817204,88,98,1,1,65,90,87,93,1,0,0.747126436781609,0.967741935483871,38,28,77.1344887010971,0.0665549259687648,es,ming,ling,lenguado,abadejo,lenguadoabadejo
abandonar,615.062683328069,660.921616285572,-0.367805619552661,-0.144253806456083,24.8384357397524,24.820347821953,0.069718395192847,0.0858980486481614,130,98,2,1,120,86,121,89,1,0,0.991735537190083,0.966292134831461,131,97,1,2,119,86,122,89,0,0,0.975409836065574,0.966292134831461,120,86,45.8589329575028,0.223551813096577,es,leave,abandon,dejar,abandonar,dejarabandonar
abdomen,562.352546395374,643.106115779455,-0.364043644939188,-0.18368517526729,10.2815009916627,22.7483367145137,0.0463826835779667,0.0563578449175787,105,103,1,6,97,95,102,99,0,0,0.950980392156863,0.95959595959596,105,103,1,6,100,94,102,99,0,0,0.980392156862745,0.94949494949495,97,95,80.7535693840813,0.180358469671898,es,spinal,abdominal,espalda,abdomen,espaldaabdomen
abducir,819.332619983064,811.56654688728,0.460544289610761,0.479929894656426,31.4757778141667,32.9293144867263,0.12165277923222,0.11539478628129,71,77,4,4,50,64,65,76,0,1,0.769230769230769,0.842105263157895,71,77,4,4,64,75,65,76,0,1,0.984615384615385,0.986842105263158,50,64,-7.76607309578401,0.0193856050456651,es,kidnap,abduct,secuestrar,abducir,secuestrarabducir
abrazo,502.212954553018,578.023382606792,-0.699636067420947,-0.552016135361687,14.1566514338485,18.6637078434704,0.0471011714562962,0.059101222655953,115,123,1,2,111,115,113,115,0,0,0.982300884955752,1,115,123,1,2,111,114,113,115,0,0,0.982300884955752,0.991304347826087,110,115,75.8104280537734,0.14761993205926,es,kiss,hug,beso,abrazo,besoabrazo
