target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,es_cue,es_target,es_word_combo
absorber,622.875840893065,661.538427701026,-0.0801447462881266,-0.0992801281838166,16.3104725350702,25.516384678032,0.0636556067753227,0.0862678435634427,148,170,2,4,132,166,138,166,0,1,0.956521739130435,1,148,170,2,4,124,151,138,166,0,1,0.898550724637681,0.909638554216867,132,166,38.6625868079612,-0.01913538189569,es,drop,sip,derramar,absorber,derramarabsorber
absurdo,586.684598133448,584.693336721943,-0.44788008811667,-0.358255127622614,26.4557092922001,18.0138792654055,0.084703311533132,0.0631892618194441,112,104,2,1,107,98,108,100,0,0,0.990740740740741,0.98,114,104,0,1,107,84,108,99,0,1,0.990740740740741,0.848484848484849,107,98,-1.99126141150464,0.0896249604940556,es,ridiculous,absurd,ridículo,absurdo,ridículoabsurdo
abuela,451.154036173097,555.214642283301,-0.878535741073443,-0.512323116253512,18.0124887653162,18.4044676081989,0.0643473021438384,0.0695050885367302,84,126,2,0,83,123,83,124,0,0,1,0.991935483870968,84,126,2,0,80,119,83,124,0,0,0.963855421686747,0.959677419354839,83,123,104.060606110204,0.366212624819931,es,grandfather,grandmother,abuelo,abuela,abueloabuela
accidente,562.142397724655,545.467752033506,-0.563076488390152,-0.498802865293095,20.6583721182412,15.060224563022,0.0538417081180658,0.0487801315606672,90,135,2,1,88,125,88,130,1,0,1,0.961538461538462,90,136,2,0,84,123,88,130,1,0,0.954545454545455,0.946153846153846,88,125,-16.6746456911484,0.0642736230970573,es,incident,accident,incidente,accidente,incidenteaccidente
acción,527.533149657172,492.422978252286,-0.586354284731192,-0.622559458244635,19.0356810996948,13.3838806096954,0.0798905479147837,0.0593872352582547,153,94,3,0,147,92,147,92,0,0,1,1,153,93,3,1,129,85,147,91,0,1,0.877551020408163,0.934065934065934,147,92,-35.1101714048854,-0.0362051735134425,es,gesture,act,gesto,acción,gestoacción
acento,564.488040526651,653.49506139473,-0.440746456036033,-0.0919675064058385,35.5531333673411,27.7200222642607,0.129913957871098,0.122345289073968,79,122,2,0,74,114,76,116,1,0,0.973684210526316,0.982758620689655,79,122,2,0,75,110,76,116,1,0,0.986842105263158,0.948275862068966,74,114,89.0070208680786,0.348778949630195,es,voice,accent,voz,acento,vozacento
aceptar,496.462240003102,510.373719117489,-0.753839379663554,-0.641587218105071,11.9502003333975,12.1774605192496,0.0356121858832036,0.044433210200773,128,91,0,2,125,89,126,90,0,1,0.992063492063492,0.988888888888889,128,91,0,2,121,84,126,90,0,1,0.96031746031746,0.933333333333333,125,89,13.9114791143867,0.112252161558482,es,refuse,accept,rechazar,aceptar,rechazaraceptar
acero,584.993717639753,634.663225368098,-0.361857145810388,-0.131985519665065,19.0936474374735,30.6385084768333,0.0691116310977026,0.093801548490078,91,77,4,1,85,71,86,74,1,1,0.988372093023256,0.959459459459459,91,77,4,1,79,71,86,74,1,1,0.918604651162791,0.959459459459459,85,71,49.669507728345,0.229871626145323,es,concrete,steel,cemento,acero,cementoacero
acompañar,585.241878262829,572.327772366614,-0.320241838244975,-0.338017452723489,16.6029498148003,13.429276955241,0.0667730741934402,0.0550757667083608,121,130,0,2,115,123,117,124,0,1,0.982905982905983,0.991935483870968,121,130,0,2,98,120,117,124,0,1,0.837606837606838,0.967741935483871,115,123,-12.9141058962142,-0.0177756144785135,es,escort,accompany,escoltar,acompañar,escoltaracompañar
aconsejar,603.843914075058,689.320533334626,-0.297176311507796,-0.0367119454555155,18.0971980403265,24.8460117351974,0.0527044104691024,0.0794156323081956,130,83,0,0,129,75,129,77,0,0,1,0.974025974025974,128,83,2,0,124,76,127,77,2,0,0.976377952755906,0.987012987012987,128,75,85.4766192595673,0.26046436605228,es,advice,advise,consejo,aconsejar,consejoaconsejar
actitud,545.403645420966,540.919277096348,-0.601745310902137,-0.578068051195514,24.2699469696546,19.5744088356886,0.0690030775763777,0.0519181580683417,115,85,3,3,110,83,111,84,2,1,0.990990990990991,0.988095238095238,115,85,3,3,110,78,111,84,2,1,0.990990990990991,0.928571428571429,110,83,-4.48436832461789,0.0236772597066224,es,opinion,attitude,opinión,actitud,opiniónactitud
activar,526.561539808838,552.695854975007,-0.625681791616782,-0.587298926669815,14.6805072006205,18.1987450478401,0.0524143256451037,0.0549561711412238,120,133,4,1,113,131,116,131,1,1,0.974137931034483,1,120,132,4,2,102,121,116,130,1,2,0.879310344827586,0.930769230769231,113,131,26.1343151661689,0.0383828649469674,es,trigger,activate,detonar,activar,detonaractivar
actividad,542.413414400649,608.257317084289,-0.572122680362716,-0.265924127402116,15.9487754636454,25.9105889997972,0.0584983866404178,0.0770518853588673,117,85,0,2,111,82,112,83,0,2,0.991071428571429,0.987951807228916,117,85,0,2,110,70,112,83,0,2,0.982142857142857,0.843373493975904,111,82,65.8439026836406,0.3061985529606,es,active,activity,activo,actividad,activoactividad
actor,506.785313723545,527.962392407051,-0.711318551051408,-0.605408603594205,15.9917221796053,13.8901442841756,0.047693213755504,0.0537482892993087,109,86,1,2,103,79,103,80,0,0,1,0.9875,109,86,1,2,99,80,103,80,0,0,0.961165048543689,1,102,79,21.1770786835067,0.105909947457203,es,author,actor,autor,actor,autoractor
actuación,608.616024677886,613.716504945199,-0.398853255954995,-0.322742168773255,30.3185472781113,16.8671500571186,0.0749513387036448,0.0580234417930394,84,106,3,1,81,101,81,103,3,0,1,0.980582524271845,84,106,3,1,80,101,81,103,3,0,0.987654320987654,0.980582524271845,81,101,5.1004802673126,0.0761110871817405,es,show,performance,espectáculo,actuación,espectáculoactuación
actualizar,596.029723622945,595.094897447568,-0.371656033648659,-0.348756868633716,16.1556792089949,16.4936437180904,0.0566205662271425,0.0567720840785075,207,87,1,1,199,78,199,79,0,0,1,0.987341772151899,207,87,1,1,196,77,199,79,0,0,0.984924623115578,0.974683544303797,199,78,-0.934826175376884,0.0228991650149424,es,fresh,refresh,actual,actualizar,actualactualizar
acusación,680.323246935335,661.853872349824,-0.0465215507129781,0.0405457265174894,29.9033039237401,21.6081733962157,0.0834665599592048,0.0873800565991982,89,103,2,3,81,94,85,96,1,3,0.952941176470588,0.979166666666667,90,106,1,0,74,93,86,99,0,0,0.86046511627907,0.93939393939394,81,94,-18.4693745855114,0.0870672772304675,es,complaint,accusation,queja,acusación,quejaacusación
adicional,580.92591399142,589.102670090634,-0.344034583997052,-0.363985867397711,16.6306679325159,25.4893244984712,0.0591068971776933,0.0751539690979847,95,105,1,3,93,97,94,100,0,1,0.98936170212766,0.97,95,105,1,3,86,90,94,100,0,1,0.914893617021277,0.9,93,97,8.17675609921355,-0.0199512834006588,es,extra,additional,extra,adicional,extraadicional
adiós,489.823347808134,524.689381559259,-0.792794954424105,-0.61390984873543,12.236129452948,17.1821420792103,0.0420054967289639,0.0684261908453393,120,80,1,0,115,76,115,76,1,0,1,1,121,80,0,0,112,71,116,76,0,0,0.96551724137931,0.93421052631579,115,76,34.8660337511252,0.178885105688675,es,hello,bye,hola,adiós,holaadiós
adolescente,631.037588226646,561.737999984857,-0.158366632065589,-0.462300199494811,34.8903949057436,15.6097368823313,0.144462032801477,0.0629981670642129,71,103,2,1,68,97,68,100,2,0,1,0.97,71,103,2,1,67,97,68,100,2,0,0.985294117647059,0.97,68,97,-69.2995882417887,-0.303933567429222,es,teenage,teenager,adolescencia,adolescente,adolescenciaadolescente
adrenalina,626.76411999353,636.742987329216,-0.197925418781053,-0.233475653553279,21.4379424715736,22.7806975769794,0.0809058191252539,0.0831827198893745,81,90,1,3,75,79,77,83,0,1,0.974025974025974,0.951807228915663,81,90,1,3,73,81,77,83,0,1,0.948051948051948,0.975903614457831,75,79,9.97886733568578,-0.0355502347722256,es,hormone,adrenaline,hormona,adrenalina,hormonaadrenalina
adversario,601.310444443335,762.260833340292,-0.401223144255801,0.40417162630859,20.4775598687835,37.6056119732126,0.0634373298604739,0.135177308622406,85,91,2,0,81,85,81,88,1,0,1,0.965909090909091,85,91,2,0,80,80,81,88,1,0,0.987654320987654,0.909090909090909,81,84,160.950388896957,0.805394770564391,es,enemy,opponent,oponente,adversario,oponenteadversario
aeropuerto,602.606022995336,593.42256585605,-0.259650041382638,-0.33549233880566,27.1361920910363,16.9205343832479,0.0986031177654594,0.0571776509247934,91,133,0,1,87,129,87,131,0,1,1,0.984732824427481,91,134,0,0,86,128,87,132,0,0,0.988505747126437,0.96969696969697,87,129,-9.18345713928579,-0.0758422974230214,es,terminal,airport,terminal,aeropuerto,terminalaeropuerto
agencia,549.726300000344,748.878848838461,-0.553952115045129,0.367875596659021,13.8669386813539,45.543144125899,0.044895051383334,0.16946666876084,160,90,3,3,150,86,152,87,0,2,0.986842105263158,0.988505747126437,160,90,3,3,149,70,152,87,0,2,0.980263157894737,0.804597701149425,150,86,199.152548838117,0.921827711704149,es,firm,agency,compañía,agencia,compañíaagencia
agenda,531.151387116698,597.643836216915,-0.593469008704089,-0.366779816507723,14.5782146006433,23.0009971354092,0.0608173404873871,0.0739935411280867,97,122,1,0,93,116,93,118,0,0,1,0.983050847457627,96,122,2,0,91,97,93,118,0,0,0.978494623655914,0.822033898305085,93,116,66.4924491002167,0.226689192196366,es,calendar,schedule,calendario,agenda,calendarioagenda
agradable,573.607671051921,533.903578337395,-0.476971284094741,-0.574904099089591,20.6750679876924,14.8850703088525,0.0707222940148198,0.0445262462356623,79,91,0,2,76,83,76,83,0,1,1,1,79,91,0,2,76,81,76,83,0,1,1,0.975903614457831,76,83,-39.7040927145257,-0.0979328149948503,es,comfortable,pleasant,cómodo,agradable,cómodoagradable
agresor,583.665450540881,657.644431387809,-0.291828268915823,-0.0875842655903736,17.8065687553252,21.6145326458634,0.0770252935082189,0.0839318098171294,96,111,1,4,91,103,92,105,0,2,0.989130434782609,0.980952380952381,96,112,1,3,91,103,92,106,0,1,0.989130434782609,0.971698113207547,91,102,73.9789808469286,0.204244003325449,es,victim,attacker,víctima,agresor,víctimaagresor
agujero,570.401922421793,610.612273829626,-0.445550312920038,-0.296583306897274,20.7917527134217,23.6612272326761,0.0641260448380788,0.0851465910334048,119,90,0,0,116,84,118,88,0,0,0.983050847457627,0.954545454545455,118,90,1,0,103,85,117,88,1,0,0.88034188034188,0.965909090909091,116,84,40.2103514078324,0.148967006022764,es,crack,hole,grieta,agujero,grietaagujero
alambre,568.280039445419,645.474288294111,-0.290748019895193,-0.0523408566239025,16.2581197033965,20.922619010254,0.0805470422358211,0.0851437126249205,79,127,1,2,76,111,76,114,1,0,1,0.973684210526316,80,127,0,2,77,112,77,114,0,0,1,0.982456140350877,76,111,77.1942488486923,0.238407163271291,es,cable,wire,cable,alambre,cablealambre
alarma,531.951504276707,561.978908268465,-0.593963389472585,-0.542299439733326,20.0998430071951,23.0593237638614,0.069275432190651,0.0875515626051643,125,112,2,1,117,109,118,109,1,1,0.991525423728814,1,125,111,2,2,112,109,118,109,1,1,0.949152542372881,1,117,109,30.0274039917575,0.0516639497392586,es,alert,alarm,alerta,alarma,alertaalarma
alcalde,609.648362643243,561.459092738078,-0.317280131560772,-0.452565327894068,20.3219180883154,21.248622325951,0.0640632005100061,0.0680613993528765,100,100,2,1,91,97,92,99,0,1,0.989130434782609,0.97979797979798,98,100,4,1,61,98,91,99,1,1,0.67032967032967,0.98989898989899,91,97,-48.1892699051643,-0.135285196333296,es,sheriff,mayor,alguacil,alcalde,alguacilalcalde
alegría,558.633230763061,564.107401185886,-0.55823028426615,-0.493032645822002,33.1236259110102,19.8445483172539,0.0948609983518024,0.0726876827224322,99,174,0,1,91,167,92,167,0,0,0.989130434782609,1,99,174,0,1,90,163,92,167,0,0,0.978260869565217,0.976047904191617,91,167,5.47417042282552,0.0651976384441479,es,pleasure,joy,placer,alegría,placeralegría
alfa,661.160367351141,660.124231318793,0.180363807864446,0.0921377055055749,22.4271527219381,17.1016635709625,0.10093191370225,0.0808452807673165,113,166,0,5,98,147,107,157,0,2,0.91588785046729,0.936305732484076,113,166,0,5,100,154,107,157,0,2,0.934579439252336,0.980891719745223,98,147,-1.03613603234771,-0.0882261023588708,es,bravo,alpha,bravo,alfa,bravoalfa
alfombra,591.88753399595,580.87344943768,-0.351936771793549,-0.414930760105166,18.1667373274535,20.4186723446606,0.0698204687937242,0.0666279115904334,113,93,1,2,103,89,108,91,1,0,0.953703703703704,0.978021978021978,112,93,2,2,105,90,108,91,1,0,0.972222222222222,0.989010989010989,103,89,-11.01408455827,-0.0629939883116171,es,floor,carpet,suelo,alfombra,sueloalfombra
algo,529.436292325814,562.358375023703,-0.72948413798597,-0.473058277184675,23.1190383105549,17.1972636411025,0.0656325003341336,0.0653005827332955,73,89,3,0,65,80,65,82,0,0,1,0.975609756097561,73,89,3,0,61,81,65,82,0,0,0.938461538461538,0.98780487804878,65,80,32.922082697889,0.256425860801295,es,nothing,something,nada,algo,nadaalgo
algodón,573.282742423355,590.364246909825,-0.42739242235602,-0.459024741824618,17.0272775738163,18.0512590275577,0.0814294325879213,0.0668375341518753,144,86,1,1,132,81,133,81,1,0,0.992481203007519,1,144,86,1,1,115,81,133,81,1,0,0.864661654135338,1,132,81,17.0815044864695,-0.0316323194685973,es,silk,cotton,seda,algodón,sedaalgodón
algún,518.826921254495,629.368564093693,-0.662390539800593,-0.264508579998758,18.0590187460774,23.6657023383081,0.0527856783999641,0.0864383414387266,134,87,4,5,127,78,127,82,0,1,1,0.951219512195122,134,87,4,5,124,64,127,82,0,1,0.976377952755906,0.780487804878049,127,78,110.541642839198,0.397881959801835,es,elsewhere,somewhere,otro,algún,otroalgún
allí,549.96205487213,564.039016528908,-0.601859381444889,-0.495821437111514,13.3904427363448,12.7760009222063,0.0460249938973916,0.0438832219750469,169,131,3,2,164,121,165,123,2,1,0.993939393939394,0.983739837398374,169,132,3,1,160,121,165,124,2,0,0.96969696969697,0.975806451612903,164,121,14.0769616567784,0.106037944333374,es,here,there,aquí,allí,aquíallí
almuerzo,555.059449541265,588.922000013322,-0.528966623759232,-0.370444933196006,16.3865024566858,23.5172698685177,0.0501123536188053,0.0768751572369568,116,165,2,0,109,160,110,162,1,0,0.990909090909091,0.987654320987654,116,165,2,0,104,144,110,162,1,0,0.945454545454545,0.888888888888889,109,159,33.8625504720568,0.158521690563226,es,snack,lunch,bocadillo,almuerzo,bocadilloalmuerzo
alquilar,605.624457496213,546.799000018693,-0.285706012162556,-0.551481155235965,19.1155069645425,23.1008991849191,0.0595679449670567,0.066525633530236,157,99,3,0,153,93,154,94,1,0,0.993506493506494,0.98936170212766,157,99,3,0,153,88,154,94,1,0,0.993506493506494,0.936170212765957,153,93,-58.8254574775202,-0.265775143073409,es,hire,rent,contratar,alquilar,contrataralquilar
alrededor,594.235524158972,655.680041659418,-0.348056037937009,-0.301764142949916,11.4090825751666,37.1330119367515,0.0479428141932307,0.0915688850579169,151,73,1,0,145,72,146,72,0,0,0.993150684931507,1,151,72,1,1,142,67,146,71,0,1,0.972602739726027,0.943661971830986,145,72,61.4445175004462,0.0462918949870924,es,round,around,rodear,alrededor,rodearalrededor
alteza,575.620546882645,650.423149438149,-0.403942569348941,-0.0424277819793818,16.1435229519988,19.9886628103124,0.0628498898215096,0.0878210067620364,136,97,1,1,128,87,128,92,0,0,1,0.945652173913043,136,96,1,2,120,85,128,91,0,1,0.9375,0.934065934065934,128,87,74.8026025555037,0.361514787369559,es,majesty,highness,majestad,alteza,majestadalteza
alto,485.069836883498,541.819564095566,-0.790199022197298,-0.532671489480378,14.7579811992649,16.7828448167272,0.054765202364366,0.0598731612155447,148,123,0,1,141,117,144,119,0,0,0.979166666666667,0.983193277310924,148,123,0,1,141,118,144,119,0,0,0.979166666666667,0.991596638655462,141,117,56.7497272120686,0.257527532716921,es,low,high,bajo,alto,bajoalto
altura,555.802471339866,554.460557978367,-0.523672494272027,-0.487614530729872,17.1284599719915,11.2596420006439,0.0616591816115711,0.0419550684867881,162,146,1,1,157,138,158,140,1,0,0.993670886075949,0.985714285714286,162,145,1,2,156,137,158,140,1,0,0.987341772151899,0.978571428571429,157,138,-1.34191336149934,0.0360579635421552,es,weight,height,peso,altura,pesoaltura
alucinación,694.410358771622,695.849506327352,-0.0307061321716378,-0.00736540603618779,20.843218526772,27.9129085222101,0.0670426461806693,0.0802355512407729,138,88,1,1,131,79,134,81,0,0,0.977611940298508,0.975308641975309,139,87,0,2,127,66,134,80,0,1,0.947761194029851,0.825,131,79,1.43914755572973,0.02334072613545,es,illusion,hallucination,espejismo,alucinación,espejismoalucinación
amanecer,544.327471082277,606.747333311062,-0.591552062360243,-0.339087487350047,18.6830920257513,17.9661355956484,0.0528175666835845,0.057510964975749,124,99,1,1,121,93,121,93,0,0,1,1,124,99,1,1,118,89,121,93,0,0,0.975206611570248,0.956989247311828,121,93,62.4198622287845,0.252464575010195,es,sunset,dawn,atardecer,amanecer,atardeceramanecer
amanecer.1,567.768044104662,534.976771605155,-0.377206369623083,-0.567235770621345,16.5213627363086,11.7095618675515,0.066209381892708,0.0406017760131133,145,167,0,3,136,162,139,163,0,2,0.97841726618705,0.993865030674847,145,167,0,3,136,160,139,163,0,2,0.97841726618705,0.98159509202454,136,162,-32.7912724995064,-0.190029400998262,es,tomorrow,morning,mañana,amanecer,mañanaamanecer
amarillo,510.726867628722,564.035216978284,-0.683461014723214,-0.556763610187106,14.395234577357,21.9605777911892,0.0485352987975805,0.0640383220039408,76,108,0,3,68,106,68,106,0,0,1,1,76,108,0,3,67,106,68,106,0,0,0.985294117647059,1,68,106,53.3083493495621,0.126697404536108,es,red,yellow,rojo,amarillo,rojoamarillo
amigo,515.908082487366,520.123346545012,-0.646079260232565,-0.620337384544838,15.6372494026947,13.7337325408163,0.0721817227197478,0.0526942399161851,104,108,2,1,97,101,98,102,0,0,0.989795918367347,0.990196078431373,104,108,2,1,94,101,98,102,0,0,0.959183673469388,0.990196078431373,97,101,4.21526405764666,0.0257418756877275,es,colleague,friend,colega,amigo,colegaamigo
amistad,538.657656041904,544.324469702172,-0.623359202195394,-0.645803525210905,14.0740985698833,21.9358080796031,0.0478044090615326,0.0703433111600442,168,69,3,5,157,66,159,66,1,2,0.987421383647799,1,169,69,2,5,159,65,159,66,1,2,1,0.984848484848485,157,66,5.66681366026705,-0.0224443230155115,es,relationship,friendship,relación,amistad,relaciónamistad
amistoso,541.474265494699,545.892968496365,-0.502759540525938,-0.575197175060175,18.4519871554102,13.1597162753461,0.0689136182976199,0.0394522890156643,120,137,5,4,113,127,115,127,1,0,0.982608695652174,1,120,137,5,4,112,125,115,127,1,0,0.973913043478261,0.984251968503937,113,127,4.41870300166568,-0.0724376345342364,es,polite,friendly,amable,amistoso,amableamistoso
amor,463.613641013296,502.92818057531,-0.883388323496651,-0.711779380649216,9.90069310340617,11.6826775881682,0.0348322226271466,0.0435249852075075,124,147,1,0,117,144,117,145,0,0,1,0.993103448275862,124,147,1,0,116,145,117,145,0,0,0.991452991452991,1,117,144,39.3145395620141,0.171608942847434,es,hate,love,odio,amor,odioamor
amoroso,580.035415706043,591.463525263082,-0.484510700444312,-0.412310706737135,24.3815919830572,27.5647359912457,0.0766429675188697,0.0897618561887789,94,102,1,3,89,99,90,99,0,1,0.988888888888889,1,94,102,1,3,87,94,90,99,0,1,0.966666666666667,0.94949494949495,89,99,11.4281095570393,0.0721999937071772,es,nice,lovely,agradable,amoroso,agradableamoroso
amplio,584.557499969924,603.088728814724,-0.444005278675912,-0.322620568782398,18.7936529621711,17.245525384121,0.0670409086281816,0.0700755036789698,137,129,3,2,128,118,131,120,1,1,0.977099236641221,0.983333333333333,138,129,2,2,130,105,132,120,0,1,0.984848484848485,0.875,128,118,18.5312288448001,0.121384709893514,es,narrow,wide,estrecho,amplio,estrechoamplio
anhelo,731.39851112068,799.812732661942,0.181654498990193,0.362833768985944,26.803748692544,29.3262805715465,0.076372797982323,0.082587181267996,104,121,4,2,90,101,102,117,1,0,0.88235294117647,0.863247863247863,104,121,4,2,101,117,102,117,1,0,0.990196078431373,1,90,101,68.4142215412619,0.181179269995751,es,desire,wish,deseo,anhelo,deseoanhelo
animal,466.00465852102,531.1755752372,-0.819104182284857,-0.545794288780765,10.0909299766428,18.4460275594699,0.0439963741519825,0.0750249444848328,85,115,4,3,82,113,82,113,1,0,1,1,85,114,4,4,78,108,82,112,1,1,0.951219512195122,0.964285714285714,82,113,65.1709167161796,0.273309893504093,es,beast,animal,bestia,animal,bestiaanimal
análisis,588.386542857112,581.791351645125,-0.392710322914067,-0.444199815381044,31.0625756360553,29.1542449961353,0.101202007127994,0.0832431635446379,107,95,1,1,105,91,105,93,1,0,1,0.978494623655914,107,95,1,1,98,89,105,93,1,0,0.933333333333333,0.956989247311828,105,91,-6.59519121198616,-0.0514894924669779,es,autopsy,analysis,autopsia,análisis,autopsiaanálisis
apellido,565.860651149119,520.376602560159,-0.506357880289735,-0.585747443978315,30.9847267739605,23.7926715097555,0.0986449263551531,0.111093157611462,88,80,1,1,86,78,86,78,1,1,1,1,88,80,1,1,82,77,86,78,1,1,0.953488372093023,0.987179487179487,86,78,-45.4840485889592,-0.0793895636885801,es,nickname,surname,apodo,apellido,apodoapellido
