target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,no_cue,no_target,no_word_combo,unrelated_no_cue
baderom,917.949000024222,931.999153875485,-0.321231645050234,0.35193983135582,176.468220093146,192.089126168276,0.258427627491495,0.525366262425803,4,14,0,0,4,13,4,13,0,0,1,1,4,14,0,0,4,13,4,13,0,0,1,1,4,13,14.0501538512624,0.673171476406055,no,shower,bathroom,dusj,baderom,dusjbaderom,skape
bag,772.004000023939,1041.16000000003,-0.28623488952893,0.651084613751055,,317.859999999986,,0.960958432599268,1,3,0,0,1,2,1,3,0,0,1,0.666666666666667,1,3,0,0,1,3,1,3,0,0,1,1,1,2,269.155999976094,0.937319503279985,no,box,bag,eske,bag,eskebag,nødvendig
bakgate,678.217333334343,1155.39759998988,-0.347399652557129,0.751174049856071,68.9725512674192,292.126306243646,0.211222845174259,0.603243925730652,6,6,0,0,6,5,6,5,0,0,1,1,6,6,0,0,6,5,6,5,0,0,1,1,6,5,477.180266655532,1.0985737024132,no,corner,alley,hjørne,bakgate,hjørnebakgate,øke
bakside,757.095833334451,634.265124994214,-0.836078058128302,-0.471103278133483,121.817931574217,57.0883147689824,0.0900950315659535,0.139017480065746,7,8,0,0,6,8,6,8,0,0,1,1,7,8,0,0,5,8,6,8,0,0,0.833333333333333,1,6,8,-122.830708340237,0.364974779994819,no,front,rear,forside,bakside,forsidebakside,amatør
band,859.948500119654,927.98755555283,0.00577510494017234,0.312251166036183,232.580373341955,134.987167316861,0.596414270279391,0.451490523108276,8,10,0,0,6,9,6,9,0,0,1,1,8,10,0,0,6,9,6,9,0,0,1,1,6,9,68.0390554331755,0.306476061096011,no,orchestra,band,orkester,band,orkesterband,utmerket
bar,651.360166675625,514.054333330316,-0.626584482202427,-0.746618409762547,140.09288127208,26.1861442772957,0.287419617424257,0.136045592023925,7,6,0,0,6,6,6,6,0,0,1,1,7,6,0,0,6,6,6,6,0,0,1,1,6,6,-137.305833345309,-0.12003392756012,no,club,bar,klubb,bar,klubbbar,mental
barn,493.768500198261,563.785555568136,-0.94757723590835,-0.805357952863703,13.2702907994775,75.644132723154,0.230167339643192,0.209165302590356,4,10,0,0,4,9,4,9,0,0,1,1,4,10,0,0,4,9,4,9,0,0,1,1,4,9,70.0170553698753,0.142219283044647,no,baby,child,baby,barn,babybarn,vind
barndom,568.716499987592,580.280600089513,-0.780592519598034,-0.70943203193311,72.2534412700047,37.883664982998,0.133108523161303,0.0927256824001017,12,10,0,0,12,10,12,10,0,0,1,1,12,10,0,0,12,10,12,10,0,0,1,1,12,10,11.5641001019211,0.0711604876649237,no,youth,childhood,ungdom,barndom,ungdombarndom,lov
baseball,769.742285035866,855.465000071564,0.136978993841916,0.212335212384421,200.36380017592,240.544193040148,0.761943938331468,0.595914478556149,7,3,0,0,7,3,7,3,0,0,1,1,7,3,0,0,7,3,7,3,0,0,1,1,7,3,85.7227150356979,0.0753562185425049,no,stadium,baseball,stadion,baseball,stadionbaseball,engel
bataljon,781.649300022391,984.037714271158,-0.0916603981722345,0.505107969036978,54.8673382954881,188.052129714655,0.18895523424427,0.438818207524709,10,7,0,0,10,7,10,7,0,0,1,1,10,7,0,0,9,7,10,7,0,0,0.9,1,10,7,202.388414248766,0.596768367209213,no,regiment,battalion,regiment,bataljon,regimentbataljon,kanel
batman,712.397636341254,811.31560001371,-0.473755429640197,0.590865052890238,72.1093874138515,189.630609223688,0.17510952027526,0.798612609580107,12,8,0,0,11,5,11,8,0,0,1,0.625,12,8,0,0,11,8,11,8,0,0,1,1,11,5,98.9179636724557,1.06462048253043,no,superman,batman,supermann,batman,supermannbatman,hvile
be om,631.171999998003,1067.4758333353,-0.551853691845514,0.929780563938148,30.0457164370959,114.043691040187,0.373535613666293,0.464226131665938,4,7,0,0,3,6,3,7,0,0,1,0.857142857142857,4,7,0,0,3,7,3,7,0,0,1,1,3,6,436.303833337295,1.48163425578366,no,demand,request,kreve,be om,krevebe om,kjemi
bedrageri,1064.86074998789,743.666500035048,0.420756457212299,-0.280182185017695,94.3843401617071,97.150484657751,0.236892928803989,0.187157595108556,12,9,0,0,12,8,12,9,0,0,1,0.888888888888889,11,9,1,0,11,8,11,9,1,0,1,0.888888888888889,12,8,-321.19424995284,-0.700938642229994,no,conspiracy,fraud,konspirasjon,bedrageri,konspirasjonbedrageri,tunfisk
begivenhet,649.554000011878,840.575000019023,-0.309663316604328,0.0305416694875792,,118.491162441042,,0.446616738273041,1,5,0,0,1,5,1,5,0,0,1,1,1,5,0,0,1,5,1,5,0,0,1,1,1,5,191.021000007145,0.340204986091908,no,phenomenon,event,fenomen,begivenhet,fenomenbegivenhet,dyrt
begrave,831.709999885241,511.281000001589,-0.418551767724111,-0.928790425560196,151.846436055386,,0.187783676490946,,5,1,0,0,5,1,5,1,0,0,1,1,5,1,0,0,5,1,5,1,0,0,1,1,5,1,-320.428999883652,-0.510238657836086,no,dig,bury,grave,begrave,gravebegrave,protein
begravelse,541.831749985504,876.254499988077,-0.62727665319378,0.0810790579384892,21.9582157675397,155.846202395162,0.110734284900129,0.340799890766267,5,11,0,0,4,8,4,8,0,0,1,1,5,11,0,0,3,8,4,8,0,0,0.75,1,4,8,334.422750002574,0.70835571113227,no,coffin,funeral,kiste,begravelse,kistebegravelse,galskap
begrunnelse,610.533666641781,650.632400038792,-0.63726364721621,-0.371658390570558,22.2921667489031,57.1454628702662,0.0544260233114084,0.183887806873439,10,5,0,0,9,5,9,5,0,0,1,1,10,5,0,0,8,5,9,5,0,0,0.888888888888889,1,9,5,40.0987333970107,0.265605256645652,no,reason,cause,årsaken,begrunnelse,årsakenbegrunnelse,barnehjem
behandling,821.801500008965,655.440875014865,0.155441602167706,-0.38830024490191,67.610500014911,34.358416982129,0.316142266489933,0.128270084715831,2,8,0,0,2,8,2,8,0,0,1,1,2,8,0,0,2,8,2,8,0,0,1,1,2,8,-166.3606249941,-0.543741847069616,no,therapy,treatment,terapi,behandling,terapibehandling,smil
beholde,858.84759998538,610.334599922493,-0.389686358912774,-0.557657977324844,172.976853800377,94.5323324195577,0.34786785687589,0.260433491683055,5,6,0,0,5,5,5,5,0,0,1,1,5,6,0,0,5,5,5,5,0,0,1,1,5,5,-248.513000062888,-0.167971618412069,no,hold,keep,holde,beholde,holdebeholde,administrasjon
bekrefte,638.075000095414,616.523000111299,-0.291687379820812,-0.62836488609588,120.293266176106,86.8939140476377,0.352840716760907,0.0571139769486922,3,3,0,0,3,3,3,3,0,0,1,1,3,3,0,0,3,3,3,3,0,0,1,1,3,3,-21.551999984115,-0.336677506275068,no,confirmation,confirm,bekreftelse,bekrefte,bekreftelsebekrefte,pensjon
bekrefte,638.075000095414,616.523000111299,-0.291687379820812,-0.62836488609588,120.293266176106,86.8939140476377,0.352840716760907,0.0571139769486922,3,3,0,0,3,3,3,3,0,0,1,1,3,3,0,0,3,3,3,3,0,0,1,1,3,3,-21.551999984115,-0.336677506275068,no,confirmation,confirm,bekreftelse,bekrefte,bekreftelsebekrefte,herlig
bekrefte.1,574.756856080261,545.69680001908,-0.646741007277663,-0.813471619087509,50.0367902587423,12.1161259160359,0.0735649941467238,0.0902480578912828,7,5,0,0,7,5,7,5,0,0,1,1,7,5,0,0,7,5,7,5,0,0,1,1,7,5,-29.0600560611814,-0.166730611809846,no,check,verify,sjekke,bekrefte,sjekkebekrefte,pensjon
