target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,he_cue,he_target,he_word_combo
אהבה,373.063727281411,480.573624995541,-1.01805617824755,-0.565357932317405,18.9844459399578,29.6982161306381,0.0999659983335058,0.130439023352568,14,17,0,1,11,16,11,16,0,0,1,1,14,17,0,1,11,11,11,16,0,0,1,0.6875,11,16,107.50989771413,0.452698245930149,he,hate,love,שנאה,אהבה,שנאהאהבה
אוגדה,805.306749929129,668.006750004841,0.807125179337111,0.0973959563519947,134.443183212164,66.0503703381265,0.523420976660704,0.213292115882162,17,17,1,1,16,16,17,16,0,0,0.941176470588235,1,17,17,1,1,17,14,17,16,0,0,1,0.875,16,16,-137.299999924288,-0.709729222985117,he,unit,division,יחידה,אוגדה,יחידהאוגדה
אווירה,539.389449965049,541.894666628912,-0.351931848437712,-0.336333575188768,36.6537805336403,15.3882173478394,0.142616524506787,0.110385798116741,24,5,0,1,20,3,20,3,0,0,1,1,24,5,0,1,19,3,20,3,0,0,0.95,1,20,3,2.50521666386328,0.0155982732489444,he,environment,atmosphere,סביבה,אווירה,סביבהאווירה
אוזן,531.311818200788,498.921956531954,-0.405752273998672,-0.432607305195216,35.1934098999962,17.6287721409386,0.205747507831307,0.0989906599607902,11,28,4,1,11,23,11,23,1,0,1,1,12,28,3,1,12,19,12,23,0,0,1,0.826086956521739,11,23,-32.3898616688339,-0.0268550311965431,he,eye,ear,עין,אוזן,עיןאוזן
אוטובוס,447.697800000024,453.558300004405,-0.654153622547568,-0.68933532640293,77.7573461693693,14.0277727301975,0.34665791007777,0.0729956660226042,8,14,2,1,5,10,5,10,0,1,1,1,8,15,2,0,5,10,5,11,0,0,1,0.909090909090909,5,10,5.86050000438115,-0.0351817038553621,he,train,bus,רכבת,אוטובוס,רכבתאוטובוס
אומה,631.241199964273,677.724733360927,0.280260181875129,0.355246412962822,75.7226579163551,36.7997529152361,0.506847562530648,0.188537666903087,8,23,1,2,5,15,8,20,0,0,0.625,0.75,9,23,0,2,7,18,8,20,0,0,0.875,0.9,5,15,46.4835333966536,0.0749862310876939,he,country,nation,מדינה,אומה,מדינהאומה
אומללות,595.369777754764,591.062039214043,-0.00226096420288828,-0.137071278444166,63.7168754610775,33.0594122818835,0.372651555077348,0.114520694899108,11,56,3,2,9,51,9,52,1,0,1,0.980769230769231,11,57,3,1,9,50,9,52,1,0,1,0.961538461538462,9,51,-4.30773854072129,-0.134810314241278,he,poverty,misery,עוני,אומללות,עוניאומללות
אוניברסיטה,640.742799964245,565.987636374365,0.080776389120819,-0.192424280966307,105.463078270345,52.8374225981952,0.525932271287863,0.217829176664536,6,11,2,1,5,11,5,11,0,0,1,1,6,11,2,1,5,11,5,11,0,0,1,1,5,11,-74.7551635898798,-0.273200670087126,he,college,university,מכללה,אוניברסיטה,מכללהאוניברסיטה
אוקטובר,504.757909138983,525.920142843546,-0.520632508464814,-0.204379546360179,37.2366389530238,22.5917594528624,0.135013680506092,0.251349847444197,14,8,0,0,11,7,11,7,0,0,1,1,13,8,1,0,10,5,11,7,0,0,0.909090909090909,0.714285714285714,11,7,21.1622337045625,0.316252962104635,he,september,october,ספטמבר,אוקטובר,ספטמבראוקטובר
אוקיינוס,547.709642932921,495.691499964262,-0.0257827366759206,-0.407446808361604,28.6022905554272,18.9526044528343,0.178333844995486,0.0608403307628707,14,5,0,0,14,4,14,4,0,0,1,1,14,5,0,0,13,4,14,4,0,0,0.928571428571429,1,14,4,-52.0181429686592,-0.381664071685684,he,sea,ocean,ים,אוקיינוס,יםאוקיינוס
