target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,fr_cue,fr_target,fr_word_combo
abandonner,609.459015878879,623.005930900291,-0.269589641553687,-0.269858246087034,28.0049684355901,36.3528261720287,0.102492131719215,0.126844423862436,68,57,0,0,63,55,65,56,0,0,0.969230769230769,0.982142857142857,67,56,1,1,64,50,64,55,1,1,1,0.909090909090909,63,55,13.5469150214121,-0.000268604533347649,fr,leave,abandon,partir,abandonner,partirabandonner
abdominal,697.34780356865,757.406169521706,0.132604048761523,0.38900880710313,34.7521464548537,41.3105568016781,0.094322305863725,0.130723852157976,61,62,1,0,56,60,60,62,0,0,0.933333333333333,0.967741935483871,61,62,1,0,20,60,60,62,0,0,0.333333333333333,0.967741935483871,56,59,60.058365953056,0.256404758341607,fr,spinal,abdominal,spinal,abdominal,spinalabdominal
aboutissement,790.473324284455,774.852375046284,0.435361250345123,0.409534748113698,32.1273576754076,52.8147278980323,0.129646713139787,0.17254212154036,77,53,1,3,70,48,73,51,0,2,0.958904109589041,0.941176470588235,77,54,1,2,73,50,73,52,0,1,1,0.961538461538462,70,48,-15.6209492381718,-0.0258265022314249,fr,result,outcome,résultat,aboutissement,résultataboutissement
abri,586.731701735649,627.847796603923,-0.411718578058259,-0.222530752241375,19.4954630382581,27.3265428771669,0.0701348268977454,0.0982548317776199,62,66,1,5,58,59,60,63,0,1,0.966666666666667,0.936507936507937,62,67,1,4,58,60,60,64,0,0,0.966666666666667,0.9375,57,59,41.1160948682744,0.189187825816884,fr,refuge,shelter,refuge,abri,refugeabri
absence,592.068035715716,542.92414064649,-0.40011123725515,-0.516054723548758,36.299578571719,14.2463795453406,0.115590581795845,0.0495146115637112,60,65,4,2,56,64,60,64,0,1,0.933333333333333,1,60,66,4,1,58,63,60,65,0,0,0.966666666666667,0.969230769230769,56,64,-49.1438950692259,-0.115943486293608,fr,presence,absence,présence,absence,présenceabsence
absurde,597.359571429667,676.683080720769,-0.29156327874581,-0.100446605061247,17.738289443269,34.9079122139736,0.072827743781249,0.145903162146239,66,59,1,0,63,57,64,57,0,0,0.984375,1,66,59,1,0,63,56,64,57,0,0,0.984375,0.982456140350877,63,57,79.3235092911024,0.191116673684563,fr,ridiculous,absurd,ridicule,absurde,ridiculeabsurde
accent,571.912322026716,596.400000003499,-0.396229276571799,-0.417650644640336,20.8572513458106,32.1653344385246,0.0874231102823631,0.117634145737961,61,64,1,0,59,58,59,60,0,0,1,0.966666666666667,61,64,1,0,58,51,59,60,0,0,0.983050847457627,0.85,59,58,24.4876779767831,-0.0214213680685373,fr,voice,accent,voix,accent,voixaccent
accepter,532.714933322216,556.703283364432,-0.573819565103729,-0.445108810828242,16.6320568886703,32.6907643834272,0.0550594234811817,0.0960006616000555,76,65,2,3,75,61,75,62,1,0,1,0.983870967741935,75,65,3,3,73,62,74,62,2,0,0.986486486486487,1,75,60,23.9883500422159,0.128710754275488,fr,refuse,accept,refuser,accepter,refuseraccepter
accident,583.276036361573,579.779759250562,-0.454851969353339,-0.393262833402678,25.4715821270435,36.8848371312967,0.0947602917592946,0.156622625636631,55,58,1,0,55,54,55,56,0,0,1,0.964285714285714,55,58,1,0,54,55,55,56,0,0,0.981818181818182,0.982142857142857,55,54,-3.49627711101118,0.0615891359506612,fr,incident,accident,incident,accident,incidentaccident
accompagner,562.346892851364,570.968028582892,-0.412132374018671,-0.419278821016478,11.7456447531129,17.2154739728536,0.0515131154234454,0.0668640323362763,57,74,1,0,56,70,57,70,0,0,0.982456140350877,1,57,72,1,2,47,68,57,69,0,1,0.824561403508772,0.985507246376812,56,70,8.62113573152783,-0.00714644699780759,fr,escort,accompany,escorte,accompagner,escorteaccompagner
