target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,pt_cue,pt_target,pt_word_combo
abandono,692.915290702461,646.923673491341,-0.131157591598196,-0.246547405860183,29.460755688088,28.0499694349861,0.0760433520023424,0.0971184270861568,94,56,2,1,86,49,89,49,1,0,0.966292134831461,1,95,56,1,1,85,46,90,49,0,0,0.944444444444444,0.938775510204082,86,49,-45.9916172111205,-0.115389814261987,pt,leave,abandon,sair,abandono,sairabandono
abdominal,808.646957901459,688.989240021247,0.294862750361916,0.0469275117280097,37.0096865583649,33.2827326772539,0.107049055113204,0.100810456897211,101,54,1,1,95,50,99,50,0,1,0.95959595959596,1,99,54,3,1,57,49,97,50,2,1,0.587628865979381,0.98,95,50,-119.657717880212,-0.247935238633906,pt,spinal,abdominal,espinal,abdominal,espinalabdominal
abraço,546.622337323337,586.815059532106,-0.656412202317774,-0.539784966640345,23.2879234269087,29.2429757159969,0.0717703937303565,0.0774951844115967,92,90,0,0,83,84,84,84,0,0,0.988095238095238,1,92,89,0,1,81,79,84,83,0,1,0.964285714285714,0.951807228915663,83,84,40.1927222087687,0.116627235677428,pt,kiss,hug,beijo,abraço,beijoabraço
abrigo,570.854112239687,734.985386664631,-0.482697478397897,-0.158681705030549,17.9522477123275,46.8683771605468,0.0599271285631813,0.121694884221525,104,79,3,1,98,75,99,76,1,0,0.98989898989899,0.986842105263158,104,79,3,1,98,75,99,76,1,0,0.98989898989899,0.986842105263158,98,75,164.131274424943,0.324015773367348,pt,refuge,shelter,refúgio,abrigo,refúgioabrigo
absurdo,601.14683332443,603.741725802008,-0.473029219535934,-0.328450315095148,23.5128327485249,24.6962231276702,0.0661362277712537,0.0867002331176011,78,68,0,3,72,62,72,62,0,2,1,1,77,68,1,3,69,61,72,62,0,2,0.958333333333333,0.983870967741935,72,62,2.59489247757858,0.144578904440786,pt,ridiculous,absurd,ridículo,absurdo,ridículoabsurdo
acampar,624.26649123028,600.655192299438,-0.237235960738638,-0.152721989346447,32.8834897945809,23.0098552409013,0.0955313898401887,0.0975622511577737,59,56,1,0,58,52,59,55,0,0,0.983050847457627,0.945454545454545,59,56,1,0,57,52,59,55,0,0,0.966101694915254,0.945454545454545,57,52,-23.6112989308416,0.084513971392191,pt,picnic,camping,piquenique,acampar,piqueniqueacampar
aceitar,530.056645585252,559.257161772122,-0.703230745924984,-0.59671408034163,20.9089987108377,15.1527525116826,0.0577625007814152,0.0486073869666117,86,76,0,1,79,68,80,69,0,1,0.9875,0.985507246376812,86,76,0,1,79,68,80,69,0,1,0.9875,0.985507246376812,79,68,29.2005161868694,0.106516665583353,pt,refuse,accept,recusar,aceitar,recusaraceitar
acerca,615.751728817421,690.260465130965,-0.299129190156943,0.0660084176264987,38.142252554132,63.2381425500286,0.152487398153355,0.225492209578754,64,53,0,0,59,43,62,46,0,0,0.951612903225806,0.934782608695652,64,52,0,1,61,45,62,45,0,1,0.983870967741935,1,59,43,74.5087363135436,0.365137607783441,pt,out,about,fora,acerca,foraacerca
acidente,572.463057979406,618.42552543862,-0.43160040171911,-0.342643697074666,20.324101614797,28.0444253600762,0.0751158398184377,0.0952443529346698,75,63,1,2,69,59,69,59,0,1,1,1,75,63,1,2,68,58,69,59,0,1,0.985507246376812,0.983050847457627,69,59,45.9624674592146,0.0889567046444431,pt,incident,accident,incidente,acidente,incidenteacidente
acima,526.831795452113,602.612627906537,-0.68991993446691,-0.429680607301604,21.8945837334346,37.293821752564,0.0687601144924743,0.121672611534531,93,51,2,1,88,43,88,44,0,1,1,0.977272727272727,94,50,1,2,87,42,88,44,0,1,0.988636363636364,0.954545454545455,88,43,75.7808324544244,0.260239327165306,pt,down,up,abaixo,acima,abaixoacima
acompanhar,583.400000004375,652.986608689274,-0.373320670950928,-0.299893537872536,19.0703010588686,33.1463395154018,0.0576927509896584,0.0790022285739038,80,73,3,0,70,69,71,70,1,0,0.985915492957746,0.985714285714286,80,73,3,0,61,64,71,70,1,0,0.859154929577465,0.914285714285714,70,69,69.5866086848984,0.0734271330783922,pt,escort,accompany,escolta,acompanhar,escoltaacompanhar
aconselhar,716.502376817186,687.845955220916,-0.214919827331869,-0.1469814537523,37.6338759704339,27.8188206385442,0.0896387396249457,0.072396285403005,74,79,0,0,69,67,69,70,0,0,1,0.957142857142857,74,79,0,0,69,70,69,70,0,0,1,1,69,67,-28.6564215962705,0.0679383735795697,pt,advice,advise,conselho,aconselhar,conselhoaconselhar
acontecer,615.76724285061,551.544638556823,-0.401080415786268,-0.593044965142611,32.6400939356446,20.1717641920649,0.0838100242481645,0.0608727307928842,82,87,0,0,70,83,70,84,0,0,1,0.988095238095238,82,87,0,0,68,83,70,84,0,0,0.971428571428571,0.988095238095238,70,83,-64.222604293786,-0.191964549356343,pt,occur,happen,ocorrer,acontecer,ocorreracontecer
acordo,564.266223859751,625.297093755131,-0.586670562312524,-0.437764436853809,18.9725068478584,35.0742125896743,0.0591702812212878,0.0979072703145069,71,70,1,0,67,64,67,64,0,0,1,1,71,70,1,0,65,63,67,64,0,0,0.970149253731343,0.984375,67,64,61.0308698953802,0.148906125458715,pt,contract,agreement,contrato,acordo,contratoacordo
acreditar,528.56905882258,587.748802200881,-0.531022618836439,-0.417273202691672,22.7517700596264,28.7089260175533,0.0791702039954561,0.103054633933216,56,94,2,0,51,91,53,91,1,0,0.962264150943396,1,56,93,2,1,51,91,53,91,1,0,0.962264150943396,1,51,91,59.1797433783016,0.113749416144767,pt,trust,believe,confiar,acreditar,confiaracreditar
acusação,678.396423081715,692.60956861868,-0.114439544092626,-0.114730677765085,32.6183309163561,24.7831592430194,0.108862938796208,0.0761398825167692,85,109,0,2,78,102,79,104,0,1,0.987341772151899,0.980769230769231,84,110,1,1,76,102,78,105,1,0,0.974358974358974,0.971428571428571,78,102,14.2131455369657,-0.000291133672459129,pt,complaint,accusation,reclamação,acusação,reclamaçãoacusação
adeus,536.765581820076,499.113583333037,-0.622273638718455,-0.697574443167439,40.9411879319106,14.7789413134177,0.119488740631395,0.065537118001446,59,52,3,0,55,48,56,49,2,0,0.982142857142857,0.979591836734694,59,52,3,0,55,46,56,49,2,0,0.982142857142857,0.938775510204082,55,48,-37.6519984870393,-0.0753008044489835,pt,hello,bye,olá,adeus,oláadeus
adicional,613.372787497703,579.265260893868,-0.32602795816031,-0.231531367604789,25.7488466551672,36.7835391851422,0.0846698285131009,0.100621190682796,88,52,2,0,80,46,83,46,1,0,0.963855421686747,1,88,52,2,0,81,37,83,46,1,0,0.975903614457831,0.804347826086957,80,46,-34.1075266038356,0.0944965905555209,pt,extra,additional,extra,adicional,extraadicional
administração,711.144481489121,807.450509807652,-0.107435613371241,0.345646744066004,57.7369319424461,48.2286057130551,0.174208952727598,0.153578167594753,58,55,1,0,54,51,54,51,1,0,1,1,57,55,2,0,52,51,53,51,2,0,0.981132075471698,1,54,51,96.3060283185306,0.453082357437245,pt,management,administrative,gestão,administração,gestãoadministração
adolescente,692.02355884622,628.321045462342,-0.204780526621939,-0.301605842962558,31.0032836384002,28.5633357339028,0.091883218055115,0.0815689753567514,73,71,1,0,68,66,68,67,0,0,1,0.985074626865672,73,71,1,0,66,66,68,67,0,0,0.970588235294118,0.985074626865672,68,66,-63.7025133838775,-0.0968253163406188,pt,teenage,teenager,adolescência,adolescente,adolescênciaadolescente
adorável,531.95970149512,558.865638318972,-0.669492974279342,-0.537106586644722,21.9867268194079,28.0984178031942,0.0567652491312936,0.0823740240844417,73,53,2,0,67,47,67,48,1,0,1,0.979166666666667,73,53,2,0,66,47,67,48,1,0,0.985074626865672,0.979166666666667,67,47,26.9059368238516,0.13238638763462,pt,nice,lovely,agradável,adorável,agradáveladorável
adrenalina,642.135204083118,752.352588234393,-0.100478303026178,0.0520533209940492,36.7180972331609,29.3333404806521,0.128064777465321,0.0952025515633757,57,90,1,2,49,85,52,85,1,2,0.942307692307692,1,57,90,1,2,45,81,52,85,1,2,0.865384615384615,0.952941176470588,49,85,110.217384151275,0.152531624020227,pt,hormone,adrenaline,hormona,adrenalina,hormonaadrenalina
aeroporto,609.057564526082,613.90817739873,-0.396266373368633,-0.319807442344648,25.6420706139632,26.6955443624313,0.0696602662067781,0.0879146414261984,66,68,0,1,62,62,62,62,0,0,1,1,65,68,1,1,60,62,62,62,0,0,0.967741935483871,1,62,62,4.8506128726475,0.0764589310239847,pt,terminal,airport,terminal,aeroporto,terminalaeroporto
agendar,607.185985065847,624.561492069898,-0.443889995720819,-0.368481764483312,33.6271313251244,40.4493224142391,0.0996612635638961,0.0956636940891549,72,65,0,2,68,63,68,65,0,0,1,0.969230769230769,69,65,3,2,65,61,65,65,3,0,1,0.938461538461538,67,63,17.375507004051,0.0754082312375065,pt,calendar,schedule,calendário,agendar,calendárioagendar
agradecer,566.297478883118,600.965833335258,-0.569886836099898,-0.463222448757816,16.9994242550379,19.4612201671664,0.0567566620297032,0.0611876492395537,76,86,3,1,71,78,71,78,0,0,1,1,76,85,3,2,69,77,71,77,0,1,0.971830985915493,1,71,78,34.6683544521399,0.106664387342082,pt,grateful,thank,grato,agradecer,gratoagradecer
agência,593.62501408842,596.011450995252,-0.470350274162893,-0.419627306481202,25.028915445561,23.1926592688686,0.0811917961995042,0.124501545083802,77,60,0,0,71,51,71,53,0,0,1,0.962264150943396,77,60,0,0,71,46,71,53,0,0,1,0.867924528301887,71,51,2.38643690683216,0.0507229676816907,pt,firm,agency,empresa,agência,empresaagência
ainda,514.759243580636,566.592074621735,-0.672836802078447,-0.528206063954924,15.3483862389814,19.9398247850658,0.0510192353727652,0.0602454024414084,83,70,0,0,78,67,79,68,0,0,0.987341772151899,0.985294117647059,83,70,0,0,77,68,79,68,0,0,0.974683544303797,1,78,67,51.8328310410998,0.144630738123523,pt,already,still,já,ainda,jáainda
alarme,527.819546479624,590.848321840864,-0.667114402638599,-0.398309290994398,16.6212039023065,26.3875041722075,0.0585402425930585,0.0979188167368799,96,95,2,2,86,87,88,89,0,1,0.977272727272727,0.97752808988764,96,95,2,2,86,86,88,89,0,1,0.977272727272727,0.966292134831461,86,87,63.0287753612399,0.268805111644201,pt,alert,alarm,alerta,alarme,alertaalarme
alegria,542.477556827565,576.248010751785,-0.629992563677308,-0.467356957658092,20.8679437649164,18.404683840673,0.0650412514194169,0.0564167226545131,94,98,2,1,88,93,88,94,2,0,1,0.98936170212766,94,98,2,1,87,93,88,94,2,0,0.988636363636364,0.98936170212766,88,93,33.7704539242204,0.162635606019216,pt,pleasure,joy,prazer,alegria,prazeralegria
alfa,659.052635135469,687.513106663841,-0.23575143914624,-0.0505599661094616,29.7245986935046,32.3250334074964,0.0964800977111978,0.112274314620601,85,82,1,1,74,75,79,77,0,0,0.936708860759494,0.974025974025974,85,81,1,2,77,73,79,76,0,1,0.974683544303797,0.960526315789474,74,75,28.4604715283725,0.185191473036779,pt,bravo,alpha,bravo,alfa,bravoalfa
algo,514.722523830057,558.793019982785,-0.690264697582735,-0.41263646160389,13.7822202468682,25.9201818626252,0.0592467973976505,0.0880091626028257,66,55,2,1,63,50,63,51,2,0,1,0.980392156862745,66,55,2,1,62,51,63,51,2,0,0.984126984126984,1,63,50,44.0704961527283,0.277628235978846,pt,nothing,something,nada,algo,nadaalgo
algodão,600.716418925285,523.055377050066,-0.479717855503531,-0.688483704018722,29.0255624829255,13.39588659489,0.0684316553814541,0.0469039746734988,82,63,2,1,75,61,75,62,0,0,1,0.983870967741935,83,63,1,1,70,61,75,62,0,0,0.933333333333333,0.983870967741935,74,61,-77.661041875219,-0.20876584851519,pt,silk,cotton,seda,algodão,sedaalgodão
almoço,500.72834426204,519.133896108374,-0.811280118985935,-0.741200100625867,13.4446441847218,13.7220992381843,0.0405228677065359,0.0428819056635309,65,81,0,1,62,77,63,77,0,0,0.984126984126984,1,65,81,0,1,60,69,63,77,0,0,0.952380952380952,0.896103896103896,61,77,18.4055518463337,0.0700800183600683,pt,snack,lunch,lanche,almoço,lanchealmoço
alteza,657.777818186609,676.186260274265,-0.323937633151774,-0.0267445039676355,29.9281270738125,26.3329513546822,0.0882840794405043,0.099002161214063,73,86,2,1,66,73,68,78,1,0,0.970588235294118,0.935897435897436,73,86,2,1,65,75,68,78,1,0,0.955882352941177,0.961538461538462,66,73,18.4084420876565,0.297193129184139,pt,majesty,highness,majestade,alteza,majestadealteza
alto,545.285344250239,538.203325586362,-0.633105221658149,-0.613840218133802,19.521735452474,15.1046177727657,0.0603008064334918,0.052251300962885,62,93,0,2,61,86,61,87,0,0,1,0.988505747126437,62,93,0,2,58,82,61,87,0,0,0.950819672131147,0.942528735632184,61,86,-7.08201866387697,0.0192650035243472,pt,low,high,baixo,alto,baixoalto
