target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,th_cue,th_target,th_word_combo,unrelated_th_cue
กระโดด,467.954999976136,482.716000000015,-0.791810159146488,-0.732004613610449,26.1567204691766,9.08400000003201,0.069778334156926,0.0844675752914423,4,3,0,2,4,2,4,3,0,0,1,0.666666666666667,4,3,0,2,4,3,4,3,0,0,1,1,4,2,14.7610000238785,0.0598055455360395,th,climb,jump,ปีน,กระโดด,ปีนกระโดด,วิสกี้
กรัม,605.597000012291,1007.18999999399,-0.385034605308699,0.830434325304062,191.155999988434,389.039967248854,0.596997014145652,1.09866796596322,2,4,1,0,2,4,2,4,0,0,1,1,2,4,1,0,2,4,2,4,0,0,1,1,2,4,401.592999981701,1.21546893061276,th,kilo,gram,กิโล,กรัม,กิโลกรัม,เสนอ
กริ๊ง,609.14525000006,938.13739998574,-0.255305768445335,0.509009965412456,56.0639791468397,118.481104781033,0.19056791569753,0.43221771566028,4,6,0,0,4,5,4,6,0,0,1,0.833333333333333,4,6,0,0,4,6,4,6,0,0,1,1,4,5,328.99214998568,0.764315733857791,th,ping,ding,เปรี้ยง,กริ๊ง,เปรี้ยงกริ๊ง,ที่นี่
กรีก,618.842666539577,610.491249916187,-0.349195720740424,-0.421136250824164,62.2147680846692,21.5606101850937,0.0824111282838713,0.110729431889954,3,5,0,0,3,4,3,5,0,0,1,0.8,3,5,0,0,3,5,3,5,0,0,1,1,3,4,-8.35141662338935,-0.0719405300837401,th,roman,greek,โรมัน,กรีก,โรมันกรีก,พื้น
กลยุทธ์,553.491000000038,611.491249964267,-0.840874906434881,-0.478035699818888,20.508999999962,38.6385856534026,0.0251590265838079,0.0979128402390002,2,9,1,0,2,8,2,9,0,0,1,0.888888888888889,2,9,1,0,2,8,2,9,0,0,1,0.888888888888889,2,8,58.000249964229,0.362839206615993,th,plan,strategy,แผนการ,กลยุทธ์,แผนการกลยุทธ์,ผับ
กลวิธี,487.280999801316,587.786500023853,-0.694672271474852,-0.514995502717867,19.5334150741124,24.7135000238775,0.192606015842744,0.0742731940418079,3,2,1,1,3,2,3,2,0,1,1,1,3,3,1,0,3,3,3,3,0,0,1,1,3,2,100.505500222537,0.179676768756985,th,method,technique,วิธีการ,กลวิธี,วิธีการกลวิธี,นายกรัฐมนตรี
กลางวัน,727.340999987768,482.771249916739,-0.195095493726847,-0.822516725002981,203.7144452353,19.1156261119921,0.604813687244087,0.0657281569358506,5,4,1,1,5,4,5,4,0,0,1,1,5,4,1,1,4,4,5,4,0,0,0.8,1,5,4,-244.569750071029,-0.627421231276134,th,midnight,noon,เที่ยงคืน,กลางวัน,เที่ยงคืนกลางวัน,สายลับ
กลิ่น,449.882833340778,764.366857081469,-0.878374257116014,0.171981562490184,35.7492082981731,285.850490538122,0.0595417005554413,0.997039217374707,6,7,0,1,6,7,6,7,0,0,1,1,6,7,0,1,6,6,6,7,0,0,1,0.857142857142857,6,7,314.484023740691,1.0503558196062,th,taste,smell,รสชาติ,กลิ่น,รสชาติกลิ่น,ความอยุติธรรม
กลุ่ม,634.425428591914,525.008714313386,-0.313931312734165,-0.590168764108673,54.5599030334601,25.8801741523076,0.176167122786528,0.0986144795452049,7,7,1,1,7,7,7,7,0,0,1,1,7,7,1,1,5,7,7,7,0,0,0.714285714285714,1,7,7,-109.416714278528,-0.276237451374508,th,gang,group,แก๊ง,กลุ่ม,แก๊งกลุ่ม,ตามธรรมชาติ
กลุ่มสหพันธ์,765.083332939927,1070.63419999992,0.134454995628608,1.09009952127201,62.4601497119915,88.7032733535733,0.300473899460606,0.243979653552827,3,5,0,0,3,5,3,5,0,0,1,1,3,5,0,0,3,5,3,5,0,0,1,1,3,5,305.550867059991,0.955644525643406,th,mafia,cartel,มาเฟีย,กลุ่มสหพันธ์,มาเฟียกลุ่มสหพันธ์,เปียโน
