target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,th_cue,th_target,th_word_combo,unrelated_th_cue
คนงาน,455.007142806592,519.757666714451,-0.807270008931954,-0.571369405480973,19.6214784472603,51.354736930065,0.0618366453785852,0.180980731794355,7,3,0,0,7,3,7,3,0,0,1,1,7,3,0,0,7,3,7,3,0,0,1,1,7,3,64.7505239078592,0.235900603450981,th,farmer,worker,ชาวนา,คนงาน,ชาวนาคนงาน,กำจัด
คนทรยศ,655.599999992022,616.550874910507,-0.4042418307435,-0.444969976949024,26.1494657943155,75.7838683699207,0.0764627791042436,0.246423560440125,3,8,0,0,3,8,3,8,0,0,1,1,3,8,0,0,3,8,3,8,0,0,1,1,3,8,-39.0491250815149,-0.040728146205524,th,spy,traitor,สายลับ,คนทรยศ,สายลับคนทรยศ,การโฆษณา
คนรัก,712.131599922606,501.276333271235,0.0434826858832893,-0.71449880674151,229.99756831369,30.6905594339572,0.771295008571024,0.166064727116735,5,3,0,0,5,3,5,3,0,0,1,1,5,3,0,0,3,3,5,3,0,0,0.6,1,5,3,-210.855266651372,-0.7579814926248,th,mistress,lover,อนุภรรยา,คนรัก,อนุภรรยาคนรัก,เชื่อใจ
คนรับใช้,623.07180000242,600.475999997501,-0.435376286093563,-0.51141707068245,34.3390463089327,41.4947302335596,0.1155636255764,0.0939404845464301,5,7,0,0,5,7,5,7,0,0,1,1,5,7,0,0,5,7,5,7,0,0,1,1,5,7,-22.59580000492,-0.0760407845888865,th,slave,servant,ทาส,คนรับใช้,ทาสคนรับใช้,จัดทำ
คนโกหก,509.791500023857,653.88849997762,-0.63317357310339,-0.589988252823146,0.23749997612299,136.971668447351,0.0430814449959033,0.294880751617587,2,4,0,1,2,4,2,4,0,0,1,1,2,4,0,1,2,4,2,4,0,0,1,1,2,4,144.096999953763,0.0431853202802442,th,lie,liar,โกหก,คนโกหก,โกหกคนโกหก,ทางออก
คนโง่เง่า,1111.56066661949,661.833499855637,0.995705823474625,-0.259736300602731,495.881830957853,53.0363128671994,1.2165016911893,0.135942526159276,3,8,0,0,3,8,3,8,0,0,1,1,3,8,0,0,3,7,3,8,0,0,1,0.875,3,8,-449.727166763854,-1.25544212407736,th,fool,idiot,คนโง่,คนโง่เง่า,คนโง่คนโง่เง่า,เงินปอนด์
ครอบครัว,511.73999999222,498.129000012486,-0.656104710074232,-0.552146342864551,17.6101791161876,30.0475671615889,0.0659426484740229,0.195350424014983,6,4,0,0,6,4,6,4,0,0,1,1,6,4,0,0,6,4,6,4,0,0,1,1,6,4,-13.6109999797335,0.103958367209682,th,clan,family,ตระกูล,ครอบครัว,ตระกูลครอบครัว,อากาศ
คริสเตียน,618.28157137548,581.412666666671,-0.356463531419964,-0.4728171404143,63.7166506970256,31.9243055729305,0.233824040639843,0.106925818570498,7,3,1,0,7,3,7,3,0,0,1,1,7,3,1,0,7,3,7,3,0,0,1,1,7,3,-36.8689047088097,-0.116353608994336,th,catholic,christian,คาทอลิก,คริสเตียน,คาทอลิกคริสเตียน,ความก้าวหน้า
ครู,482.299999980599,,-0.762577221699919,,34.5638283261079,,0.116670825109093,,5,,1,,5,,5,,0,,1,,5,,1,,5,,5,,0,,1,,5,,,,th,student,teacher,นักเรียน,ครู,นักเรียนครู,หยด
คลังสินค้า,661.644000010419,653.599999999977,-0.426321098921547,-0.173797551571856,73.4085015355991,,0.101264306919655,,9,1,0,0,8,1,8,1,0,0,1,1,9,1,0,0,7,1,8,1,0,0,0.875,1,8,1,-8.04400001044246,0.252523547349691,th,shop,store,ร้านค้า,คลังสินค้า,ร้านค้าคลังสินค้า,คนโง่
คลังอาวุธ,609.540666674865,527.843857152652,-0.339410028927212,-0.4910974195691,42.4886997055226,33.2842698438692,0.101323551793123,0.0851742658216395,3,7,0,0,3,7,3,7,0,0,1,1,3,7,0,0,2,7,3,7,0,0,0.666666666666667,1,3,7,-81.6968095222137,-0.151687390641888,th,arsenal,armory,สรรพาวุธ,คลังอาวุธ,สรรพาวุธคลังอาวุธ,คริสต์มาส
คลาสสิก,532.029800023825,675.845888876953,-0.662501769192037,-0.138322773815449,27.5348875482507,49.2217799873592,0.0913010294216914,0.172292332703864,5,9,0,0,5,9,5,9,0,0,1,1,5,9,0,0,5,9,5,9,0,0,1,1,5,9,143.816088853128,0.524178995376588,th,typical,classic,ทั่วไป,คลาสสิก,ทั่วไปคลาสสิก,กล้อง
คลินิก,460.11266661903,703.886285714381,-0.875448756821928,-0.407433020117125,23.7978735348447,76.9916243078145,0.0395414286773534,0.185186233390205,3,7,1,0,3,7,3,7,0,0,1,1,3,7,1,0,3,5,3,7,0,0,1,0.714285714285714,3,7,243.773619095351,0.468015736704802,th,hospital,clinic,โรงพยาบาล,คลินิก,โรงพยาบาลคลินิก,ตราประทับ
คลื่นไส้,571.252399969782,511.11375003279,-0.469644896741979,-0.675698014576157,39.6784814505097,25.9403728207753,0.108133871082528,0.0761473435075222,5,4,0,0,5,4,5,4,0,0,1,1,5,4,0,0,5,3,5,4,0,0,1,0.75,5,4,-60.1386499369925,-0.206053117834178,th,diarrhea,nausea,ท้องเสีย,คลื่นไส้,ท้องเสียคลื่นไส้,อนุภรรยา
ความกตัญญู,650.780571331104,854.444833305549,-0.254165541395082,0.678270015450133,95.9417146061256,99.521855728005,0.347806621566845,0.5667330816636,7,6,1,1,7,6,7,6,0,0,1,1,7,6,1,1,7,6,7,6,0,0,1,1,7,6,203.664261974444,0.932435556845215,th,hospitality,gratitude,ความเอื้อเฟื้อเผื่อแผ่,ความกตัญญู,ความเอื้อเฟื้อเผื่อแผ่ความกตัญญู,บทสรุป
ความกระหายน้ำ,856.832600008361,792.765166680567,0.358816730631206,0.208230137267938,190.979274416141,117.409181796362,0.640013226626252,0.454234751234485,5,6,0,0,5,6,5,6,0,0,1,1,5,6,0,0,5,5,5,6,0,0,1,0.833333333333333,5,6,-64.0674333277939,-0.150586593363268,th,hunger,thirst,ความหิว,ความกระหายน้ำ,ความหิวความกระหายน้ำ,ส่วนตัว
ความกลมกลืน,563.139749980648,,-0.436997969489388,,81.0113106282757,,0.264865214954042,,4,,0,,4,,4,,0,,1,,4,,0,,4,,4,,0,,1,,4,,,,th,balance,harmony,ความสมดุล,ความกลมกลืน,ความสมดุลความกลมกลืน,สถานทูต
ความกลัว,634.679000047676,576.953714289108,-0.119203389347486,-0.48210721689344,216.320999952324,34.8337585385559,0.67024993643686,0.118313287553524,2,7,0,1,2,7,2,7,0,0,1,1,2,7,0,1,2,7,2,7,0,0,1,1,2,7,-57.7252857585681,-0.362903827545954,th,horror,fear,ความสยองขวัญ,ความกลัว,ความสยองขวัญความกลัว,โครงการ
ความคิดสร้างสรรค์,,606.532181826124,,-0.33126317755777,,36.8056755166709,,0.120700660675946,,11,,0,,11,,11,,0,,1,,11,,0,,10,,11,,0,,0.909090909090909,,11,,,th,imagination,creativity,จินตนาการ,ความคิดสร้างสรรค์,จินตนาการความคิดสร้างสรรค์,เข็ม
ความงาม,510.15166663588,,-0.839649673983084,,104.247210232018,,0.393055438317682,,3,,0,,3,,3,,0,,1,,3,,0,,1,,3,,0,,0.333333333333333,,3,,,,th,charm,beauty,เสน่ห์,ความงาม,เสน่ห์ความงาม,ไหล่
ความจงรักภักดี,815.059499964701,589.886000053666,0.465568154058648,-0.275252022101454,138.095441460496,51.290934043863,0.47521493043376,0.13842815274789,4,4,1,0,4,4,4,4,0,0,1,1,4,4,1,0,4,4,4,4,0,0,1,1,4,4,-225.173499911034,-0.740820176160103,th,fidelity,devotion,ความซื่อสัตย์,ความจงรักภักดี,ความซื่อสัตย์ความจงรักภักดี,ขโมย
ความจริงใจ,587.073999991786,674.684000014293,-0.585636444718958,-0.205699977606981,70.3200710985535,166.715491588549,0.205211808010266,0.598803458338648,4,5,0,1,4,5,4,5,0,0,1,1,4,5,0,1,4,5,4,5,0,0,1,1,4,5,87.6100000225068,0.379936467111978,th,loyalty,honesty,ความภักดี,ความจริงใจ,ความภักดีความจริงใจ,นายธนาคาร
ความช่วยเหลือ,644.844299952759,570.757571319804,-0.320405833942755,-0.624174996460758,65.7545063255352,39.7014112778218,0.223879633983955,0.0686354674709665,10,7,0,0,10,7,10,7,0,0,1,1,10,7,0,0,9,7,10,7,0,0,0.9,1,10,7,-74.0867286329551,-0.303769162518003,th,support,assistance,สนับสนุน,ความช่วยเหลือ,สนับสนุนความช่วยเหลือ,ขณะนี้
ความดัน,561.77820000177,515.297599981492,-0.716357675749699,-0.756969310009922,71.5801570176769,49.0880172190972,0.208670723200497,0.18484364679068,5,5,1,0,5,5,5,5,0,0,1,1,5,5,1,0,5,5,5,5,0,0,1,1,5,5,-46.4806000202778,-0.0406116342602226,th,pulse,pressure,ชีพจร,ความดัน,ชีพจรความดัน,น่าขยะแขยง
ความต้องการ,530.56416661904,620.259999952337,-0.696008020622995,-0.381878721929653,34.767364007619,,0.0522349329738117,,7,2,1,0,6,1,7,2,0,0,0.857142857142857,0.5,7,2,1,0,7,2,7,2,0,0,1,1,6,1,89.6958333332972,0.314129298693342,th,necessary,need,จำเป็น,ความต้องการ,จำเป็นความต้องการ,ความเอื้อเฟื้อเผื่อแผ่
ความทุกข์ยาก,906.6652,651.67299998807,0.767418469213031,-0.267810517962638,317.953606003513,80.3747792204642,1.20122388764861,0.219172003309967,5,8,1,0,5,8,5,8,0,0,1,1,4,8,2,0,4,8,4,8,1,0,1,1,5,8,-254.99220001193,-1.03522898717567,th,poverty,misery,ความยากจน,ความทุกข์ยาก,ความยากจนความทุกข์ยาก,อาหารเย็น
ความท้าทาย,798.794500000076,768.274699987579,-0.643542075041504,0.147503949514235,260.205499999923,118.242345008529,0.353983270882513,0.411540331592185,2,10,0,1,2,10,2,10,0,0,1,1,2,10,0,1,2,10,2,10,0,0,1,1,2,10,-30.5198000124974,0.791046024555739,th,obstacle,challenge,อุปสรรค,ความท้าทาย,อุปสรรคความท้าทาย,อินเทอร์เน็ต
ความปรารถนา,692.084333333749,605.835000047693,-0.242885311430625,-0.252710783283256,104.927068547718,134.724473935653,0.28111286458866,0.439151708053336,3,3,1,0,3,3,3,3,1,0,1,1,4,3,0,0,4,3,4,3,0,0,1,1,3,3,-86.2493332860563,-0.00982547185263138,th,desire,wish,ความต้องการ,ความปรารถนา,ความต้องการความปรารถนา,ฝึกฝน
ความปลอดภัย,631.583000000188,544.172499950102,-0.440439952770744,-0.459461648182326,131.845999999874,65.996499954548,0.169321315958184,0.00674737572616119,2,2,0,0,2,2,2,2,0,0,1,1,2,2,0,0,2,1,2,2,0,0,1,0.5,2,2,-87.4105000500859,-0.0190216954115821,th,security,safety,ความมั่นคง,ความปลอดภัย,ความมั่นคงความปลอดภัย,บราโว
ความผิด,710.980500001388,500.493249999621,-0.0845264169395163,-0.616042891770001,112.513737627416,49.5048490281896,0.453898764483965,0.140948810970363,4,4,0,0,4,4,4,4,0,0,1,1,4,4,0,0,4,3,4,4,0,0,1,0.75,4,4,-210.487250001766,-0.531516474830485,th,error,mistake,ข้อผิดพลาด,ความผิด,ข้อผิดพลาดความผิด,ลักพาตัว
ความผิดหวัง,724.625000002968,585.684249965758,-0.296772957886825,-0.533836079191401,72.1362642856751,120.956479952331,0.245577324290652,0.390822788667506,4,4,0,1,4,4,4,4,0,0,1,1,4,4,0,1,4,4,4,4,0,0,1,1,4,4,-138.940750037211,-0.237063121304576,th,surprise,disappointment,ความประหลาดใจ,ความผิดหวัง,ความประหลาดใจความผิดหวัง,พยาน
ความฝัน,528.298666681779,940.30599999559,-0.649020075744312,0.671291711770675,43.2231580793468,471.74199999546,0.12408546800059,1.38580727296443,6,2,0,0,6,2,6,2,0,0,1,1,6,2,0,0,6,2,6,2,0,0,1,1,6,2,412.00733331381,1.32031178751499,th,nightmare,dream,ฝันร้าย,ความฝัน,ฝันร้ายความฝัน,โดยทั่วไป
ความพ่ายแพ้,738.491999916529,938.554499947871,0.0703675762316671,0.382021564946204,121.435762220967,442.108499956839,0.335270939279763,1.12438490783329,4,3,0,0,4,2,4,2,0,0,1,1,4,3,0,0,4,0,4,2,0,0,1,0,4,2,200.062500031342,0.311653988714537,th,victory,defeat,ชัยชนะ,ความพ่ายแพ้,ชัยชนะความพ่ายแพ้,เปลือย
ความมั่งคั่ง,820.993428540815,1139.73933333337,0.0117109800477894,1.12499662450298,147.135427035719,432.971818014867,0.395674800367278,1.15101119008702,7,3,0,1,7,3,7,3,0,0,1,1,7,3,0,1,7,3,7,3,0,0,1,1,7,3,318.745904792555,1.11328564445519,th,treasure,wealth,สมบัติ,ความมั่งคั่ง,สมบัติความมั่งคั่ง,คณบดี
ความมั่นใจ,565.780833365114,532.813833329177,-0.599505670290104,-0.572686767477225,35.2534600986756,36.6135212558742,0.0676764316606123,0.118787750666819,6,6,1,0,6,6,6,6,0,0,1,1,6,6,1,0,6,6,6,6,0,0,1,1,6,6,-32.9670000359378,0.0268189028128787,th,respect,confidence,ความเคารพ,ความมั่นใจ,ความเคารพความมั่นใจ,พิเศษ
ความมืด,556.950666635336,584.78199995282,-0.639990457821927,-0.32113925894213,92.9276178857893,46.496353169367,0.299128707916089,0.107883035312717,3,6,0,0,3,6,3,6,0,0,1,1,3,6,0,0,3,5,3,6,0,0,1,0.833333333333333,3,6,27.8313333174833,0.318851198879797,th,shadow,dark,เงา,ความมืด,เงาความมืด,ไวน์
ความมุ่งมั่น,842.310666694029,559.176333341185,0.204252599001035,-0.743256909198624,241.740832330367,37.8772018005157,0.757286443330922,0.152858041034346,6,3,0,0,6,3,6,3,0,0,1,1,6,3,0,0,6,3,6,3,0,0,1,1,6,3,-283.134333352844,-0.947509508199658,th,courage,determination,ความกล้าหาญ,ความมุ่งมั่น,ความกล้าหาญความมุ่งมั่น,โซ่
ความยาว,408.075999994064,520.411500060079,-0.904632812531153,-0.554679415435815,,21.0461694907129,,0.0130191168257333,1,5,0,0,1,4,1,5,0,0,1,0.8,1,5,0,0,1,5,1,5,0,0,1,1,1,4,112.335500066015,0.349953397095338,th,size,length,ขนาด,ความยาว,ขนาดความยาว,คำแนะนำ
ความยุติธรรม,645.990750007433,550.818428574845,-0.310519452278777,-0.512608846545687,52.3520594065366,39.2735262419103,0.140684433566854,0.128675614805576,4,7,1,0,4,7,4,7,0,0,1,1,4,7,1,0,4,7,4,7,0,0,1,1,4,7,-95.172321432588,-0.20208939426691,th,revenge,justice,การแก้แค้น,ความยุติธรรม,การแก้แค้นความยุติธรรม,ผ้าห่ม
ความรุ่งโรจน์,521.902499994045,561.453399997717,-0.65377244185454,-0.610801607572934,27.788136050902,36.8380356659459,0.0972961748685298,0.147907003884689,4,6,0,0,4,5,4,6,0,0,1,0.833333333333333,4,6,0,0,4,6,4,6,0,0,1,1,4,5,39.550900003672,0.0429708342816054,th,glorious,glory,รุ่งโรจน์,ความรุ่งโรจน์,รุ่งโรจน์ความรุ่งโรจน์,คำอธิบาย
ความรู้,736.54200003339,,-0.120329282853349,,217.836852781942,,0.623287868887287,,7,,0,,7,,7,,0,,1,,7,,0,,7,,7,,0,,1,,7,,,,th,experience,knowledge,ประสบการณ์,ความรู้,ประสบการณ์ความรู้,รถจี๊ป
ความรู้สึก,569.486999996676,507.277333218151,-0.574110438877995,-0.703790243923191,52.1588206037103,53.0809415057582,0.193824752557538,0.116845276591827,9,6,0,1,9,6,9,6,0,0,1,1,9,6,0,1,9,6,9,6,0,0,1,1,9,6,-62.2096667785252,-0.129679805045197,th,impression,feeling,ความประทับใจ,ความรู้สึก,ความประทับใจความรู้สึก,ปิกนิก
ความลึกลับ,561.663499988034,575.876000079256,-0.680679728869421,-0.62354347805358,13.4825000119165,88.262627232196,0.01314653318023,0.223677840057038,2,5,0,0,2,5,2,5,0,0,1,1,2,5,0,0,2,5,2,5,0,0,1,1,2,5,14.2125000912226,0.0571362508158414,th,secret,mystery,ความลับ,ความลึกลับ,ความลับความลึกลับ,ระเบิด
ความล้มเหลว,523.482666680589,633,-0.705545591768326,-0.420896441732371,25.9722139042731,29,0.0580690248282568,0.0355603142252694,3,2,0,1,3,2,3,2,0,0,1,1,3,2,0,1,3,2,3,2,0,0,1,1,3,2,109.517333319411,0.284649150035955,th,success,failure,ความสำเร็จ,ความล้มเหลว,ความสำเร็จความล้มเหลว,ห้องอาบน้ำฝักบัว
ความศรัทธา,733.517599923728,690.33040004297,-0.0838795896382481,-0.240337425389351,124.770492891267,167.402184902049,0.354683693909183,0.468240951877227,5,5,1,0,5,5,5,5,0,0,1,1,5,5,1,0,5,4,5,5,0,0,1,0.8,5,5,-43.1871998807576,-0.156457835751103,th,hope,faith,ความหวัง,ความศรัทธา,ความหวังความศรัทธา,ยานพาหนะ
ความสับสน,626.596142788185,,-0.304367985219994,,58.3669315196644,,0.192555398843195,,7,,1,,7,,7,,0,,1,,7,,1,,6,,7,,0,,0.857142857142857,,7,,,,th,chaos,confusion,ความวุ่นวาย,ความสับสน,ความวุ่นวายความสับสน,สายเคเบิล
ความสามารถ,521.892999988096,,-0.573439148413827,,47.5907293165456,,0.182410978556891,,5,,0,,5,,5,,0,,1,,5,,0,,5,,5,,0,,1,,5,,,,th,capacity,ability,สมรรถภาพ,ความสามารถ,สมรรถภาพความสามารถ,กระเป๋าเอกสาร
ความสามารถพิเศษ,,1100.15283333388,,0.993845057785667,,330.426545549378,,0.921059877876594,,6,,0,,6,,6,,0,,1,,5,,1,,5,,5,,1,,1,,6,,,th,potential,talent,ศักยภาพ,ความสามารถพิเศษ,ศักยภาพความสามารถพิเศษ,สุดท้าย
ความสำคัญ,511.37399998412,428.539999999805,-0.890100913153984,-0.767251707203203,63.8224193411696,2.84699999983448,0.143554959259124,0.302370777770472,3,2,1,1,3,2,3,2,0,0,1,1,3,2,1,1,3,2,3,2,0,0,1,1,3,2,-82.8339999843155,0.122849205950781,th,meaning,importance,ความหมาย,ความสำคัญ,ความหมายความสำคัญ,พี่เลี้ยงเด็ก
ความสูง,584.709500011988,525.032499967201,-0.730344787931537,-0.588123645375144,59.5403431641169,46.987500038755,0.147734946159916,0.326442044124239,4,2,1,0,4,2,4,2,0,0,1,1,4,2,1,0,4,2,4,2,0,0,1,1,4,2,-59.677000044787,0.142221142556392,th,weight,height,น้ำหนัก,ความสูง,น้ำหนักความสูง,เป็นกังวล
ความหลงใหล,675.150399955,895.929250000035,-0.0530782033880399,0.677552729717052,101.802415136266,178.258814442861,0.36486547339886,0.619454482978276,5,4,0,0,5,4,5,4,0,0,1,1,5,4,0,0,5,4,5,4,0,0,1,1,5,4,220.778850045034,0.730630933105092,th,enthusiasm,passion,ความกระตือรือร้น,ความหลงใหล,ความกระตือรือร้นความหลงใหล,บริกร
ความเงียบ,486.575999964247,562.172125007077,-0.764670586516386,-0.669419708568497,17.3741278549817,51.116201300864,0.0234057469315347,0.158984253554532,4,8,0,0,4,8,4,8,0,0,1,1,4,8,0,0,4,8,4,8,0,0,1,1,4,8,75.59612504283,0.0952508779478887,th,silent,silence,เงียบ,ความเงียบ,เงียบความเงียบ,เก็บรวบรวม
ความเจ็บปวด,456.526999970502,604.161624920962,-0.783156265333449,-0.395275991100699,20.5523510561025,52.1961502413382,0.131166859826583,0.200904709159624,5,8,2,0,5,8,5,8,0,0,1,1,5,8,2,0,5,8,5,8,0,0,1,1,5,8,147.63462495046,0.38788027423275,th,suffering,pain,ความทุกข์ทรมาน,ความเจ็บปวด,ความทุกข์ทรมานความเจ็บปวด,ญาติ
ความเดือดดาล,1020.23400000045,527.570999940392,0.95506411574147,-0.58621016816987,181.111809858897,62.129000035813,0.482892277844325,0.0710743982341027,5,3,0,0,5,2,5,3,0,0,1,0.666666666666667,5,3,0,0,5,3,5,3,0,0,1,1,5,2,-492.663000060059,-1.54127428391134,th,anger,rage,ความโกรธ,ความเดือดดาล,ความโกรธความเดือดดาล,กล้วย
ความเบิกบานใจ,1043.55549999105,535.306000000026,2.03237413825139,-0.775702600640873,524.444500008947,82.694000000003,2.50155284613927,0.030692624842203,2,2,0,1,2,2,2,2,0,0,1,1,2,2,0,1,2,2,2,2,0,0,1,1,2,2,-508.249499991027,-2.80807673889226,th,pleasure,joy,ความปิติยินดี,ความเบิกบานใจ,ความปิติยินดีความเบิกบานใจ,ผู้ขาย
ความเป็นส่วนตัว,611.781000015888,545.966333363632,-0.283972291693385,-0.405835063922567,78.7984512463967,23.6608134100384,0.225719068035579,0.159072056017007,3,3,1,0,3,3,3,3,0,0,1,1,3,3,1,0,3,3,3,3,0,0,1,1,3,3,-65.8146666522564,-0.121862772229182,th,private,privacy,ส่วนตัว,ความเป็นส่วนตัว,ส่วนตัวความเป็นส่วนตัว,ท่านลอร์ด
ความเป็นไปได้,811.971749988078,576.226000009524,0.459439865539529,-0.485847034087387,219.998438341825,55.3313678953393,0.76071226964764,0.146622238876483,4,5,1,0,4,5,4,5,0,0,1,1,4,5,1,0,4,5,4,5,0,0,1,1,4,5,-235.745749978555,-0.945286899626916,th,chance,possibility,โอกาส,ความเป็นไปได้,โอกาสความเป็นไปได้,สูบ
ความเมตตา,584.254142831932,584.318399980967,-0.433666601525697,-0.589618754105479,27.6502499987591,26.6354870360346,0.159708848294917,0.0777769068781748,7,6,0,1,7,5,7,6,0,0,1,0.833333333333333,7,6,0,1,6,5,7,6,0,0,0.857142857142857,0.833333333333333,7,5,0.0642571490351429,-0.155952152579782,th,forgiveness,mercy,การให้อภัย,ความเมตตา,การให้อภัยความเมตตา,ชี้
ความเย่อหยิ่ง,952.30799997694,925.171500000127,0.630366587316916,0.56977953758433,265.315709681297,157.699768265727,0.798466724155694,0.332490375400137,4,4,1,0,4,4,4,4,0,0,1,1,4,4,1,0,4,4,4,4,0,0,1,1,4,4,-27.1364999768127,-0.060587049732586,th,ignorance,arrogance,ความไม่รู้,ความเย่อหยิ่ง,ความไม่รู้ความเย่อหยิ่ง,แหวน
ความเร็ว,439.193666659218,478.62666668335,-0.958219687848436,-0.796458552038935,48.6414864696849,39.2476705524163,0.234909196267732,0.154782791074814,3,6,0,0,3,6,3,6,0,0,1,1,3,6,0,0,3,6,3,6,0,0,1,1,3,6,39.4330000241315,0.161761135809501,th,distance,speed,ระยะทาง,ความเร็ว,ระยะทางความเร็ว,สร้างแรงบันดาลใจ
ความเห็นอกเห็นใจ,654.219307698484,766.886999931826,-0.179563833740449,0.167030915586427,60.8749940487679,135.955445495513,0.158727119186151,0.433700171060956,13,4,1,0,13,4,13,4,0,0,1,1,13,4,1,0,13,4,13,4,0,0,1,1,13,4,112.667692233342,0.346594749326877,th,patience,compassion,ความอดทน,ความเห็นอกเห็นใจ,ความอดทนความเห็นอกเห็นใจ,พีระมิด
ความโง่เขลา,1625.875,620.706666654694,2.60361612127535,-0.42594929416596,,118.637595643884,,0.472670506853272,1,3,1,1,1,3,1,3,0,0,1,1,1,3,1,1,1,3,1,3,0,0,1,1,1,3,-1005.16833334531,-3.02956541544131,th,madness,stupidity,ความบ้าคลั่ง,ความโง่เขลา,ความบ้าคลั่งความโง่เขลา,ข้อความ
ความโหดร้าย,671.834000033396,609.451166655255,-0.229648757872994,-0.348043423288671,85.7645598296133,29.0423180333194,0.213296034088324,0.0933654130895209,5,6,1,0,5,6,5,6,0,0,1,1,5,6,1,0,4,6,5,6,0,0,0.8,1,5,6,-62.3828333781414,-0.118394665415677,th,evil,cruelty,ความชั่วร้าย,ความโหดร้าย,ความชั่วร้ายความโหดร้าย,มิถุนายน
คอ,560.111857112231,757.368999988093,-0.859044892282066,0.0322302530545503,56.0115382596378,114.208701453278,0.0523533755569356,0.251416910256674,7,3,0,0,7,3,7,3,0,0,1,1,7,3,0,0,7,3,7,3,0,0,1,1,7,3,197.257142875862,0.891275145336616,th,throat,neck,ลำคอ,คอ,ลำคอคอ,เข้า
คอนยัค,1688.86349990471,,3.57809023400503,,863.863499904562,,3.12128632555181,,4,,0,,2,,4,,0,,0.5,,4,,0,,1,,4,,0,,0.25,,2,,,,th,rum,cognac,รัม,คอนยัค,รัมคอนยัค,แคมเปญ
คอนเสิร์ต,641.153999998525,752.74775000522,-0.203189017221524,0.0554729909448503,19.7410000014935,222.512733638181,0.0388448850571629,0.713531002001863,2,4,0,0,2,4,2,4,0,0,1,1,2,4,0,0,2,4,2,4,0,0,1,1,2,4,111.593750006694,0.258662008166374,th,tour,concert,การตระเวนแสดงผลงาน,คอนเสิร์ต,การตระเวนแสดงผลงานคอนเสิร์ต,โต๊ะ
คอมพิวเตอร์,,562.407250006727,,-0.691230742745235,,22.2107946766216,,0.0999140072648943,,4,,0,,4,,4,,0,,1,,4,,0,,4,,4,,0,,1,,4,,,th,software,computer,ซอฟต์แวร์,คอมพิวเตอร์,ซอฟต์แวร์คอมพิวเตอร์,เสมอ
คอมมิวนิสต์,,743.293500000116,,-0.0984854304379284,,77.33449999991,,0.126626116737912,,2,,0,,2,,2,,0,,1,,2,,0,,2,,2,,0,,1,,2,,,th,racist,communist,ผู้ที่เหยียดผิว,คอมมิวนิสต์,ผู้ที่เหยียดผิวคอมมิวนิสต์,ฮอร์โมน
คาดหวัง,585.47199999997,625.040000023844,-0.471362332401026,-0.454753267883003,57.3053418801515,5.66000002383947,0.302163797315287,0.0264000807515075,3,2,0,0,3,2,3,2,0,0,1,1,3,2,0,0,3,2,3,2,0,0,1,1,3,2,39.5680000238744,0.0166090645180234,th,wait,expect,รอ,คาดหวัง,รอคาดหวัง,รัศมี
คาวบอย,659.919750000001,539.442600052734,-0.403309075150021,-0.66423302742964,60.7332427373667,34.1530074135804,0.160512910762293,0.0312684291047747,4,5,2,0,4,5,4,5,0,0,1,1,4,5,2,0,4,5,4,5,0,0,1,1,4,5,-120.477149947267,-0.260923952279619,th,rodeo,cowboy,การแสดงโชว์ของคาวบอย,คาวบอย,การแสดงโชว์ของคาวบอยคาวบอย,ผ้าไหม
คำนวณ,579.213332943909,649.02940003844,-0.663886581390437,-0.165132927592386,84.6506270507345,137.849544986302,0.198131334845096,0.478037538332956,3,5,0,0,3,5,3,5,0,0,1,1,3,5,0,0,3,4,3,5,0,0,1,0.8,3,5,69.8160670945308,0.498753653798052,th,count,calculate,นับ,คำนวณ,นับคำนวณ,น้ำผึ้ง
คำนำหน้าชื่อ,955.838666658695,793.124666694494,0.603596647200644,0.292160510297573,245.21050869181,100.745708423061,0.769968505810606,0.1550987170514,3,3,1,0,3,3,3,3,0,0,1,1,3,3,1,0,3,3,3,3,0,0,1,1,3,3,-162.713999964201,-0.311436136903071,th,name,title,ชื่อ,คำนำหน้าชื่อ,ชื่อคำนำหน้าชื่อ,ช่วย
คำนิยาม,660.082500000019,651.870857146592,-0.46699813239638,-0.0855591779962901,146.007500000066,16.5874995123435,0.334170135217061,0.115468154214806,2,7,0,0,2,7,2,7,0,0,1,1,2,7,0,0,2,7,2,7,0,0,1,1,2,7,-8.21164285342695,0.381438954400089,th,concept,definition,แนวคิด,คำนิยาม,แนวคิดคำนิยาม,นักเรียน
