target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,fa_cue,fa_target,fa_word_combo,unrelated_fa_cue
انرژی,554.515692266887,939.891166655047,-0.712096274389389,0.503759764404565,55.6053729437993,326.398518415759,0.156874625092878,1.02438597863751,13,6,0,1,13,6,13,6,0,0,1,1,13,6,0,1,12,6,13,6,0,0,0.923076923076923,1,13,6,385.37547438816,1.21585603879395,fa,power,energy,قدرت,انرژی,قدرتانرژی,فرم
انسان,511.508650030788,544.757888865585,-0.765453879938268,-0.554822956297993,28.1998340635711,21.8485477323001,0.0785817939533784,0.0853554485969378,21,19,0,1,20,18,20,18,0,0,1,1,21,19,0,1,18,18,20,18,0,0,0.9,1,20,18,33.2492388347972,0.210630923640275,fa,man,human,مرد,انسان,مردانسان,آفرین
انفجار,580.93312492657,525.679000035394,-0.554131375246618,-0.519481254513714,74.5906002779198,52.4341457672137,0.204207670370936,0.201848826456938,18,12,1,2,16,12,16,12,0,1,1,1,18,12,1,2,15,12,16,12,0,1,0.9375,1,16,12,-55.2541248911764,0.0346501207329049,fa,bomb,explosive,بمب,انفجار,بمبانفجار,تابوت
انفجار,580.93312492657,525.679000035394,-0.554131375246618,-0.519481254513714,74.5906002779198,52.4341457672137,0.204207670370936,0.201848826456938,18,12,1,2,16,12,16,12,0,1,1,1,18,12,1,2,15,12,16,12,0,1,0.9375,1,16,12,-55.2541248911764,0.0346501207329049,fa,bomb,explosive,بمب,انفجار,بمبانفجار,پیانو
انفجار.1,514.281272870091,505.164428571854,-0.627727011360518,-0.80242729962502,47.7335022093507,27.9838272739146,0.151426734662341,0.135200433666515,11,7,0,1,11,7,11,7,0,0,1,1,11,7,0,1,10,7,11,7,0,0,0.909090909090909,1,11,7,-9.11684429823708,-0.174700288264502,fa,earthquake,explosion,زمین لرزه,انفجار,زمین لرزهانفجار,تابوت
انفجار.1,514.281272870091,505.164428571854,-0.627727011360518,-0.80242729962502,47.7335022093507,27.9838272739146,0.151426734662341,0.135200433666515,11,7,0,1,11,7,11,7,0,0,1,1,11,7,0,1,10,7,11,7,0,0,0.909090909090909,1,11,7,-9.11684429823708,-0.174700288264502,fa,earthquake,explosion,زمین لرزه,انفجار,زمین لرزهانفجار,پیانو
انگشت شست,932.548444453798,672.91238458426,0.299152153252395,-0.195869655591511,247.727284214693,64.9399219703708,0.355940774539674,0.280650787964108,10,13,0,0,9,13,10,13,0,0,0.9,1,10,13,0,0,8,13,10,13,0,0,0.8,1,9,13,-259.636059869538,-0.495021808843906,fa,finger,thumb,انگشت,انگشت شست,انگشتانگشت شست,عالی جناب
اهانت,636.50694734458,685.206333357162,-0.312758633700238,0.178782635048567,47.0838572412323,124.964593991874,0.181202346149425,0.575409576647631,19,4,1,0,19,3,19,3,1,0,1,1,19,4,1,0,19,2,19,3,1,0,1,0.666666666666667,19,3,48.699386012582,0.491541268748804,fa,insult,offend,توهین,اهانت,توهیناهانت,اول
اهمیت,517.012285676397,569.499222223411,-0.673852773981319,-0.540752515602743,23.5211484304301,66.2489492609848,0.0980381473398016,0.239998329267904,14,9,1,1,14,9,14,9,0,1,1,1,14,10,1,0,14,9,14,10,0,0,1,0.9,14,9,52.4869365470139,0.133100258378577,fa,meaning,importance,معنی,اهمیت,معنیاهمیت,سم
اولیه,622.987166674636,817.442666660698,0.0022706503416333,0.468238316090092,61.2318767792241,193.876748106633,0.299173804164246,0.854382639538616,13,13,0,0,12,12,12,12,0,0,1,1,13,13,0,0,10,12,12,12,0,0,0.833333333333333,1,12,12,194.455499986063,0.465967665748459,fa,secondary,primary,ثانویه,اولیه,ثانویهاولیه,مرد
اپارتمان,620.348187614932,944.575666730293,-0.152801326410027,-0.542726722618111,41.5950595517881,423.358269495927,0.216067718956088,0.542774748719655,16,3,0,0,16,3,16,3,0,0,1,1,16,3,0,0,16,3,16,3,0,0,1,1,16,3,324.227479115361,-0.389925396208084,fa,house,apartment,خانه,اپارتمان,خانهاپارتمان,مایع
اکسیژن,521.092307667099,568.989999998749,-0.694867043701752,-0.455101642704386,28.1142475234762,65.4067722674279,0.0951080450322077,0.26911441644355,14,3,0,1,13,3,13,3,0,0,1,1,14,3,0,1,11,3,13,3,0,0,0.846153846153846,1,13,3,47.8976923316496,0.239765400997366,fa,air,oxygen,هوا,اکسیژن,هوااکسیژن,دو
ایستگاه,669.452600052455,658.408928575673,-0.362374164892429,-0.486408084167301,50.1560335945803,77.4093587980069,0.220887952961169,0.128616013858234,7,15,0,1,5,14,5,14,0,0,1,1,7,15,0,1,4,14,5,14,0,0,0.8,1,5,14,-11.0436714767817,-0.124033919274872,fa,platform,station,سکو,ایستگاه,سکوایستگاه,آزاد
ایمان,532.938588207153,490.267076943537,-0.708583315528814,-0.848522726352264,42.4854821425948,34.5540361459539,0.162891953741567,0.101301467546096,17,13,0,0,17,13,17,13,0,0,1,1,17,13,0,0,17,13,17,13,0,0,1,1,17,13,-42.671511263616,-0.13993941082345,fa,trust,believe,اعتماد,ایمان,اعتمادایمان,وسیله نقلیه
ایمان,532.938588207153,490.267076943537,-0.708583315528814,-0.848522726352264,42.4854821425948,34.5540361459539,0.162891953741567,0.101301467546096,17,13,0,0,17,13,17,13,0,0,1,1,17,13,0,0,17,13,17,13,0,0,1,1,17,13,-42.671511263616,-0.13993941082345,fa,trust,believe,اعتماد,ایمان,اعتمادایمان,ترسناک
ایمان.1,534.033071556096,561.352916652268,-0.363591980640027,-0.545043234066111,65.3461350237182,48.7371496816854,0.377096556399289,0.140881947358143,15,13,0,1,14,12,14,12,0,0,1,1,15,13,0,1,13,12,14,12,0,0,0.928571428571429,1,14,12,27.3198450961722,-0.181451253426084,fa,hope,faith,امید,ایمان,امیدایمان,وسیله نقلیه
ایمان.1,534.033071556096,561.352916652268,-0.363591980640027,-0.545043234066111,65.3461350237182,48.7371496816854,0.377096556399289,0.140881947358143,15,13,0,1,14,12,14,12,0,0,1,1,15,13,0,1,13,12,14,12,0,0,0.928571428571429,1,14,12,27.3198450961722,-0.181451253426084,fa,hope,faith,امید,ایمان,امیدایمان,ترسناک
ایمنی,543.07584210917,558.572571449003,-0.615485343383001,-0.525288135484613,40.1424737253656,45.7103378837117,0.130901391920094,0.138983334565038,20,7,1,0,19,7,19,7,0,0,1,1,20,7,1,0,19,7,19,7,0,0,1,1,19,7,15.4967293398324,0.0901972078983881,fa,security,safety,امنیت,ایمنی,امنیتایمنی,ناراحت
با ایمان,613.844000003428,695.389200020273,-0.611864254957534,-0.0882778001479339,87.7726715697018,116.424659911819,0.0876534644727096,0.326495871120224,12,6,0,0,11,5,11,5,0,0,1,1,12,5,0,1,11,4,11,4,0,1,1,1,11,5,81.5452000168451,0.523586454809601,fa,loyal,faithful,وفادار,با ایمان,وفاداربا ایمان,قربانی
بابا,531.66371430351,510.246705882327,-0.439999172431108,-0.63582676696948,62.9470370541837,28.3567579591708,0.279033616385527,0.103261494699008,8,19,1,2,7,17,7,18,0,1,1,0.944444444444444,8,19,1,2,7,17,7,18,0,1,1,0.944444444444444,7,17,-21.4170084211836,-0.195827594538373,fa,uncle,dad,عمو,بابا,عموبابا,به وقوع پیوستن
باج ‎‌گیری,1675.80099995236,520.820000000007,1.67793637248908,0.409259610585738,,,,,16,13,2,0,1,1,16,13,0,0,0.0625,0.0769230769230769,16,13,2,0,15,13,16,13,0,0,0.9375,1,1,1,-1154.98099995235,-1.26867676190334,fa,bribe,blackmail,رشوه,باج ‎‌گیری,رشوهباج ‎‌گیری,کشاورز
بارداری,634.526384538362,678.440555457815,-0.38985594576613,-0.0925207438266197,78.380962763434,68.239290668008,0.212013033116578,0.228667278763304,13,9,0,1,13,9,13,9,0,1,1,1,13,9,0,1,13,9,13,9,0,1,1,1,13,9,43.9141709194528,0.29733520193951,fa,birth,pregnancy,تولد,بارداری,تولدبارداری,قطب نما
بازار یابی,694.279000006156,710.194833326629,0.135786948152019,0.160495763998023,77.2939556788917,65.2409062779098,0.339103673054844,0.268763757675757,13,18,2,0,11,18,11,18,0,0,1,1,13,18,2,0,10,18,11,18,0,0,0.909090909090909,1,11,18,15.9158333204734,0.0247088158460038,fa,advertising,marketing,تبلیغات,بازار یابی,تبلیغاتبازار یابی,مخاطب
بازرسی,624.191384241137,566.263999945578,-0.338133328714079,-0.546371951064666,46.5860274905112,30.7583399154851,0.241083630910907,0.0855763120284067,13,16,1,0,13,14,13,14,0,0,1,1,13,16,1,0,13,13,13,14,0,0,1,0.928571428571429,13,14,-57.9273842955596,-0.208238622350587,fa,examination,inspection,بررسی,بازرسی,بررسیبازرسی,نان
بازرگان,568.663117637245,521.322499988106,-0.448200267648458,-0.409296889386884,29.3870888279963,5.237500011892,0.0988943319384474,0.0279939579779851,17,3,0,0,17,2,17,2,0,0,1,1,17,3,0,0,17,2,17,2,0,0,1,1,17,2,-47.340617649139,0.0389033782615745,fa,commercial,merchant,تجاری,بازرگان,تجاریبازرگان,تعادل
بازو,716.184999984747,565.091941182157,0.144729818118729,-0.432864469202736,133.993281135119,30.9001471153229,0.495403484017784,0.117944409999905,20,19,1,1,19,17,20,18,0,1,0.95,0.944444444444444,20,19,1,1,17,17,20,18,0,1,0.85,0.944444444444444,18,17,-151.093058802591,-0.577594287321465,fa,hand,arm,دست,بازو,دستبازو,نزدیک
بازی,565.730133254066,502.89430001034,-0.691890383264709,-0.83633658307673,38.9648988707867,33.6494829159101,0.155158378915607,0.118381325108036,16,11,0,0,15,10,16,10,0,0,0.9375,1,16,11,0,0,16,10,16,10,0,0,1,1,15,10,-62.8358332437251,-0.144446199812021,fa,play,game,بازی کردن,بازی,بازی کردنبازی,لازم
بازیکن,742.698999979526,662.696769202421,0.0227653045169999,-0.0202495046185001,225.572334600469,53.7554119681047,0.535816078327523,0.259783783856421,9,14,1,1,8,13,8,13,0,0,1,1,9,14,1,1,8,9,8,13,0,0,1,0.692307692307692,8,13,-80.0022307771048,-0.0430148091355001,fa,coach,player,مربی,بازیکن,مربیبازیکن,فر
بازیگر,548.268333323416,479.263538473465,-0.779431081344621,-0.780765671835461,57.0668180785065,35.156286960199,0.178366667604939,0.152485020175769,10,14,0,1,9,13,9,13,0,0,1,1,10,14,0,1,9,13,9,13,0,0,1,1,9,13,-69.0047948499514,-0.00133459049084028,fa,author,actor,نویسنده,بازیگر,نویسندهبازیگر,به وضوح
