target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,ur_cue,ur_target,ur_word_combo
اب بھی,788.430833322015,778.365555586358,-0.483554995807277,-0.299267146652614,107.518627470021,57.0199733560514,0.1716026236714,0.113734314777932,33,32,0,1,18,18,19,22,0,1,0.947368421052632,0.818181818181818,33,32,0,1,18,22,19,22,0,1,0.947368421052632,1,18,18,-10.0652777356576,0.184287849154663,ur,already,still,پہلے سے,اب بھی,پہلے سےاب بھی
ابلنا,831.549625011663,1111.52763635416,-0.21040433267537,0.540300945541547,66.6663387211621,96.3029911791735,0.165585918782978,0.277762257616439,50,31,3,1,24,11,32,14,0,0,0.75,0.785714285714286,50,29,3,3,31,12,32,12,0,2,0.96875,1,24,11,279.978011342502,0.750705278216917,ur,warm,cool,گرم,ابلنا,گرمابلنا
اتوار,556.510633328776,540.68550000514,-1.0613019819962,-0.905720272239506,24.3333616455012,30.3461755378078,0.0745997378541153,0.0962192160766328,50,27,0,0,30,16,30,16,0,0,1,1,50,27,0,0,30,14,30,16,0,0,1,0.875,30,16,-15.8251333236362,0.155581709756689,ur,saturday,sunday,ہفتہ,اتوار,ہفتہاتوار
اثر,774.388533331158,757.075666664692,-0.708564553270238,-0.277480907357126,74.7479243032387,40.1480784826812,0.0924129983610236,0.145707749487832,44,44,0,0,15,27,15,30,0,0,1,0.9,44,43,0,1,8,7,15,30,0,0,0.533333333333333,0.233333333333333,15,27,-17.3128666664653,0.431083645913112,ur,influence,effect,اثر و رسوخ,اثر,اثر و رسوخاثر
اجرتی قاتل,1285.18695238274,1484.94022218415,0.690710258022593,1.54951626789363,131.837221015618,168.843915336488,0.301717532981054,0.372732531785716,50,29,1,0,21,9,23,18,1,0,0.91304347826087,0.5,47,29,4,0,21,16,22,18,2,0,0.954545454545455,0.888888888888889,21,9,199.753269801415,0.858806009871039,ur,mercenary,assassin,بھاڑےکا سپاہی,اجرتی قاتل,بھاڑےکا سپاہیاجرتی قاتل
احساس,562.576166475463,606.925629623674,-0.919737636757933,-0.637756761649062,30.4367127903661,38.5309760423492,0.0613112187983731,0.103284514003229,44,52,0,0,30,27,30,27,0,0,1,1,44,52,0,0,26,26,30,27,0,0,0.866666666666667,0.962962962962963,30,27,44.3494631482107,0.281980875108871,ur,impression,feeling,تاثر,احساس,تاثراحساس
احمق,782.423136346201,815.354275846601,-0.400873086969519,-0.33723672744537,59.0754760182122,73.6664270889837,0.109085216333774,0.159757724897184,39,50,1,0,22,29,23,30,0,0,0.956521739130435,0.966666666666667,38,50,2,0,18,30,22,30,1,0,0.818181818181818,1,22,29,32.9311395003999,0.0636363595241496,ur,fool,idiot,نادان,احمق,ناداناحمق
احمقانہ,737.656399964239,883.680235223646,-0.540464767208979,-0.165883975216381,68.6307952610328,85.0520803206115,0.0985650990394339,0.140558562820557,12,36,2,1,5,17,5,21,1,0,1,0.80952380952381,13,35,1,2,4,18,5,20,1,1,0.8,0.9,5,17,146.023835259407,0.374580791992598,ur,ridiculous,absurd,نامعقول,احمقانہ,نامعقولاحمقانہ
اخبار,674.206833330311,574.395500046793,-0.780949212705503,-0.834050844579843,49.6088773429531,33.5121636682069,0.124459027444151,0.11377189425341,20,22,0,1,13,12,13,12,0,0,1,1,19,22,1,1,10,11,12,12,1,0,0.833333333333333,0.916666666666667,12,12,-99.8113332835179,-0.05310163187434,ur,article,newspaper,آرٹیکل,اخبار,آرٹیکلاخبار
اختیار,591.222863642037,607.261388884419,-0.850911171394126,-0.995990824599083,32.4621662907357,48.0397594966419,0.0589996509318069,0.0599469256341922,37,34,1,0,22,18,22,18,0,0,1,1,37,33,1,1,22,14,22,18,0,0,1,0.777777777777778,22,18,16.0385252423819,-0.145079653204956,ur,choice,option,انتخاب,اختیار,انتخاباختیار
