target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,nl_cue,nl_target,nl_word_combo
afval,527.757714310091,497.609500023827,-0.58794719239419,-0.553501478408451,43.6895508332708,35.1086852471296,0.151556381870741,0.21001895910234,15,6,0,0,14,6,15,6,0,0,0.933333333333333,1,15,6,0,0,14,6,15,6,0,0,0.933333333333333,1,14,6,-30.1482142862638,0.0344457139857389,nl,trash,garbage,vuilnis,afval,vuilnisafval
afwezigheid,530.621999962265,692.987000013569,-0.43176634174658,0.179597612532166,16.5297385923586,77.2734493999482,0.111051756976785,0.39161129788116,6,9,0,1,6,9,6,9,0,1,1,1,6,9,0,1,6,7,6,9,0,1,1,0.777777777777778,6,9,162.365000051304,0.611363954278746,nl,presence,absence,aanwezigheid,afwezigheid,aanwezigheidafwezigheid
akkoord,527.023999997711,532.338642859911,-0.609846775505727,-0.652186526360883,35.5635266751867,33.0858107063142,0.171525414568046,0.0871576899206702,19,14,0,0,17,14,17,14,0,0,1,1,19,14,0,0,17,13,17,14,0,0,1,0.928571428571429,17,14,5.31464286219978,-0.0423397508551555,nl,contract,agreement,contract,akkoord,contractakkoord
alarm,506.04100004033,544.138833331172,-0.523902561749088,-0.497140776448406,45.1693820425893,35.8187631348606,0.191609532354846,0.125604041224117,10,19,0,0,10,18,10,19,0,0,1,0.947368421052632,10,19,0,0,9,19,10,19,0,0,0.9,1,10,18,38.0978332908426,0.0267617853006826,nl,alert,alarm,alert,alarm,alertalarm
algemeen,448.223416686917,541.34393748062,-0.690811204094932,-0.422251324818266,35.7239230333382,28.07540540622,0.142775323144645,0.114260539357508,12,17,0,1,12,16,12,16,0,0,1,1,12,17,0,1,12,14,12,16,0,0,1,0.875,12,16,93.1205207937036,0.268559879276667,nl,naturally,generally,natuurlijk,algemeen,natuurlijkalgemeen
alibi,803.171000016916,638.274416671649,0.527207256601527,-0.133361684328647,106.637992078066,56.3662037284384,0.346695139344557,0.210136725773412,9,14,0,0,7,12,7,14,0,0,1,0.857142857142857,9,14,0,0,7,14,7,14,0,0,1,1,7,12,-164.896583345268,-0.660568940930174,nl,motive,alibi,motief,alibi,motiefalibi
alpha,763.712444430547,883.191230785055,0.93883276715279,0.874628251160745,68.7892978704363,119.644889397708,0.446421109556423,0.415597531772529,11,23,1,0,9,13,11,23,1,0,0.818181818181818,0.565217391304348,12,23,0,0,12,23,12,23,0,0,1,1,9,13,119.478786354508,-0.0642045159920452,nl,bravo,alpha,bravo,alpha,bravoalpha
amerika,509.267000008739,545.123045458568,-0.582324082254617,-0.299935663031118,33.3020210529618,25.8697647853962,0.123882612730198,0.123329467790795,14,22,0,0,14,22,14,22,0,0,1,1,14,22,0,0,14,16,14,22,0,0,1,0.727272727272727,14,22,35.8560454498289,0.282388419223499,nl,africa,america,afrika,amerika,afrikaamerika
amerikaans voetbal,929.084214289781,1019.13384615887,1.15916763411686,1.38799923353401,117.659180737623,128.94844729963,0.427138813886951,0.480606253787798,18,15,0,0,14,13,15,13,0,0,0.933333333333333,1,18,15,0,0,14,13,15,13,0,0,0.933333333333333,1,14,13,90.0496318690933,0.228831599417148,nl,basketball,football,basketbal,amerikaans voetbal,basketbalamerikaans voetbal
analyse,584.056400006342,631.65542859262,-0.300509551052321,0.0436666245492736,41.9510579004862,39.5958675827749,0.137547968765083,0.308080309937354,15,23,2,0,15,21,15,21,2,0,1,1,15,23,2,0,10,21,15,21,2,0,0.666666666666667,1,15,21,47.5990285862782,0.344176175601594,nl,autopsy,analysis,autopsie,analyse,autopsieanalyse
angst,541.454722224668,552.508857152111,-0.399163360865593,-0.396482605505704,62.2538639926964,44.4531928010991,0.272281681308312,0.161679395614305,19,17,0,0,18,14,19,14,0,0,0.947368421052632,1,19,17,0,0,19,14,19,14,0,0,1,1,18,14,11.0541349274423,0.0026807553598896,nl,horror,fear,verschrikking,angst,verschrikkingangst
antwoorden,445.726416671202,532.712571413194,-0.830912818103583,-0.502956275047196,18.7969998158646,26.5241238079558,0.072676987759804,0.0963724491628298,14,22,0,0,12,21,12,22,0,0,1,0.954545454545455,14,22,0,0,12,22,12,22,0,0,1,1,12,21,86.9861547419915,0.327956543056386,nl,answer,reply,antwoord,antwoorden,antwoordantwoorden
apparaat,609.501230772464,518.78500000888,-0.210279226025077,-0.454056639761132,22.5979055388356,29.7569955885015,0.144278264539203,0.215972125238484,15,10,0,0,13,9,14,10,0,0,0.928571428571429,0.9,15,10,0,0,7,9,14,10,0,0,0.5,0.9,13,9,-90.7162307635837,-0.243777413736054,nl,chip,device,chip,apparaat,chipapparaat
appartement,644.639642860031,567.314562517126,-0.150482752002762,-0.393259244822867,48.6108861114343,42.5011946880138,0.168999745652903,0.174108262977348,17,18,2,0,14,16,16,16,1,0,0.875,1,16,18,3,0,14,16,15,16,2,0,0.933333333333333,1,14,16,-77.325080342906,-0.242776492820105,nl,house,apartment,huis,appartement,huisappartement
architect,525.35100001315,718.775428572888,-0.439820598952044,0.457978295586083,25.3605376307665,65.0717887518153,0.105546442774834,0.365022750840282,15,16,0,0,14,14,14,15,0,0,1,0.933333333333333,15,16,0,0,12,15,14,15,0,0,0.857142857142857,1,14,14,193.424428559738,0.897798894538127,nl,engineer,architect,ingenieur,architect,ingenieurarchitect
arm,479.98137502089,470.03947060448,-0.647583067745064,-0.723228081163936,20.4306554344833,21.6438783115527,0.117369769828274,0.116924537735758,16,17,1,0,16,17,16,17,1,0,1,1,16,17,1,0,16,16,16,17,1,0,1,0.941176470588235,16,17,-9.94190441640995,-0.0756450134188725,nl,hand,arm,hand,arm,handarm
arresteren,620.986999955717,679.803550035175,-0.0382078954388837,0.380684468239166,57.4587353733172,44.017979070533,0.202833882908206,0.200492993890968,10,22,0,1,9,20,9,20,0,0,1,1,10,22,0,1,9,20,9,20,0,0,1,1,9,20,58.8165500794584,0.41889236367805,nl,punish,arrest,straffen,arresteren,straffenarresteren
arrogantie,561.574444442302,736.970545443509,-0.43811441413846,0.279607974439399,39.243166796499,82.9631195208109,0.142779112382023,0.345707424711389,11,11,0,0,9,11,10,11,0,0,0.9,1,11,11,0,0,9,11,10,11,0,0,0.9,1,9,11,175.396101001207,0.717722388577859,nl,ignorance,arrogance,onwetendheid,arrogantie,onwetendheidarrogantie
artillerie,849.89889994748,794.372142838431,0.657676569275334,0.88902629914429,92.0613065310678,95.1989477859059,0.281796775712971,0.505227426598362,23,17,0,0,10,7,19,16,0,0,0.526315789473684,0.4375,23,17,0,0,5,15,19,16,0,0,0.263157894736842,0.9375,10,7,-55.5267571090487,0.231349729868956,nl,cavalry,artillery,cavalerie,artillerie,cavalerieartillerie
arts,493.124800017878,492.347312489703,-0.706982272925265,-0.496248115619993,24.5320249907642,17.5131773503855,0.0825982621210189,0.104744070452346,11,17,0,0,10,16,10,16,0,0,1,1,11,17,0,0,10,14,10,16,0,0,1,0.875,10,16,-0.777487528175016,0.210734157305272,nl,surgeon,doctor,chirurg,arts,chirurgarts
assistent,557.643083333334,584.238538449243,-0.43067248002897,-0.283402105612616,99.1016176373378,27.2916442854796,0.283501080447074,0.114653281014423,13,16,0,0,12,13,12,14,0,0,1,0.928571428571429,13,16,0,0,12,12,12,14,0,0,1,0.857142857142857,12,13,26.595455115909,0.147270374416354,nl,secretary,assistant,secretaris,assistent,secretarisassistent
assisteren,796.159000005985,705.75199998386,0.72379168747937,0.278607238374855,109.730782337181,82.9569832590917,0.507039092428011,0.320963068169861,7,14,0,0,6,12,6,14,0,0,1,0.857142857142857,7,14,0,0,6,13,6,14,0,0,1,0.928571428571429,6,12,-90.4070000221254,-0.445184449104515,nl,help,assist,helpen,assisteren,helpenassisteren
atlantische oceaan,707.09733333653,956.335750025172,0.560064180329366,1.50645966464713,60.7010291871644,108.762952645559,0.400330777589822,0.471779550823204,21,14,0,0,18,12,18,13,0,0,1,0.923076923076923,20,14,1,0,17,12,18,13,0,0,0.944444444444444,0.923076923076923,18,12,249.238416688642,0.946395484317763,nl,pacific,atlantic,grote oceaan,atlantische oceaan,grote oceaanatlantische oceaan
atmosfeer,597.030090914592,653.315333326063,-0.177197812453661,0.14913487777829,31.1583343299765,42.9168010330417,0.131961063820645,0.204309973106545,11,9,0,0,11,9,11,9,0,0,1,1,11,9,0,0,9,9,11,9,0,0,0.818181818181818,1,11,9,56.2852424114703,0.326332690231951,nl,environment,atmosphere,omgeving,atmosfeer,omgevingatmosfeer
auto,479.553000009693,459.293857147352,-0.675963434842002,-0.880064358561522,15.8096904407277,23.1192804402635,0.0741269570156274,0.0836787912368006,20,14,0,1,20,14,20,14,0,1,1,1,20,13,0,2,19,13,20,13,0,2,0.95,1,20,14,-20.2591428623412,-0.20410092371952,nl,vehicle,car,voertuig,auto,voertuigauto
avond,504.344599999849,494.870833364733,-0.665098535223919,-0.527972924636563,51.128308156863,36.6852316921114,0.137978346816116,0.126795450402183,11,12,0,0,10,12,10,12,0,0,1,1,11,12,0,0,9,11,10,12,0,0,0.9,0.916666666666667,10,12,-9.47376663511648,0.137125610587356,nl,night,evening,nacht,avond,nachtavond
baan,447.238166658727,576.069454567107,-0.73297297231532,-0.323710170074277,16.5803342805571,53.9317941629241,0.115288805871968,0.210628899061161,13,11,1,0,12,11,12,11,1,0,1,1,13,11,1,0,12,11,12,11,1,0,1,1,12,11,128.831287908381,0.409262802241043,nl,planet,orbit,planeet,baan,planeetbaan
baard,628.864777785066,492.729777797623,-0.332557238732119,-0.666273041818074,78.8221048296104,41.3099531753313,0.244658629043201,0.112378054861081,11,10,1,0,9,9,9,9,1,0,1,1,11,10,1,0,8,8,9,9,1,0,0.888888888888889,0.888888888888889,9,9,-136.134999987443,-0.333715803085955,nl,hair,beard,haar,baard,haarbaard
baas,464.874071402951,469.462299986302,-0.820330618059826,-0.81937106830458,26.1263922006948,34.0233259658011,0.0999374214398705,0.136763462100297,15,10,0,0,14,10,14,10,0,0,1,1,15,10,0,0,14,10,14,10,0,0,1,1,14,10,4.58822858335014,0.00095954975524537,nl,manager,boss,manager,baas,managerbaas
badkamer,588.780294128368,532.588555600598,-0.325265045790308,-0.472524683116335,40.675136459886,37.3995734875787,0.180250032507159,0.103844015351199,17,9,0,0,17,9,17,9,0,0,1,1,17,9,0,0,14,7,17,9,0,0,0.823529411764706,0.777777777777778,17,9,-56.1917385277708,-0.147259637326027,nl,shower,bathroom,douche,badkamer,douchebadkamer
band,527.294200003469,590.158624991181,-0.558872190573686,-0.234128937338197,29.748709036016,47.4261677588995,0.133187604466304,0.254310788108757,17,8,0,0,15,8,16,8,0,0,0.9375,1,17,8,0,0,13,7,16,8,0,0,0.8125,0.875,15,8,62.8644249877124,0.324743253235489,nl,orchestra,band,orkest,band,orkestband
bar,504.319375043196,670.585600011051,-0.593897018485409,0.0702362356364525,35.0781417117169,87.1925938610086,0.173766830757061,0.28949679129852,8,11,0,0,8,10,8,10,0,0,1,1,8,11,0,0,8,10,8,10,0,0,1,1,8,10,166.266224967855,0.664133254121862,nl,club,bar,club,bar,clubbar
bataljon,896.277599920147,958.258999988087,1.68304530797575,1.50939536877021,146.897431366979,,0.765755477733627,,14,5,0,0,5,1,13,5,0,0,0.384615384615385,0.2,14,5,0,0,8,5,13,5,0,0,0.615384615384615,1,5,1,61.9814000679398,-0.173649939205541,nl,regiment,battalion,regiment,bataljon,regimentbataljon
batman,541.498666654297,681.988000000481,-0.356286777497739,-0.0343192835532002,32.9251464366884,146.659045232573,0.149421248250838,0.438749435433877,21,13,0,0,21,8,21,13,0,0,1,0.615384615384615,21,13,0,0,18,12,21,13,0,0,0.857142857142857,0.923076923076923,21,8,140.489333346183,0.321967493944539,nl,superman,batman,superman,batman,supermanbatman
beambte,801.34399997021,1065.43162500755,0.557948436904838,2.20222080660568,145.434000065579,136.447990059582,0.259154199647968,0.47110842694481,8,14,0,0,2,8,7,13,0,0,0.285714285714286,0.615384615384615,8,14,0,0,6,9,7,13,0,0,0.857142857142857,0.692307692307692,2,8,264.08762503734,1.64427236970084,nl,officially,official,officieel,beambte,officieelbeambte
beangstigen,703.183599996455,691.603500026088,0.410644550364044,0.197244458142607,60.3797847861222,86.2669540116383,0.313374200660403,0.343124495923372,12,11,0,0,10,8,11,11,0,0,0.909090909090909,0.727272727272727,12,11,0,0,11,11,11,11,0,0,1,1,10,8,-11.5800999703663,-0.213400092221436,nl,scare,frighten,laten schrikken,beangstigen,laten schrikkenbeangstigen
bed,532.915750002601,560.49987498212,-0.578716347150272,-0.415349241506808,58.4239482981613,88.1703836664513,0.189663847744993,0.356415986100216,10,10,0,0,8,8,8,9,0,0,1,0.888888888888889,10,10,0,0,7,9,8,9,0,0,0.875,1,8,8,27.5841249795187,0.163367105643464,nl,sofa,bed,bank,bed,bankbed
bediende,606.932315805697,610.54169996429,-0.120371906207568,-0.281366872637004,50.1558324500778,87.0238401080419,0.210972884204071,0.233654178540528,20,10,0,0,19,10,20,10,0,0,0.95,1,20,10,0,0,20,10,20,10,0,0,1,1,19,10,3.60938415859255,-0.160994966429436,nl,slave,servant,slaaf,bediende,slaafbediende
bedrijf,492.54280000479,530.476300003912,-0.659499741327858,-0.376593625649078,23.4839174225755,33.1364879253263,0.10176821865405,0.146904890165599,16,12,1,0,15,10,15,11,0,0,1,0.909090909090909,16,12,1,0,14,11,15,11,0,0,0.933333333333333,1,15,10,37.9334999991223,0.28290611567878,nl,industry,business,industrie,bedrijf,industriebedrijf
begraafplaats,526.326384662133,541.819130409246,-0.43941130173398,-0.254844537658416,16.8290880075818,19.555897386135,0.0894115619215887,0.11879190569439,13,23,0,0,13,23,13,23,0,0,1,1,13,23,0,0,13,23,13,23,0,0,1,1,13,23,15.4927457471122,0.184566764075564,nl,grave,cemetery,graf,begraafplaats,grafbegraafplaats
begrafenis,522.800809536843,651.399555526425,-0.504179857195758,-0.160017161110421,26.8502538400662,68.490795759461,0.135679046991365,0.237761602648285,21,10,0,0,21,9,21,9,0,0,1,1,21,10,0,0,17,8,21,9,0,0,0.80952380952381,0.888888888888889,21,9,128.598745989582,0.344162696085336,nl,coffin,funeral,kist,begrafenis,kistbegrafenis
begraven,518.918066647199,556.445370387038,-0.552511419096046,-0.375354274524123,28.6235134755609,24.679164949118,0.116119156916017,0.090717670998771,15,28,0,0,15,27,15,27,0,0,1,1,15,28,0,0,14,27,15,27,0,0,0.933333333333333,1,15,27,37.5273037398392,0.177157144571923,nl,dig,bury,graven,begraven,gravenbegraven
begrijpen,479.096833315426,674.48211111109,-0.72913089708572,-0.0904318626392966,34.0233555677852,113.456007915812,0.119333129283684,0.527722277874133,12,9,0,0,12,9,12,9,0,0,1,1,12,9,0,0,12,8,12,9,0,0,1,0.888888888888889,12,9,195.385277795664,0.638699034446423,nl,realize,understand,realiseren,begrijpen,realiserenbegrijpen
begroeten,652.629130431165,578.860545446789,-0.115730760662401,-0.405192964799575,72.8166477297019,47.485747965772,0.19541873015246,0.106130462485657,24,12,0,0,23,11,23,11,0,0,1,1,24,12,0,0,22,11,23,11,0,0,0.956521739130435,1,23,11,-73.7685849843754,-0.289462204137174,nl,congratulate,greet,feliciteren,begroeten,feliciterenbegroeten
behandeling,559.680999990534,613.199200061825,-0.257694075367668,-0.189348134228941,39.0085761358121,81.3834800747444,0.143971148101035,0.341592356595383,12,5,0,0,12,5,12,5,0,0,1,1,12,5,0,0,11,4,12,5,0,0,0.916666666666667,0.8,12,5,53.5182000712907,0.0683459411387268,nl,therapy,treatment,therapie,behandeling,therapiebehandeling
behoefte,474.67242858186,518.338900036947,-0.732865240889433,-0.538048726476175,36.1724787352892,21.1354096072267,0.119487419107336,0.121790632638881,15,10,0,0,14,10,15,10,0,0,0.933333333333333,1,15,10,0,0,14,10,15,10,0,0,0.933333333333333,1,14,10,43.6664714550876,0.194816514413258,nl,necessary,need,vereist,behoefte,vereistbehoefte
belang,571.471333326386,472.417499975702,-0.33378213581123,-0.701056364274964,37.0886749993046,33.3078269531854,0.16934096954347,0.0864414358244547,19,8,1,0,15,8,16,8,1,0,0.9375,1,19,8,1,0,16,6,16,8,1,0,1,0.75,15,8,-99.0538333506843,-0.367274228463734,nl,meaning,importance,betekenis,belang,betekenisbelang
belangrijk,516.73884617743,554.537176469315,-0.594683403565478,-0.520020747255928,40.3826763034854,35.2672360897994,0.166430697299729,0.0962056854600039,13,17,0,0,13,17,13,17,0,0,1,1,13,17,0,0,12,15,13,17,0,0,0.923076923076923,0.88235294117647,13,17,37.7983302918852,0.0746626563095498,nl,valuable,important,waardevol,belangrijk,waardevolbelangrijk
beledigen,591.265733373926,790.031428564249,-0.0869665551518781,0.217976345666801,42.7408170929002,257.00546473486,0.238446227765946,0.798509848906516,16,8,0,0,15,7,16,7,0,0,0.9375,1,16,8,0,0,15,7,16,7,0,0,0.9375,1,15,7,198.765695190323,0.304942900818679,nl,insult,offend,belediging,beledigen,beledigingbeledigen
belegger,590.235428606114,637.342000036447,-0.284076861878214,0.124142740090011,51.8489043331939,40.4382797769726,0.177417920474062,0.154570701547143,15,18,0,0,14,18,14,18,0,0,1,1,15,18,0,0,13,17,14,18,0,0,0.928571428571429,0.944444444444444,14,18,47.1065714303327,0.408219601968226,nl,banker,investor,bankier,belegger,bankierbelegger
belofte,510.387583348231,497.421950035344,-0.686748765314316,-0.510246991883806,42.9612934084043,16.4367782576799,0.128244172109565,0.135399680232002,12,20,0,1,12,20,12,20,0,0,1,1,12,20,0,1,12,20,12,20,0,0,1,1,12,20,-12.9656333128864,0.17650177343051,nl,guarantee,promise,garantie,belofte,garantiebelofte
