target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,ro_cue,ro_target,ro_word_combo,unrelated_ro_cue
alarma,582.035538461832,609.475083429344,-0.585489351822195,-0.513934933576865,19.6788405437799,23.8797762749281,0.0470242271488909,0.0746645071173649,52,50,0,0,52,48,52,48,0,0,1,1,52,50,0,0,51,46,52,48,0,0,0.980769230769231,0.958333333333333,52,48,27.4395449675123,0.0715544182453302,ro,alert,alarm,alerta,alarma,alertaalarma,ignoranţă
albastru,526.822000003378,574.584359998968,-0.7686042608653,-0.681206841338128,16.8324071772373,25.4075328940052,0.0391344699920148,0.0599429822883485,57,55,2,0,52,50,54,50,0,0,0.962962962962963,1,57,55,2,0,52,49,54,50,0,0,0.962962962962963,0.98,52,50,47.7623599955895,0.0873974195271727,ro,brown,blue,maro,albastru,maroalbastru,speranţă
alee,663.709339281917,712.022869562711,-0.307720073395175,-0.273372323916509,25.1189465283714,33.6783601153408,0.0841585916556115,0.082084059144169,64,57,5,4,56,46,59,53,1,2,0.949152542372881,0.867924528301887,65,57,4,4,58,52,60,53,0,2,0.966666666666667,0.981132075471698,56,46,48.3135302807942,0.0343477494786663,ro,corner,alley,colţ,alee,colţalee,crește
alegeri,615.774425546415,574.349234054331,-0.519698367661644,-0.582188723442653,23.7220723161007,17.4349205343414,0.0737081048007616,0.0588365225669583,51,51,1,0,47,47,47,48,1,0,1,0.979166666666667,51,51,1,0,47,46,47,48,1,0,1,0.958333333333333,47,47,-41.4251914920839,-0.0624903557810083,ro,campaign,election,campanie,alegeri,campaniealegeri,masă
alegător,649.046500071408,705.767543525762,-0.329131578753605,-0.268583144629708,39.9646644647258,50.3247776832612,0.116411187600697,0.1380182524895,50,50,0,0,46,46,47,46,0,0,0.978723404255319,1,50,50,0,0,45,46,47,46,0,0,0.957446808510638,1,46,46,56.7210434543541,0.0605484341238963,ro,candidate,voter,candidat,alegător,candidatalegător,comandă
alfa,775.704122814586,726.4054000172,-0.069214178483451,-0.0425283701253152,32.6884176705152,53.6366195669996,0.108642350259239,0.163763477490261,68,53,6,1,57,45,62,50,3,0,0.919354838709677,0.9,68,53,6,1,61,48,62,50,3,0,0.983870967741935,0.96,57,45,-49.2987227973863,0.0266858083581359,ro,bravo,alpha,bravo,alfa,bravoalfa,industrie
alibi,854.449113207752,901.695205845349,0.372861280445636,0.705004078886547,39.2284504683811,50.3542158300439,0.140251536410813,0.200875969901641,68,52,5,1,53,34,64,50,0,1,0.828125,0.68,68,52,5,1,64,47,64,50,0,1,1,0.94,53,34,47.2460926375975,0.332142798440911,ro,motive,alibi,motiv,alibi,motivalibi,conservare
alteță,723.416522731788,795.954372092321,-0.106252027517334,0.192922780854558,42.5483539251549,48.8751428268136,0.143205442288113,0.151441913112091,51,51,1,0,44,43,45,49,0,0,0.977777777777778,0.877551020408163,51,51,1,0,45,48,45,49,0,0,1,0.979591836734694,44,43,72.5378493605323,0.299174808371892,ro,majesty,highness,majestate,alteță,majestatealteță,cărbune
america,581.943666686432,731.895033890642,-0.63738277340301,-0.29033964862606,28.6804873746279,43.1919244841132,0.0848866010539399,0.115208157960996,55,71,2,1,51,59,52,61,0,1,0.980769230769231,0.967213114754098,55,70,2,2,52,53,52,61,0,1,1,0.868852459016393,51,59,149.951367204209,0.34704312477695,ro,africa,america,africa,america,africaamerica,ancoră
amestec,617.537615359019,606.905045448636,-0.548574026899859,-0.47203259025874,23.519884183091,17.330182918335,0.0491552818143998,0.0714804864972196,60,51,1,0,52,44,53,45,0,0,0.981132075471698,0.977777777777778,60,51,1,0,53,44,53,45,0,0,1,0.977777777777778,52,44,-10.6325699103824,0.0765414366411181,ro,combination,mixture,combinaţie,amestec,combinaţieamestec,noiembrie
amiază,608.562436353786,737.779274511105,-0.602825776467823,-0.311056071302102,25.8297619607379,50.3120573901535,0.0690937514254547,0.13162678730121,57,54,3,3,55,51,55,51,1,0,1,1,58,53,2,4,53,50,55,51,1,0,0.963636363636364,0.980392156862745,55,51,129.216838157319,0.291769705165721,ro,midnight,noon,miezul nopţii,amiază,miezul nopţiiamiază,spion
amintește,733.829187478228,715.917952387929,-0.225973304015515,-0.177487982802439,42.7063644221049,39.451411807302,0.0976200322942212,0.0962118800002209,57,50,3,0,48,42,50,46,1,0,0.96,0.91304347826087,57,50,3,0,48,45,50,46,1,0,0.96,0.978260869565217,48,42,-17.9112350902993,0.0484853212130752,ro,forget,remember,uită,amintește,uităamintește,urgent
amprentă,861.487822221988,657.053500000058,0.365056582990003,-0.221940761649522,65.2234565524486,21.1601020525782,0.207129256984809,0.0686795034457113,50,54,1,0,45,48,48,49,0,0,0.9375,0.979591836734694,50,54,1,0,16,47,48,49,0,0,0.333333333333333,0.959183673469388,45,48,-204.43432222193,-0.586997344639525,ro,dna,fingerprint,adn,amprentă,adnamprentă,ce
amuzant,657.021020018364,588.476301889684,-0.502013088736642,-0.593160240647805,48.1281648106799,21.0956513103374,0.105056301047097,0.0668560335251552,54,56,0,1,50,53,50,53,0,0,1,1,54,56,0,1,47,53,50,53,0,0,0.94,1,50,53,-68.5447181286803,-0.0911471519111631,ro,witty,funny,isteț,amuzant,istețamuzant,cer
analiză,586.464326963477,608.827619993087,-0.629749329222832,-0.53353543220669,25.4099849061982,30.482943279468,0.0706034113983458,0.0664909256512626,54,51,1,0,52,50,52,50,0,0,1,1,54,51,1,0,51,42,52,50,0,0,0.980769230769231,0.84,52,50,22.3632930296093,0.0962138970161412,ro,autopsy,analysis,autopsie,analiză,autopsieanaliză,scut
animal,550.944632661477,602.504408144523,-0.681658584399776,-0.515193306802861,24.5750809366035,39.4223105968096,0.0640728368521525,0.10818374028958,52,51,1,0,49,49,50,50,0,0,0.98,0.98,53,51,0,0,45,49,50,50,0,0,0.9,0.98,49,49,51.5597754830467,0.166465277596915,ro,beast,animal,fiară,animal,fiarăanimal,felicitare
anticipa,604.542278646303,741.504333326114,-0.362978418569468,-0.098957132332995,20.965361931487,43.194205243925,0.0868746156063229,0.120364338308489,64,52,2,1,61,42,61,46,2,0,1,0.91304347826087,65,52,1,1,62,42,62,46,1,0,1,0.91304347826087,61,42,136.962054679811,0.264021286236473,ro,wait,expect,aștepta,anticipa,așteptaanticipa,rază
antreprenor,728.018870370017,760.296173058865,-0.0931764576958195,-0.0120318813449851,32.3341437831622,35.0012255675213,0.104648226555214,0.0945710766847159,61,55,3,3,54,52,54,54,0,1,1,0.962962962962963,61,55,3,3,54,53,54,54,0,1,1,0.981481481481482,54,52,32.2773026888478,0.0811445763508343,ro,millionaire,entrepreneur,milionar,antreprenor,milionarantreprenor,spânzurare
