target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,zh_hk_cue,zh_hk_target,zh_hk_word_combo
調查,508.182333333825,530.500833330198,-0.579369828535477,-0.546312435555551,26.9947187993622,61.4290457010541,0.128925206630795,0.178863899488954,13,16,2,0,9,12,9,13,0,0,1,0.923076923076923,14,16,1,0,9,12,9,13,0,0,1,0.923076923076923,9,12,22.3184999963731,0.033057392979926,zh_hk,examine,investigate,檢驗,調查,檢驗調查
請求,619.479083341105,516.875941180473,-0.37911247660648,-0.748432637507867,60.0338556245937,17.448891865543,0.212502275175168,0.087409465357319,13,20,2,1,12,17,12,17,0,0,1,1,13,20,2,1,11,17,12,17,0,0,0.916666666666667,1,12,17,-102.603142160632,-0.369320160901387,zh_hk,demand,request,命令,請求,命令請求
諷刺,545.74983333433,651.426000005986,-0.56154917152917,-0.162063128059286,28.8861781300244,43.4954123724936,0.127551872709393,0.176484642829129,17,29,1,1,12,21,12,22,0,0,1,0.954545454545455,17,28,1,2,11,21,12,22,0,0,0.916666666666667,0.954545454545455,12,21,105.676166671657,0.399486043469885,zh_hk,irony,ironic,反話,諷刺,反話諷刺
謀殺,553.582545444517,645.838384622628,-0.381237761166367,-0.286503463053848,26.7082533620025,43.3439602967617,0.194410023139425,0.143689629270762,12,17,0,0,11,13,11,13,0,0,1,1,12,17,0,0,9,12,11,13,0,0,0.818181818181818,0.923076923076923,11,13,92.2558391781101,0.0947342981125187,zh_hk,suicide,murder,自殺,謀殺,自殺謀殺
謙虛,572.298105271706,659.354692306694,-0.508075726286413,-0.228815441843961,43.2367385917603,150.723407914345,0.135552821116049,0.326219504245245,22,15,0,1,19,13,19,13,0,0,1,1,22,15,0,1,18,13,19,13,0,0,0.947368421052632,1,19,13,87.0565870349875,0.279260284442453,zh_hk,humble,modest,卑微,謙虛,卑微謙虛
講道,780.817400007508,543.84300001393,0.116138637115958,-0.61143552561457,99.4194914125223,150.906130498163,0.28232724164168,0.250079997500877,21,8,1,0,15,3,19,8,0,0,0.789473684210526,0.375,21,8,1,0,17,5,19,8,0,0,0.894736842105263,0.625,15,3,-236.974399993579,-0.727574162730528,zh_hk,speech,sermon,演說,講道,演說講道
證明,513.592888879334,533.665538458109,-0.680044912673109,-0.651508970896594,27.1621081347588,42.4127844745946,0.155129647877115,0.128733927353398,9,19,2,2,9,13,9,13,0,1,1,1,9,19,2,2,9,13,9,13,0,1,1,1,9,13,20.0726495787746,0.0285359417765151,zh_hk,evidence,proof,證據,證明,證據證明
警報,700.20209998829,552.872999999512,-0.0318131863988151,-0.46363758065757,156.94351935582,36.039434893116,0.462621051281693,0.10123351865856,11,13,3,0,10,12,10,13,0,0,1,0.923076923076923,10,13,4,0,9,13,9,13,1,0,1,1,10,12,-147.329099988778,-0.431824394258755,zh_hk,alert,alarm,警覺,警報,警覺警報
護照,703.229583342834,623.013461534359,-0.0835964259492168,-0.387063770336477,117.262412249311,83.8242016731577,0.34906299840127,0.194122636243066,18,15,0,0,12,13,13,13,0,0,0.923076923076923,1,17,15,1,0,12,12,12,13,1,0,1,0.923076923076923,12,13,-80.2161218084742,-0.30346734438726,zh_hk,ticket,passport,機票,護照,機票護照
象徵,591.781777774781,614.014923074229,-0.30779539953871,-0.308511469875422,40.7963708258388,36.925955013791,0.171461722243349,0.168842890225761,26,14,0,1,18,13,21,13,0,0,0.857142857142857,1,25,14,1,1,17,13,20,13,1,0,0.85,1,18,13,22.233145299448,-0.000716070336712282,zh_hk,flag,symbol,旗幟,象徵,旗幟象徵
