target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,sr_cue,sr_target,sr_word_combo,unrelated_sr_cue
агенција,689.998612236912,783.617116276663,-0.525714448219448,-0.369883571194849,26.8131334632245,49.7777210898251,0.0657781383411134,0.0904360969088835,53,50,1,2,49,43,50,44,0,0,0.98,0.977272727272727,53,49,1,3,49,40,50,43,0,1,0.98,0.930232558139535,49,43,93.6185040397506,0.155830877024599,sr,firm,agency,фирма,агенција,фирмаагенција,најам
административни,1181.77154545386,1287.75557777502,0.850243724256357,1.1969420241666,66.2455373963343,75.6645148746095,0.149024952230201,0.198047175577344,50,52,0,4,44,45,49,49,0,0,0.897959183673469,0.918367346938776,50,52,0,4,47,47,49,49,0,0,0.959183673469388,0.959183673469388,44,45,105.984032321156,0.346698299910239,sr,management,administrative,управљање,административни,управљањеадминистративни,завера
адреналин,755.578611104542,808.068754700807,-0.288273419022055,-0.243390568270145,48.8331194063024,58.4389988405049,0.0833855866055088,0.122674405878719,59,57,2,0,54,53,56,55,1,0,0.964285714285714,0.963636363636364,60,56,1,1,53,53,57,54,0,1,0.929824561403509,0.981481481481482,54,53,52.4901435962645,0.0448828507519101,sr,hormone,adrenaline,хормон,адреналин,хормонадреналин,храна
адреса,652.383958314269,668.71229411839,-0.648149916702541,-0.715509379781037,22.247506890389,30.1093631324537,0.0760377595055948,0.0670517949635255,52,53,0,3,48,51,48,51,0,2,1,1,52,54,0,2,48,51,48,52,0,1,1,0.980769230769231,48,51,16.3283358041211,-0.0673594630784959,sr,number,address,број,адреса,бројадреса,припрема
аеродром,727.444877553691,664.889196072407,-0.431283394923929,-0.558374040184964,47.9871660534501,23.9377238150801,0.125547139833263,0.0495889174981421,50,53,0,2,49,51,49,51,0,1,1,1,49,54,1,1,45,50,48,52,1,0,0.9375,0.961538461538462,49,51,-62.5556814812842,-0.127090645261035,sr,terminal,airport,терминал,аеродром,терминалаеродром,анонимни
активирати,1019.7223829712,1056.88911539659,0.356831601384511,0.44737082461024,64.3134568526127,65.4845062050694,0.124204476531723,0.155018278442693,51,56,1,1,47,52,49,54,0,0,0.959183673469388,0.962962962962963,51,56,1,1,47,54,49,54,0,0,0.959183673469388,1,47,52,37.1667324253896,0.0905392232257289,sr,trigger,activate,окидач,активирати,окидачактивирати,буквално
активност,757.847040827167,741.617428555221,-0.362080214899631,-0.399490500917549,38.720210134371,45.8230142502744,0.0864242965125855,0.102055677697806,53,51,3,1,49,49,50,49,1,0,0.98,1,53,51,3,1,50,49,50,49,1,0,1,1,49,49,-16.2296122719462,-0.0374102860179171,sr,active,activity,активан,активност,активанактивност,место
акценат,749.84221275341,739.48941303825,-0.390829962269939,-0.497781805055853,38.6486290764214,46.3361621735243,0.0967815622300456,0.0805969431674844,53,54,2,1,47,46,47,49,0,0,1,0.938775510204082,52,54,3,1,45,47,46,49,1,0,0.978260869565217,0.959183673469388,47,46,-10.352799715161,-0.106951842785915,sr,voice,accent,глас,акценат,гласакценат,задатак
аларм,638.390534872541,674.430226402449,-0.727693805763369,-0.658237874680403,23.9241160511206,36.8504048662713,0.0572619794453238,0.0936211545634151,50,59,0,0,43,53,43,54,0,0,1,0.981481481481482,49,59,1,0,43,53,43,54,0,0,1,0.981481481481482,43,53,36.0396915299085,0.0694559310829658,sr,alert,alarm,узбуна,аларм,узбунааларм,галерија
алиби,884.979829794174,921.998025638666,-0.0878665831349168,-0.0202420649849849,54.7363622362274,45.9723481149332,0.109630837106709,0.103032249148546,54,50,4,0,47,40,50,47,1,0,0.94,0.851063829787234,54,50,4,0,50,45,50,47,1,0,1,0.957446808510638,47,39,37.0181958444923,0.0676245181499319,sr,motive,alibi,мотив,алиби,мотивалиби,планета
алфа,778.07678430865,705.021568624884,-0.13730351164809,-0.446389485401947,40.2883243281192,36.4238015836331,0.109902331623381,0.0934051043910611,55,54,0,1,51,51,52,51,0,0,0.980769230769231,1,55,54,0,1,49,49,52,51,0,0,0.942307692307692,0.96078431372549,51,51,-73.0552156837665,-0.309085973753857,sr,bravo,alpha,браво,алфа,бравоалфа,одред
америка,594.949446805591,696.4761190317,-0.77876913363695,-0.402882340649017,22.6454886936668,50.0979951627155,0.0468410805357181,0.173771738500846,51,51,2,1,47,42,48,43,1,0,0.979166666666667,0.976744186046512,51,50,2,2,47,42,48,42,1,1,0.979166666666667,1,47,42,101.526672226109,0.375886792987932,sr,africa,america,африка,америка,африкаамерика,пролеће
анализа,661.772999988126,701.461043482514,-0.643397734618753,-0.53861302628195,29.0637834154674,34.8640457955668,0.0769675715139797,0.0762220187205356,50,51,1,1,47,46,49,46,0,1,0.959183673469388,1,50,52,1,0,47,42,49,47,0,0,0.959183673469388,0.893617021276596,47,46,39.6880434943886,0.104784708336803,sr,autopsy,analysis,обдукција,анализа,обдукцијаанализа,банкарски
апсурдан,915.212478264043,967.335124990308,0.157987526736355,0.244188831915276,36.1588436181486,45.6805638631534,0.105264406024577,0.128994361965039,52,51,0,1,46,40,49,47,0,0,0.938775510204082,0.851063829787234,52,52,0,0,48,43,49,47,0,0,0.979591836734694,0.914893617021277,46,40,52.1226467262657,0.0862013051789208,sr,ridiculous,absurd,смешан,апсурдан,смешанапсурдан,одељак
ароганција,1063.77115909867,1020.12582608263,0.546788300953939,0.442963957126646,74.6295500683758,51.3359663043122,0.165987430614662,0.104398150039106,53,51,0,1,44,46,49,51,0,1,0.897959183673469,0.901960784313726,53,51,0,1,46,50,49,51,0,1,0.938775510204082,0.980392156862745,44,46,-43.6453330160459,-0.103824343827292,sr,ignorance,arrogance,незнање,ароганција,незнањеароганција,стрес
артерија,848.69985712236,836.74886364604,-0.254216678298095,0.0564559897696692,51.2361994668954,34.5569471804238,0.10644928916491,0.0769262745075502,50,52,1,2,42,44,44,49,0,1,0.954545454545455,0.897959183673469,50,52,1,2,40,49,44,49,0,1,0.909090909090909,1,42,44,-11.9509934763195,0.310672668067764,sr,vein,artery,вена,артерија,венаартерија,казнити
артиљерија,948.083581431433,1010.33455102795,0.266553788307374,0.439885199661621,65.4877507348772,60.2349901339236,0.151209071172918,0.140364778942395,50,53,3,4,43,49,48,52,2,3,0.895833333333333,0.942307692307692,52,54,1,3,46,41,50,53,0,2,0.92,0.773584905660377,43,49,62.2509695965143,0.173331411354247,sr,cavalry,artillery,коњица,артиљерија,коњицаартиљерија,противотров
архитекта,893.477584895493,928.016488889874,-0.0484922269910215,0.0929426112795807,66.4869053176135,49.1708948521698,0.143335864910355,0.0947037025786392,54,52,0,2,53,45,53,50,0,0,1,0.9,54,52,0,2,53,50,53,50,0,0,1,1,53,45,34.5389039943813,0.141434838270602,sr,engineer,architect,инжењер,архитекта,инжењерархитекта,понудити
атентатор,1049.44491110264,1127.33514999306,0.376977657824336,0.642247776834769,76.010389762378,62.4471942791716,0.181534861991246,0.134660723742337,51,51,0,0,45,40,47,47,0,0,0.957446808510638,0.851063829787234,51,51,0,0,47,47,47,47,0,0,1,1,45,40,77.8902388904194,0.265270119010433,sr,mercenary,assassin,плаћени убица,атентатор,плаћени убицаатентатор,септембар
атлантик,646.536347819787,1073.46717777262,-0.50284538540092,0.358787814769459,16.1648008906371,62.3707041648432,0.0473932002708369,0.109654814134224,50,50,0,1,46,45,47,47,0,0,0.978723404255319,0.957446808510638,50,50,0,1,45,46,47,47,0,0,0.957446808510638,0.978723404255319,46,45,426.93082995283,0.86163320017038,sr,pacific,atlantic,пацифик,атлантик,пацификатлантик,позната личност
атмосфера,744.981106377531,774.661520839413,-0.484352879485211,-0.410684625852087,34.9842383217674,58.5976221707345,0.0807540537021497,0.0987656299337702,52,53,1,1,47,48,47,50,0,1,1,0.96,52,53,1,1,47,47,47,50,0,1,1,0.94,47,48,29.6804144618818,0.073668253633124,sr,environment,atmosphere,животна средина,атмосфера,животна срединаатмосфера,славан
аутобус,548.767490178343,648.794359986634,-0.890339525863267,-0.726253153063446,16.3920442393475,39.0519665659564,0.0397234722373104,0.0752168261583433,51,52,1,1,51,50,51,50,0,0,1,1,51,52,1,1,50,49,51,50,0,0,0.980392156862745,0.98,51,50,100.02686980829,0.164086372799821,sr,train,bus,воз,аутобус,возаутобус,голф
аутомобил,616.207395851501,709.338939991993,-0.722932066895383,-0.519515660929902,28.6627527989005,27.8168114799228,0.0512400643467933,0.0621690252260798,50,54,0,0,48,50,48,50,0,0,1,1,50,54,0,0,47,43,48,50,0,0,0.979166666666667,0.86,48,50,93.1315441404921,0.203416405965481,sr,vehicle,car,возило,аутомобил,возилоаутомобил,камп
аутопут,727.442044442882,776.761259986313,-0.537914363706489,-0.29728168344415,56.3992557380942,51.7042229807495,0.099366604526389,0.126079316035808,52,54,2,0,45,50,46,50,1,0,0.978260869565217,1,52,54,2,0,45,45,46,50,1,0,0.978260869565217,0.9,45,50,49.3192155434311,0.240632680262339,sr,road,highway,пут,аутопут,путаутопут,сукоб
баба,556.363100015776,694.89395553946,-0.937287484886918,-0.585804873705476,31.629690806041,43.0419833728435,0.129620452256906,0.102739381524575,56,50,1,1,51,45,51,46,0,0,1,0.978260869565217,56,49,1,2,50,44,51,45,0,1,0.980392156862745,0.977777777777778,50,45,138.530855523685,0.351482611181442,sr,grandfather,grandmother,деда,баба,дедабаба,несрећан
бар,563.426377356459,661.988395825502,-0.925208923609095,-0.596317226083582,24.0215574337814,44.7690572631523,0.0843370162800572,0.128138135283241,57,53,0,1,53,48,53,48,0,0,1,1,57,53,0,1,52,43,53,48,0,0,0.981132075471698,0.895833333333333,53,48,98.5620184690429,0.328891697525513,sr,club,bar,клуб,бар,клуббар,монах
батаљон,808.920891295564,787.773414606435,-0.30362045747314,-0.224836304125124,59.7894565643085,47.8464746968593,0.129769795236596,0.12143048598066,52,54,1,2,46,42,50,52,1,0,0.92,0.807692307692308,53,54,0,2,46,51,51,52,0,0,0.901960784313726,0.980769230769231,46,41,-21.1474766891286,0.078784153348016,sr,regiment,battalion,одред,батаљон,одредбатаљон,заправо
бегунац,723.953212759763,758.327127660074,-0.434479108034968,-0.238147849049592,35.0516626485223,42.2752563004401,0.0748306108525985,0.0901178414118891,50,51,1,1,47,47,47,47,0,0,1,1,50,51,1,1,45,45,47,47,0,0,0.957446808510638,0.957446808510638,47,47,34.3739149003102,0.196331258985376,sr,refugee,fugitive,избеглица,бегунац,избеглицабегунац,пити
беда,660.050083324911,766.080180032453,-0.711857009440555,-0.324977426108721,25.4402700776556,41.2745827699798,0.077205459619582,0.109707752867768,51,52,3,0,48,50,49,50,1,0,0.979591836734694,1,51,52,3,0,49,50,49,50,1,0,1,1,48,50,106.030096707542,0.386879583331834,sr,poverty,misery,сиромаштво,беда,сиромаштвобеда,црква
безбедан,637.380749983688,770.038061229019,-0.699217619461181,-0.481247078690728,36.2273402978848,40.4564180053244,0.0719888427175326,0.0888146869484618,50,50,0,2,48,49,48,49,0,1,1,1,50,51,0,1,47,47,48,50,0,0,0.979166666666667,0.94,48,49,132.657311245331,0.217970540770453,sr,safe,secure,сигуран,безбедан,сигуранбезбедан,мотив
безвредан,789.699695674327,894.697640004597,-0.270417866987792,-0.010693895193905,34.3239348263728,55.769586326159,0.0806411347744596,0.100096623745891,50,51,3,2,46,50,47,50,2,1,0.978723404255319,1,52,51,1,2,48,49,49,50,0,1,0.979591836734694,0.98,46,50,104.997944330269,0.259723971793887,sr,useless,worthless,бескористан,безвредан,бескористанбезвредан,продавница
бенд,618.658155600738,660.291999970708,-0.68382331836612,-0.627665404385271,19.2765093609285,25.1488081541961,0.0606385669762339,0.0687188529541658,50,52,1,1,45,49,45,50,0,1,1,0.98,50,52,1,1,45,43,45,50,0,1,1,0.86,45,49,41.6338443699707,0.0561579139808497,sr,orchestra,band,оркестар,бенд,оркестарбенд,плесач
бес,581.007488379009,680.211160030856,-0.857639431556609,-0.532161481801062,18.9568778715865,53.4906471770857,0.062061080003961,0.167410834982172,50,52,0,2,44,50,46,50,0,1,0.956521739130435,1,50,52,0,2,43,49,46,50,0,1,0.934782608695652,0.98,43,50,99.2036716518469,0.325477949755547,sr,anger,rage,љутња,бес,љутњабес,оглашавање
бесплатно,668.710625008079,726.709519996072,-0.531292688513383,-0.481996683077612,28.9785235623057,27.9174227234542,0.0787201271477191,0.0626714816360611,51,53,2,2,48,50,48,51,1,0,1,0.980392156862745,51,53,2,2,48,49,48,51,1,0,1,0.96078431372549,48,50,57.9988949879927,0.0492960054357705,sr,freely,free,слободно,бесплатно,слободнобесплатно,веверица
бетмен,713.860957464151,910.273428563339,-0.525974450189223,0.111400500193779,49.8870766263938,67.6306827340131,0.11926252035137,0.160539952891127,51,51,0,2,47,42,48,47,0,0,0.979166666666667,0.893617021276596,51,52,0,1,45,35,48,47,0,0,0.9375,0.74468085106383,47,42,196.412471099188,0.637374950383002,sr,superman,batman,супермен,бетмен,суперменбетмен,учтив
бејзбол,716.624399991774,839.879938788618,-0.419652565112206,-0.0727422833983235,38.3783918612385,57.0622314483851,0.103334133239291,0.178080218624626,52,51,2,0,50,49,51,49,1,0,0.980392156862745,1,52,50,2,1,50,48,51,49,1,0,0.980392156862745,0.979591836734694,50,49,123.255538796845,0.346910281713883,sr,stadium,baseball,стадион,бејзбол,стадионбејзбол,снага
бизнис,676.715708320714,673.972244454516,-0.632143305020935,-0.536325103029435,25.7913168905296,39.7975991595938,0.064020260658143,0.0923411155120232,51,51,1,3,48,46,48,46,0,1,1,1,51,52,1,2,47,46,48,47,0,0,0.979166666666667,0.978723404255319,48,45,-2.74346386619777,0.0958182019915,sr,industry,business,индустрија,бизнис,индустријабизнис,плажа
биологија,733.730540009354,827.070755126394,-0.511986104575368,-0.280129142421444,51.924675161967,48.9948145285007,0.11557520978216,0.0994444908321216,54,52,2,3,50,49,51,49,1,0,0.980392156862745,1,54,53,2,2,50,45,51,49,1,0,0.980392156862745,0.918367346938776,50,49,93.3402151170396,0.231856962153924,sr,chemistry,biology,хемија,биологија,хемијабиологија,тих
