target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,hu_cue,hu_target,hu_word_combo
abszurd,662.74279167026,707.366765974853,-0.0357730320794184,0.0869416050143149,31.7747666142095,16.5653098063274,0.143976111282641,0.0695893403514893,61,54,0,0,48,47,55,49,0,0,0.872727272727273,0.959183673469388,59,54,2,0,51,45,54,49,1,0,0.944444444444444,0.918367346938776,48,47,44.6239743045932,0.122714637093733,hu,ridiculous,absurd,nevetséges,abszurd,nevetségesabszurd
acél,597.326740000188,577.914666675571,-0.31127086730333,-0.382760121090036,26.3273843230554,19.3960829198907,0.0851837559286812,0.0650693055363674,57,59,3,1,50,52,52,53,2,1,0.961538461538462,0.981132075471698,57,59,3,1,49,51,52,53,2,1,0.942307692307692,0.962264150943396,50,51,-19.4120733246166,-0.0714892537867061,hu,concrete,steel,konkrét,acél,konkrétacél
adni,625.424243908084,611.624533333367,-0.217256722947311,-0.113959620471546,27.4574705603985,18.7885837415259,0.0891833172680852,0.0702911430406745,54,59,1,0,41,45,47,50,0,0,0.872340425531915,0.9,54,59,1,0,47,47,47,50,0,0,1,0.94,41,45,-13.7997105747177,0.103297102475764,hu,offer,give,ajánlat,adni,ajánlatadni
adomány,581.848632664723,635.041978710822,-0.501381198719765,-0.309958520925808,20.4834451581927,26.2482126068196,0.0758693612839499,0.0752260269293287,53,53,0,0,50,47,50,48,0,0,1,0.979166666666667,53,53,0,0,49,46,50,48,0,0,0.98,0.958333333333333,49,47,53.1933460460994,0.191422677793957,hu,charity,donation,jótékonyság,adomány,jótékonyságadomány
adrenalin,723.570021276898,775.731260879587,0.222028785195896,0.341243219270612,33.4206907304439,31.4767636199134,0.110763464736258,0.0897255225544243,53,58,0,2,47,47,49,55,0,1,0.959183673469388,0.854545454545454,53,58,0,2,42,52,49,54,0,2,0.857142857142857,0.962962962962963,47,46,52.1612396026884,0.119214434074716,hu,hormone,adrenaline,hormon,adrenalin,hormonadrenalin
adó,542.087630449627,556.851111114354,-0.503478265897357,-0.513227319278124,15.6366522635092,19.8703625418034,0.0714873763410054,0.0652859156566541,55,61,0,1,46,54,50,54,0,1,0.92,1,55,61,0,1,49,51,50,54,0,1,0.98,0.944444444444444,46,54,14.7634806647269,-0.00974905338076737,hu,sensor,transmitter,érzékelő,adó,érzékelőadó
aggodalom,638.747720924052,681.517395832243,-0.135215643252296,0.0467154535215171,26.6267804301695,32.6553860293952,0.0996686916207388,0.0945496177889801,53,58,1,2,43,49,43,51,0,0,1,0.96078431372549,53,58,1,2,43,48,43,51,0,0,1,0.941176470588235,43,48,42.7696749081917,0.181931096773813,hu,concern,worry,gond,aggodalom,gondaggodalom
agyi-,929.854054049524,869.999371450265,1.14838470935622,0.982148759320461,67.1140361772855,58.7132245006012,0.231961180754343,0.279918912583927,58,60,1,2,37,35,54,57,0,2,0.685185185185185,0.614035087719298,58,62,1,0,47,54,54,59,0,0,0.87037037037037,0.915254237288136,37,35,-59.854682599259,-0.166235950035763,hu,brain,cerebral,agy,agyi-,agyagyi-
ajtó,532.379916655355,574.413000000959,-0.624877093297406,-0.282324977798641,21.2385827094171,25.7228891147785,0.0730752566421282,0.130484683008131,69,53,2,0,60,42,62,44,0,0,0.967741935483871,0.954545454545455,69,53,2,0,57,40,62,44,0,0,0.919354838709677,0.909090909090909,60,42,42.0330833456043,0.342552115498765,hu,window,door,ablak,ajtó,ablakajtó
ajándék,626.294695633319,553.590468069771,-0.274885877980652,-0.463332631244198,41.6130658183846,22.7007942762317,0.145896398857122,0.077979118837714,54,54,0,1,46,48,47,48,0,0,0.978723404255319,1,54,54,0,1,44,40,47,48,0,0,0.936170212765957,0.833333333333333,46,47,-72.704227563548,-0.188446753263545,hu,compliment,gift,bók,ajándék,bókajándék
aktiválja,781.027843136364,891.492679264666,0.34252471323179,0.876643182664295,42.154534521042,55.795867867291,0.132975389436937,0.216052579365369,59,61,2,1,51,53,53,55,1,1,0.962264150943396,0.963636363636364,59,62,2,0,51,46,53,56,1,0,0.962264150943396,0.821428571428571,51,53,110.464836128302,0.534118469432505,hu,trigger,activate,elindít,aktiválja,elindítaktiválja
alagút,578.852410716826,627.453539999591,-0.487103756985706,-0.271434926165317,20.1931552476932,22.42852275413,0.0675294423539312,0.0760874454099428,66,57,1,1,56,50,57,50,0,0,0.982456140350877,1,66,57,1,1,53,48,57,50,0,0,0.929824561403509,0.96,56,50,48.6011292827652,0.21566883082039,hu,bridge,tunnel,híd,alagút,hídalagút
alfa,772.005978264752,635.778523817284,0.365837932435417,-0.241891281921147,33.6539910910733,22.5272636357896,0.125362102069079,0.0920247046637215,65,55,1,0,46,42,55,45,0,0,0.836363636363636,0.933333333333333,65,55,1,0,28,41,55,45,0,0,0.509090909090909,0.911111111111111,46,42,-136.227454447469,-0.607729214356565,hu,bravo,alpha,bravo,alfa,bravoalfa
alibi,745.595414648333,716.351620004868,0.236808039868626,0.336845757490672,21.7022588624791,16.6192002339114,0.100657013435044,0.0864614858372816,60,60,0,0,41,50,54,55,0,0,0.759259259259259,0.909090909090909,60,60,0,0,51,41,54,55,0,0,0.944444444444444,0.745454545454545,41,50,-29.2437946434649,0.100037717622046,hu,motive,alibi,indíték,alibi,indítékalibi
alkotmány,606.026363626,634.601941195249,-0.255703360817909,-0.251840563265222,19.9598093754064,29.9833815859902,0.0839705500597477,0.0729384021615977,62,55,2,0,55,51,55,51,2,0,1,1,62,55,2,0,51,50,55,51,2,0,0.927272727272727,0.980392156862745,55,51,28.5755775692493,0.00386279755268715,hu,law,constitution,törvény,alkotmány,törvényalkotmány
alsó,546.71174510532,579.948530613088,-0.636254481175067,-0.428868806045365,35.9353345186918,29.0075285698028,0.105694392114419,0.107932815560128,59,55,0,0,51,49,52,51,0,0,0.980769230769231,0.96078431372549,59,55,0,0,52,47,52,51,0,0,1,0.92156862745098,51,49,33.236785507768,0.207385675129702,hu,top,bottom,felső,alsó,felsőalsó
alvás,516.083723408424,555.702055559922,-0.67704313172673,-0.500609076697862,15.68585966919,18.6766677823153,0.0526073478889511,0.0716727464817263,56,56,1,0,47,54,47,54,0,0,1,1,56,56,1,0,47,50,47,54,0,0,1,0.925925925925926,47,54,39.6183321514976,0.176434055028868,hu,rest,sleep,pihenés,alvás,pihenésalvás
aláírás,651.5292884663,579.69149057237,-0.153157639356115,-0.415461945277606,33.3814942912427,23.7218654038076,0.107943511720612,0.0799181039864759,56,58,1,0,52,53,52,53,1,0,1,1,56,58,1,0,51,52,52,53,1,0,0.980769230769231,0.981132075471698,52,53,-71.8377978939304,-0.262304305921491,hu,stamp,signature,bélyeg,aláírás,bélyegaláírás
amerika,546.199094343874,560.944698128261,-0.49393403239967,-0.471546255736187,19.9472152281635,19.8503153830017,0.088159991898856,0.0720855244778621,60,60,1,0,53,54,55,54,0,0,0.963636363636364,1,60,60,1,0,47,51,55,54,0,0,0.854545454545454,0.944444444444444,53,53,14.7456037843871,0.0223877766634825,hu,africa,america,afrika,amerika,afrikaamerika
apa,487.306038466518,554.547490881752,-0.819697100434848,-0.479567409957091,22.7117690341945,25.5616561527446,0.0943328588576946,0.0993270535148999,58,58,0,0,52,55,52,55,0,0,1,1,58,58,0,0,51,54,52,55,0,0,0.980769230769231,0.981818181818182,52,55,67.241452415234,0.340129690477757,hu,mother,father,anya,apa,anyaapa
apu,519.335038442528,556.573620699475,-0.595180185994046,-0.457809032983531,18.8226449015454,19.1977302448642,0.115178980406691,0.0842689806805252,59,61,0,1,52,58,54,58,0,0,0.962962962962963,1,59,61,0,1,52,58,54,58,0,0,0.962962962962963,1,52,58,37.2385822569461,0.137371153010515,hu,uncle,dad,nagybácsi,apu,nagybácsiapu
