target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,hu_cue,hu_target,hu_word_combo
aranyos,528.745844860081,580.4894081529,-0.637194553361541,-0.494188008412517,21.5962901101017,18.2382513720388,0.0666864110127917,0.0562874953101394,62,56,0,1,58,49,59,50,0,0,0.983050847457627,0.98,62,56,0,1,58,42,59,50,0,0,0.983050847457627,0.84,58,49,51.7435632928191,0.143006544949024,hu,sweet,cute,édes,aranyos,édesaranyos
arc,503.230285712596,550.882796266396,-0.681607411975353,-0.521040582162465,12.205002386499,29.0456888242748,0.0652441998128473,0.125425705013027,56,63,0,3,49,54,49,57,0,1,1,0.947368421052632,56,63,0,3,44,54,49,57,0,1,0.897959183673469,0.947368421052632,49,54,47.6525105538,0.160566829812889,hu,lip,cheek,ajak,arc,ajakarc
artéria,623.044938764467,755.698204546315,-0.187278609532802,0.40164232411783,23.1329194222752,37.0868214027111,0.0808943181962202,0.128028967161065,58,56,0,0,49,44,49,49,0,0,1,0.897959183673469,58,56,0,0,46,49,49,49,0,0,0.938775510204082,1,49,44,132.653265781847,0.588920933650632,hu,vein,artery,véna,artéria,vénaartéria
atlanti,808.85107500688,970.790971435308,0.807225125356486,1.21425736238059,47.1536159936725,59.9491301378169,0.197093271336512,0.223650618195983,59,61,2,1,40,35,56,56,1,1,0.714285714285714,0.625,60,61,1,1,56,56,57,56,0,1,0.982456140350877,1,40,35,161.939896428427,0.407032237024109,hu,pacific,atlantic,békés,atlanti,békésatlanti
autó,497.524160718406,547.315826918644,-0.707504381374095,-0.539807330874341,18.1004004345723,21.2993593935664,0.0756480112878915,0.0866946041681154,63,56,0,0,56,52,57,52,0,0,0.982456140350877,1,62,55,1,1,51,49,56,51,1,1,0.910714285714286,0.96078431372549,56,52,49.7916662002381,0.167697050499754,hu,vehicle,car,jármű,autó,járműautó
bajnokság,648.778068976977,683.013040030693,-0.216822420129219,-0.0856411076157266,45.7670082045123,34.849240820925,0.118382745928703,0.106215027511664,62,55,2,0,58,50,59,50,1,0,0.983050847457627,1,62,55,2,0,59,46,59,50,1,0,1,0.92,58,50,34.2349710537155,0.131181312513492,hu,competition,championship,verseny,bajnokság,versenybajnokság
bal,495.431918383283,569.771659582999,-0.829724994879768,-0.530291842587655,17.3016458177949,20.9991264474624,0.071813790122328,0.0821199194656025,58,55,0,2,50,47,52,50,0,0,0.961538461538462,0.94,58,55,0,2,50,46,52,50,0,0,0.961538461538462,0.92,49,47,74.3397411997155,0.299433152292113,hu,right,left,jobb,bal,jobbbal
baleset,535.532666665659,580.147333332232,-0.486168194129845,-0.461943326039383,15.530086004612,17.0154931529142,0.0820757965658073,0.0690196782647721,58,62,0,1,54,55,54,55,0,0,1,1,58,62,0,1,47,52,54,55,0,0,0.87037037037037,0.945454545454545,54,54,44.6146666665729,0.0242248680904623,hu,incident,accident,incidens,baleset,incidensbaleset
balszerencse,688.888096138173,757.775784307524,-0.0328181692823485,0.259997367325396,29.6457199675343,35.9000055246083,0.086250842530854,0.0920163371766447,59,60,0,1,52,51,53,51,0,1,0.981132075471698,1,59,60,0,1,53,48,53,51,0,1,1,0.941176470588235,52,51,68.8876881693507,0.292815536607745,hu,unfortunate,misfortune,szerencsétlen,balszerencse,szerencsétlenbalszerencse
barát,514.389519227728,543.497301888017,-0.694087183141452,-0.522096558046514,29.8752922510528,15.5838060111047,0.0913581182265106,0.0752760606886312,60,57,0,1,52,53,53,53,0,1,0.981132075471698,1,59,57,1,1,49,45,53,53,0,1,0.924528301886792,0.849056603773585,52,53,29.1077826602896,0.171990625094938,hu,colleague,friend,kolléga,barát,kollégabarát
barátság,530.650320756024,541.071940007879,-0.605812878571144,-0.493305217077258,18.8804894995942,20.6749659090715,0.0566883969739837,0.0798958675129712,58,57,1,1,54,50,54,50,1,1,1,1,58,57,1,1,54,50,54,50,1,1,1,1,53,50,10.4216192518546,0.112507661493886,hu,relationship,friendship,kapcsolat,barátság,kapcsolatbarátság
barátságos,684.317266684609,643.973530616614,-0.145469871299257,-0.137140377131391,48.3071772621458,34.6614433792482,0.132838382497218,0.115971353106818,51,55,2,0,45,49,46,50,1,0,0.978260869565217,0.98,51,55,2,0,46,44,46,50,1,0,1,0.88,45,49,-40.3437360679949,0.00832949416786588,hu,polite,friendly,udvarias,barátságos,udvariasbarátságos
baseball,762.458883726302,925.118749994859,0.459051323416706,0.904792546866642,38.4578933525482,68.4336337172537,0.143806578622211,0.233918246965298,57,58,1,0,43,52,50,55,0,0,0.86,0.945454545454545,56,58,2,0,38,52,49,55,1,0,0.775510204081633,0.945454545454545,43,52,162.659866268557,0.445741223449936,hu,stadium,baseball,stádium,baseball,stádiumbaseball
batman,681.408088900417,840.541545442363,0.0861148768716229,0.721463503252883,58.3342368728149,55.0964003729033,0.205349779333363,0.240666459819094,59,52,1,0,45,34,50,47,1,0,0.9,0.723404255319149,59,51,1,1,37,46,50,47,1,0,0.74,0.978723404255319,45,33,159.133456541947,0.63534862638126,hu,superman,batman,superman,batman,supermanbatman
bebörtönzés,889.816075481694,868.758211511199,0.802533396905577,0.665119934100494,38.5776129781638,45.877080480404,0.135799883622722,0.162892773589804,58,57,3,1,53,52,58,54,2,0,0.913793103448276,0.962962962962963,59,57,2,1,58,54,59,54,1,0,0.983050847457627,1,53,52,-21.0578639704944,-0.137413462805083,hu,penalty,imprisonment,büntetés,bebörtönzés,büntetésbebörtönzés
becsület,580.02209433561,622.197260859302,-0.509593736487285,-0.216238823527729,24.1891387878707,36.9009713136914,0.0710602665324825,0.141994836826918,59,55,2,0,53,46,54,46,1,0,0.981481481481482,1,59,55,2,0,52,43,54,46,1,0,0.962962962962963,0.934782608695652,53,46,42.1751665236925,0.293354912959556,hu,privilege,honor,kiváltság,becsület,kiváltságbecsület
becsületes,601.463106395889,660.321961546694,-0.304897607137299,-0.0274511809285996,29.3961155294305,36.3639741725857,0.111439051490412,0.122230172892397,55,56,1,0,47,52,48,53,0,0,0.979166666666667,0.981132075471698,55,55,1,1,47,51,48,52,0,1,0.979166666666667,0.980769230769231,47,52,58.8588551508047,0.2774464262087,hu,decent,honest,megfelelő,becsületes,megfelelőbecsületes
befejez,554.850509439982,614.902264151964,-0.465377392096809,-0.417550828325195,21.3694046426434,30.1826088946007,0.0620973778585999,0.0761365101941756,59,59,1,0,54,53,54,54,0,0,1,0.981481481481482,59,59,1,0,52,47,54,54,0,0,0.962962962962963,0.87037037037037,53,53,60.0517547119821,0.0478265637716133,hu,end,finish,vége,befejez,végebefejez
befektetés,686.798763633508,650.521148943527,-0.0190282731145732,-0.147861847058934,39.4122785114382,30.0579424652456,0.127172640761353,0.0879852211283141,59,53,0,0,55,47,55,47,0,0,1,1,59,53,0,0,55,42,55,47,0,0,1,0.893617021276596,55,47,-36.2776146899815,-0.12883357394436,hu,finance,invest,pénzügy,befektetés,pénzügybefektetés
befektető,676.242500009044,645.607672708685,-0.0459848823506368,-0.129071347121393,33.5339229555603,24.4062255037361,0.100739232749152,0.0788448560030261,55,61,3,0,50,55,52,56,1,0,0.961538461538462,0.982142857142857,55,61,3,0,44,54,52,56,1,0,0.846153846153846,0.964285714285714,50,55,-30.6348273003591,-0.083086464770756,hu,banker,investor,bankár,befektető,bankárbefektető
bejárat,516.095584895155,603.912666656023,-0.720911795129161,-0.394382993154303,18.3730337947963,39.2252251854236,0.0694668175090277,0.126463729885953,57,58,0,1,53,54,53,54,0,0,1,1,57,58,0,1,51,53,53,54,0,0,0.962264150943396,0.981481481481482,53,54,87.8170817608675,0.326528801974858,hu,exit,entrance,kijárat,bejárat,kijáratbejárat
bekezdés,663.277195665516,673.012306115149,-0.0859648822213507,-0.0427728396116786,34.405575124818,34.2391234519965,0.129824359023141,0.114450313987727,55,55,0,0,46,49,47,50,0,0,0.978723404255319,0.98,55,55,0,0,46,50,47,50,0,0,0.978723404255319,1,46,49,9.73511044963345,0.0431920426096721,hu,section,paragraph,szakasz,bekezdés,szakaszbekezdés
belül,546.247745123333,616.031916672195,-0.561768774809732,-0.364120689290267,15.3637088971455,32.1489700755527,0.0590077357854586,0.0945647531014862,57,54,0,0,51,48,51,49,0,0,1,0.979591836734694,57,54,0,0,48,48,51,49,0,0,0.941176470588235,0.979591836734694,51,48,69.784171548862,0.197648085519465,hu,outside,inside,kívül,belül,kívülbelül
beszél,543.42079245026,531.069132079438,-0.586615659637196,-0.642936261000193,24.9667757961588,18.981153670132,0.074891390750602,0.0647358717949183,60,62,1,1,53,53,54,53,0,1,0.981481481481482,1,60,62,1,1,53,52,54,53,0,1,0.981481481481482,0.981132075471698,53,53,-12.3516603708222,-0.0563206013629972,hu,talk,speak,beszélgetés,beszél,beszélgetésbeszél
beteg,502.990020406141,520.425773559586,-0.720298014170474,-0.716054402229763,12.4674961926579,18.8270855952413,0.0462760948999866,0.0574693060576117,59,59,0,0,49,53,51,55,0,0,0.96078431372549,0.963636363636364,59,59,0,0,48,51,51,55,0,0,0.941176470588235,0.927272727272727,49,53,17.4357531534444,0.00424361194071099,hu,ill,sick,rossz,beteg,rosszbeteg
betegség,595.723578932499,589.54409260378,-0.377893711010747,-0.419883594782873,47.5010149522178,26.2092774184646,0.147739968008582,0.0929019921811736,65,59,2,1,57,54,57,54,0,0,1,1,65,60,2,0,50,53,57,54,0,0,0.87719298245614,0.981481481481482,57,54,-6.17948632871924,-0.0419898837721255,hu,flu,disease,influenza,betegség,influenzabetegség
bevallani,652.015549019373,691.042428576484,-0.0904000911414261,0.0490370089680465,49.2189040319612,32.2457520777966,0.12595091715807,0.0943991489330737,55,61,4,0,51,49,51,51,2,0,1,0.96078431372549,55,61,4,0,47,50,51,51,2,0,0.92156862745098,0.980392156862745,51,49,39.0268795571111,0.139437100109473,hu,admit,confess,beismerni,bevallani,beismernibevallani
bezárás,532.718543472623,631.784019993563,-0.559887324064709,-0.351207912145635,20.1703382886951,29.5812905434022,0.0748483755342481,0.0846287432364844,53,54,0,0,46,50,47,51,0,0,0.978723404255319,0.980392156862745,53,54,0,0,41,49,47,51,0,0,0.872340425531915,0.96078431372549,46,50,99.0654765209406,0.208679411919074,hu,open,close,kinyit,bezárás,kinyitbezárás
bezárás.1,587.967562487673,651.353627426108,-0.36400722156692,-0.140138228718486,34.3341920269213,45.6393452449292,0.122395668577756,0.153411195457466,54,57,1,0,48,51,49,51,1,0,0.979591836734694,1,54,57,1,0,48,49,49,51,1,0,0.979591836734694,0.96078431372549,48,51,63.3860649384347,0.223868992848434,hu,opening,closure,nyitás,bezárás,nyitásbezárás
biológia,559.850076930789,576.024134613022,-0.529348555446523,-0.441776584975077,25.9062973677067,20.7132993803417,0.0979435364695557,0.065626947861763,56,58,3,0,54,52,54,52,1,0,1,1,56,58,3,0,53,51,54,52,1,0,0.981481481481482,0.980769230769231,52,52,16.1740576822328,0.0875719704714462,hu,chemistry,biology,kémia,biológia,kémiabiológia
biológiai,647.491784315022,732.581980759584,-0.263171783665179,0.0305693102257844,34.8217941214553,40.4086161370116,0.116676752301131,0.120353721008096,55,55,1,1,51,52,51,52,0,0,1,1,55,54,1,2,51,36,51,51,0,1,1,0.705882352941177,51,52,85.090196444562,0.293741093890964,hu,chemical,biological,kémiai,biológiai,kémiaibiológiai
birodalom,563.587857123135,578.685282582271,-0.452483861726417,-0.401902616313647,21.4608347395635,25.3034023779778,0.0716278476819913,0.0995100908419439,57,54,0,2,49,46,50,46,0,0,0.98,1,57,54,0,2,41,46,50,46,0,0,0.82,1,49,46,15.0974254591367,0.0505812454127699,hu,dynasty,empire,dinasztia,birodalom,dinasztiabirodalom
bizalom,560.413622651384,559.810320737523,-0.635402036543271,-0.533886973312041,22.2099785720217,26.7222444474388,0.0607767942025011,0.084298787711893,58,60,1,0,53,53,53,55,0,0,1,0.963636363636364,58,60,1,0,50,50,53,55,0,0,0.943396226415094,0.909090909090909,53,53,-0.603301913860719,0.10151506323123,hu,respect,confidence,tisztelet,bizalom,tiszteletbizalom
bizonyság,737.28487501083,672.000282610006,0.190810781039906,-0.030303793222227,68.3509785342787,38.707155313452,0.23931796772175,0.158535864495321,60,57,2,0,48,46,53,53,2,0,0.905660377358491,0.867924528301887,62,57,0,0,52,47,55,53,0,0,0.945454545454545,0.886792452830189,48,46,-65.284592400824,-0.221114574262133,hu,witness,testimony,tanú,bizonyság,tanúbizonyság
bizottság,629.448875048269,601.096134618113,-0.28797093570544,-0.31289765577565,38.651823138789,24.9526098062249,0.114891732077711,0.0975886496207303,56,59,0,0,48,52,50,54,0,0,0.96,0.962962962962963,56,59,0,0,45,51,50,54,0,0,0.9,0.944444444444444,48,52,-28.3527404301553,-0.0249267200702095,hu,commission,committee,jutalék,bizottság,jutalékbizottság
biztonság,667.624098029261,573.844413038409,-0.0454504336940872,-0.434986272278424,37.0255607254215,26.9892328311914,0.14909404574392,0.0997327985076238,60,54,1,3,51,46,53,47,0,0,0.962264150943396,0.978723404255319,60,53,1,4,47,46,53,46,0,1,0.886792452830189,1,51,46,-93.7796849908522,-0.389535838584337,hu,security,safety,elhárítás,biztonság,elhárításbiztonság
biztonságos,619.217283021881,608.458283043756,-0.219455326591081,-0.364813580768907,31.9742182969877,29.9554752896165,0.122313398986226,0.101614164670864,56,59,1,0,53,53,53,53,0,0,1,1,56,58,1,1,52,52,53,52,0,1,0.981132075471698,1,53,53,-10.7589999781247,-0.145358254177826,hu,safe,secure,veszélytelen,biztonságos,veszélytelenbiztonságos
biztos,551.535140000463,527.008882351133,-0.55477073508689,-0.681773294103206,21.471202744085,20.451896560087,0.0710546449589287,0.0722449901195156,58,58,1,1,50,51,50,51,0,0,1,1,58,58,1,1,50,50,50,51,0,0,1,0.980392156862745,50,51,-24.5262576493292,-0.127002559016316,hu,inspector,commissioner,ellenőr,biztos,ellenőrbiztos
biztosítani,729.473040804953,660.850081616721,0.212139069345537,0.0416638403550564,36.7624564231569,28.107873245934,0.146732683358216,0.124415396430084,55,55,0,1,49,49,49,49,0,1,1,1,55,55,0,1,44,49,49,49,0,1,0.897959183673469,1,49,49,-68.6229591882317,-0.170475228990481,hu,enable,provide,engedélyezze,biztosítani,engedélyezzebiztosítani
boldog,530.537156870497,562.674437498501,-0.633213296781983,-0.514950036390319,20.2876007729102,26.6398984963239,0.0861395318188674,0.11928923759379,56,53,2,1,51,48,51,48,1,1,1,1,56,53,2,1,51,47,51,48,1,1,1,0.979166666666667,51,48,32.1372806280035,0.118263260391663,hu,satisfied,happy,elégedett,boldog,elégedettboldog
bolt,508.413648177264,555.003089283698,-0.690446679519835,-0.451658385200922,14.0797973400763,26.339832298093,0.0580452943645433,0.0991462619580259,58,60,1,1,54,57,55,57,0,1,0.981818181818182,1,58,60,1,1,53,55,55,58,0,0,0.963636363636364,0.948275862068966,54,56,46.5894411064335,0.238788294318912,hu,shop,store,üzlet,bolt,üzletbolt
boston,681.857840016912,846.701388901022,0.128343904672338,0.682698304308326,26.9207513508704,56.6021890416856,0.130691419893591,0.231013505871478,62,56,0,1,51,18,56,51,0,1,0.910714285714286,0.352941176470588,62,55,0,2,35,49,56,50,0,2,0.625,0.98,50,18,164.84354888411,0.554354399635989,hu,washington,boston,washington,boston,washingtonboston
boszorkány,641.547235311522,655.232836374794,-0.264743703197895,-0.177430590789222,43.0450472166427,27.5039440273126,0.144396603494847,0.089892994666963,55,57,1,1,51,55,52,55,0,1,0.980769230769231,1,55,56,1,2,45,49,52,54,0,2,0.865384615384615,0.907407407407407,51,55,13.6856010632719,0.087313112408673,hu,curse,witch,átok,boszorkány,átokboszorkány
botrány,606.335222215374,859.412038444511,-0.246830500682778,0.659089780274209,31.0836100530437,65.1425369912592,0.177450353328964,0.220336012771461,59,57,0,1,54,52,54,52,0,0,1,1,59,56,0,2,47,18,54,51,0,1,0.87037037037037,0.352941176470588,54,52,253.076816229137,0.905920280956987,hu,gossip,scandal,pletyka,botrány,pletykabotrány
buli,551.239392158214,555.736354173419,-0.506705896538647,-0.465785846672225,21.279641875796,18.0087794002075,0.0604345759473416,0.0853767704837188,56,55,4,0,51,48,52,48,1,0,0.980769230769231,1,56,55,4,0,50,45,52,48,1,0,0.961538461538462,0.9375,51,48,4.49696201520499,0.0409200498664217,hu,reception,party,recepció,buli,recepcióbuli
busz,511.501000006802,542.152734702701,-0.70180376133126,-0.564400100020783,31.3003641544044,16.3871876797731,0.115687332909854,0.0641570268832967,60,58,0,2,51,49,51,53,0,0,1,0.924528301886792,60,57,0,3,50,50,51,52,0,1,0.980392156862745,0.961538461538462,51,49,30.6517346958989,0.137403661310477,hu,train,bus,vonat,busz,vonatbusz
bájos,547.933163270885,515.101895834119,-0.57530560307315,-0.617738241132112,20.5054938077735,16.2695127792493,0.0791659519210955,0.0717455202671172,57,53,0,0,49,48,51,49,0,0,0.96078431372549,0.979591836734694,56,53,1,0,48,47,50,49,1,0,0.96,0.959183673469388,49,48,-32.831267436766,-0.0424326380589622,hu,nice,lovely,szép,bájos,szépbájos
bájos.1,622.55999999235,595.033836740694,-0.327949676878115,-0.316632841184188,49.2957533223069,25.6314020497337,0.134215036690957,0.101611702804636,57,56,0,0,50,49,50,49,0,0,1,1,57,55,0,1,48,46,50,49,0,0,0.96,0.938775510204082,50,49,-27.526163251657,0.0113168356939273,hu,attractive,charming,vonzó,bájos,vonzóbájos
bátor,516.124000002402,516.779185184502,-0.707771048238443,-0.615862066703813,19.5577007031964,16.6881107309525,0.0798447000925356,0.0785306312175884,56,57,1,1,51,54,52,54,0,0,0.980769230769231,1,56,57,1,1,50,52,52,54,0,0,0.961538461538462,0.962962962962963,50,54,0.65518518210024,0.0919089815346295,hu,noble,brave,nemes,bátor,nemesbátor
bérlés,570.044083337898,607.834823525572,-0.46579710767707,-0.404394591104515,18.4058127511097,42.2747703635364,0.0698722245570358,0.124010948117909,56,56,1,1,48,51,50,53,0,1,0.96,0.962264150943396,56,56,1,1,43,47,50,53,0,1,0.86,0.886792452830189,48,51,37.7907401876738,0.0614025165725548,hu,hire,rent,bérel,bérlés,bérelbérlés
bíboros,576.862579977893,659.254037734745,-0.319484402132858,-0.037990138715565,16.6761104225056,22.2448326665756,0.0655730944363111,0.078210890764943,57,60,2,1,50,53,51,55,1,0,0.980392156862745,0.963636363636364,57,60,2,1,48,53,51,55,1,0,0.941176470588235,0.963636363636364,50,53,82.3914577568522,0.281494263417293,hu,bishop,cardinal,püspök,bíboros,püspökbíboros
