target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,ja_cue,ja_target,ja_word_combo,unrelated_ja_cue
あごひげ,808.219438591862,870.96387271292,0.270566026320336,0.572141666718419,23.9053571967193,30.744389869188,0.0963746078610161,0.093116349445811,61,67,5,7,57,55,59,61,3,0,0.966101694915254,0.901639344262295,61,68,5,6,59,60,59,61,3,0,1,0.983606557377049,57,55,62.744434121058,0.301575640398083,ja,hair,beard,髪,あごひげ,髪あごひげ,試験
あざ,679.193278716127,781.114890897563,-0.268388197859631,0.064036029538658,16.2824410973329,26.7541718843942,0.0659654032176338,0.100644485290841,79,85,5,5,62,55,69,76,0,2,0.898550724637681,0.723684210526316,79,88,5,2,59,61,69,77,0,1,0.855072463768116,0.792207792207792,61,55,101.921612181436,0.332424227398289,ja,scratch,bruise,すり傷,あざ,すり傷あざ,遮る
いちご,611.179298505108,659.220425528473,-0.504919553671011,-0.291004231250187,24.2557755248845,16.9642247495006,0.0893949271248433,0.0551353671195467,87,110,5,2,68,95,70,96,0,1,0.971428571428571,0.989583333333333,87,108,5,4,67,91,70,95,0,2,0.957142857142857,0.957894736842105,67,94,48.0411270233653,0.213915322420825,ja,banana,strawberry,バナナ,いちご,バナナいちご,誤った
いつもの,642.309861783557,691.229375001225,-0.4483560556343,-0.319534154603044,18.9327957719507,28.6507434832751,0.051935060841465,0.102761688001741,147,80,4,2,124,72,124,73,1,0,1,0.986301369863014,146,80,5,2,122,66,123,73,2,0,0.991869918699187,0.904109589041096,123,72,48.9195132176677,0.128821901031257,ja,ordinary,usual,普通,いつもの,普通いつもの,縛る
いつもは,642.21739655947,626.928527766933,-0.51382391492618,-0.474974711823387,33.043970369493,26.6752320769865,0.072845284222162,0.0682197078408844,71,79,2,4,58,73,60,73,1,2,0.966666666666667,1,71,81,2,2,59,73,60,75,1,0,0.983333333333333,0.973333333333333,58,72,-15.2888687925364,0.0388492031027929,ja,normally,usually,通常は,いつもは,通常はいつもは,たまに
いとこ,678.182546878698,696.232872720303,-0.338751674116836,-0.182280953814888,21.7369534988751,33.7699388394728,0.0844063369789095,0.114333598917794,70,62,5,6,64,55,65,56,2,0,0.984615384615385,0.982142857142857,70,62,5,6,62,56,65,56,2,0,0.953846153846154,1,64,55,18.0503258416054,0.156470720301947,ja,relative,cousin,親戚,いとこ,親戚いとこ,動く
うそつき,838.397805189949,602.009214269846,0.330176904202836,-0.486584976419781,32.5010522887612,19.2968274875862,0.117218843771844,0.0705111603985249,90,63,3,4,77,56,78,56,1,0,0.987179487179487,1,90,63,3,4,75,52,78,56,1,0,0.961538461538462,0.928571428571429,77,56,-236.388590920103,-0.816761880622617,ja,lie,liar,嘘,うそつき,嘘うそつき,今日
うつ,766.756892858359,723.459050831362,0.017650578950503,-0.0996690128375726,25.9466936297792,31.6276305118436,0.0765444999581951,0.0967130509654486,76,74,3,4,56,59,65,63,0,0,0.861538461538462,0.936507936507937,76,74,3,4,64,63,65,63,0,0,0.984615384615385,1,56,59,-43.2978420269968,-0.117319591788076,ja,stress,depression,ストレス,うつ,ストレスうつ,今
うま,751.246206903966,915.839700000949,0.0240729298534242,0.363475693650377,41.6894757825483,55.3849746933624,0.150481586005309,0.164775139135684,67,95,1,6,58,50,61,77,1,1,0.950819672131147,0.649350649350649,67,96,1,5,46,75,61,77,1,1,0.754098360655738,0.974025974025974,58,50,164.593493096983,0.339402763796953,ja,donkey,horse,ロバ,うま,ロバうま,快適な
うん,688.763171054891,870.919836065132,-0.35320664815178,0.256529578695521,24.8191017770165,60.1599083648018,0.0717561565947228,0.194523085994786,96,91,3,4,76,61,80,72,0,0,0.95,0.847222222222222,96,92,3,3,77,67,80,72,0,0,0.9625,0.930555555555556,76,61,182.156665010241,0.6097362268473,ja,okay,yeah,わかった,うん,わかったうん,吟味する
