target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,ko_cue,ko_target,ko_word_combo,unrelated_ko_cue
~에 대한,808.760442283555,858.36264704277,0.606268457046678,0.800910586616552,37.1126139170259,50.7700992370207,0.14822629693592,0.245438284875627,74,78,3,0,52,51,58,60,0,0,0.896551724137931,0.85,75,78,2,0,55,56,58,60,0,0,0.948275862068966,0.933333333333333,52,51,49.6022047592144,0.194642129569874,ko,out,about,밖,~에 대한,밖~에 대한,뼈
가게,512.494934387406,546.492699995776,-0.684220418628219,-0.399150332844991,16.480831591593,15.4212963483864,0.0638211594962854,0.0824560190704073,78,61,3,2,61,50,62,51,1,0,0.983870967741935,0.980392156862745,80,61,1,2,63,49,63,51,0,0,1,0.96078431372549,61,50,33.9977656083691,0.285070085783228,ko,shop,store,백화점,가게,백화점가게,문화
가게,512.494934387406,546.492699995776,-0.684220418628219,-0.399150332844991,16.480831591593,15.4212963483864,0.0638211594962854,0.0824560190704073,78,61,3,2,61,50,62,51,1,0,0.983870967741935,0.980392156862745,80,61,1,2,63,49,63,51,0,0,1,0.96078431372549,61,50,33.9977656083691,0.285070085783228,ko,shop,store,백화점,가게,백화점가게,특권
가게.1,,621.07271083413,,-0.218536375587075,,24.5808752612454,,0.0923788872348012,,104,,3,,83,,85,,0,,0.976470588235294,,104,,3,,83,,85,,0,,0.976470588235294,,83,,,ko,,,,,,
가격,490.862094333661,556.563153856895,-0.792745402739349,-0.571678093899217,14.5732051968649,25.6736566087065,0.0527191921998117,0.0794499915484639,59,61,0,6,53,52,53,53,0,1,1,0.981132075471698,59,62,0,5,53,53,53,54,0,0,1,0.981481481481482,53,52,65.7010595232341,0.221067308840132,ko,value,price,값,가격,값가격,화장실
가다,627.538296300252,657.282759993232,-0.224030337659012,0.0136074779716004,25.1448316597377,36.683721463306,0.0884401817926097,0.162644634397211,66,56,1,1,54,50,59,51,0,0,0.915254237288136,0.980392156862745,64,56,3,1,56,51,57,51,2,0,0.982456140350877,1,54,50,29.7444636929806,0.237637815630612,ko,enter,go,입력하다,가다,입력하다가다,수량
가득한,616.243542368298,597.711884589583,-0.268183292846137,-0.352079693669389,24.9739834844332,27.4080287324382,0.106184192972613,0.105205910835955,65,61,1,3,59,52,59,53,0,0,1,0.981132075471698,64,61,2,3,56,52,59,53,0,0,0.949152542372881,0.981132075471698,59,52,-18.5316577787148,-0.0838964008232524,ko,empty,full,비어있는,가득한,비어있는가득한,연설
가르치다,601.366862057139,606.790490222597,-0.305791504896797,-0.331621284472503,26.2702508416785,29.7229497936342,0.0931803422375424,0.105925817783684,69,54,2,1,58,51,58,51,0,0,1,1,69,54,2,1,57,46,58,51,0,0,0.982758620689655,0.901960784313726,58,51,5.42362816545835,-0.0258297795757058,ko,learn,teach,배우다,가르치다,배우다가르치다,투기장
가망,674.297566021189,690.311610170842,-0.0148103494202053,0.0773091598383704,44.1171488516788,39.3146141621058,0.150740008034794,0.148608901661642,75,81,3,1,53,60,61,71,0,1,0.868852459016393,0.845070422535211,75,81,3,1,58,69,61,71,0,1,0.950819672131147,0.971830985915493,53,59,16.014044149653,0.0921195092585758,ko,chance,possibility,가능성,가망,가능성가망,성인
가방,502.327981829368,527.554179986803,-0.716024751842229,-0.657685153365865,13.3368954171402,28.1205098122889,0.0650113410645761,0.0809612405656527,63,61,5,1,55,51,55,51,0,0,1,1,63,61,5,1,54,49,55,51,0,0,0.981818181818182,0.96078431372549,55,50,25.2261981574349,0.0583395984763638,ko,box,bag,상자,가방,상자가방,문화
